date,open,high,low,close,volume
2019-08-28,10.5,10.5,10.5,10.5,0
2019-08-29,10.5,10.5,10.5,10.5,0
2019-08-30,10.5,10.5,10.5,10.5,0
2019-09-03,10.28,10.28,10.28,10.28,500
2019-09-04,10.28,10.28,10.28,10.28,0
2019-09-05,10.28,10.28,10.28,10.28,0
2019-09-06,10.28,10.28,10.28,10.28,0
2019-09-09,10.28,10.28,10.28,10.28,0
2019-09-10,10.28,10.28,10.28,10.28,0
2019-09-11,10.28,10.28,10.28,10.28,2000
2019-09-12,10.28,10.28,10.28,10.28,5400
2019-09-13,10.28,10.28,10.28,10.28,0
2019-09-16,9.91,9.91,9.91,9.91,2500
2019-09-17,9.91,9.91,9.91,9.91,700
2019-09-18,10.87,10.87,10.87,10.87,100
2019-09-19,10.87,10.87,10.87,10.87,0
2019-09-20,10.87,10.87,10.87,10.87,0
2019-09-23,10.87,10.87,10.87,10.87,0
2019-09-24,10.87,10.87,10.87,10.87,0
2019-09-25,10.28,10.28,10.28,10.28,100
2019-09-26,10.28,10.28,10.28,10.28,0
2019-09-27,10.28,10.28,10.28,10.28,0
2019-09-30,10.28,10.28,10.28,10.28,0
2019-10-01,10.28,10.28,10.28,10.28,0
2019-10-02,9.25,9.25,9.25,9.25,300
2019-10-03,9.25,9.25,9.25,9.25,0
2019-10-04,9.25,9.25,9.25,9.25,0
2019-10-07,9.25,9.25,9.25,9.25,0
2019-10-08,9.55,9.55,9.55,9.55,200
2019-10-09,9.55,9.55,9.55,9.55,0
2019-10-10,9.55,9.55,9.55,9.55,0
2019-10-11,9.55,9.55,9.55,9.55,2000
2019-10-14,9.55,9.55,9.55,9.55,0
2019-10-15,9.18,9.18,9.18,9.18,100
2019-10-16,9.18,9.18,9.18,9.18,0
2019-10-17,9.18,9.18,9.18,9.18,0
2019-10-18,9.55,9.55,9.55,9.55,500
2019-10-21,9.55,9.55,9.55,9.55,0
2019-10-22,9.55,9.55,9.55,9.55,0
2019-10-23,9.55,9.55,9.55,9.55,0
2019-10-24,9.55,9.55,9.55,9.55,0
2019-10-25,9.55,9.55,9.55,9.55,0
2019-10-28,9.55,9.55,9.55,9.55,0
2019-10-29,8.59,8.59,8.59,8.59,300
2019-10-30,7.79,8.81,7.79,8.81,700
2019-10-31,9.69,9.69,9.69,9.69,100
2019-11-01,9.69,9.69,9.69,9.69,0
2019-11-04,9.69,9.69,9.69,9.69,0
2019-11-05,9.69,9.69,9.69,9.69,0
2019-11-06,9.69,9.69,9.69,9.69,0
2019-11-07,9.69,9.69,9.69,9.69,0
2019-11-08,9.69,9.69,9.69,9.69,0
2019-11-11,9.55,9.55,9.55,9.55,100
2019-11-12,9.55,9.55,9.55,9.55,0
2019-11-13,9.55,9.55,9.55,9.55,0
2019-11-14,9.55,9.55,9.55,9.55,0
2019-11-15,9.55,9.55,9.55,9.55,0
2019-11-18,9.55,9.55,9.55,9.55,0
2019-11-19,9.55,9.55,9.55,9.55,0
2019-11-20,8.81,8.81,8.81,8.81,1200
2019-11-21,8.81,8.81,8.81,8.81,0
2019-11-22,8.81,8.81,8.81,8.81,0
2019-11-25,8.81,8.81,8.81,8.81,0
2019-11-26,8.81,8.81,8.81,8.81,900
2019-11-27,8.81,8.81,8.81,8.81,0
2019-11-28,8.81,8.81,8.81,8.81,0
2019-11-29,8.81,8.81,8.81,8.81,0
2019-12-02,8.81,8.81,8.81,8.81,1600
2019-12-03,8.81,8.81,8.81,8.81,0
2019-12-04,8.81,8.81,8.81,8.81,0
2019-12-05,8.45,8.45,8.45,8.45,1000
2019-12-06,8.45,8.45,7.64,7.93,1900
2019-12-09,7.2,7.2,7.2,7.2,1000
2019-12-10,7.86,7.86,7.2,7.2,900
2019-12-11,7.86,7.86,7.86,7.86,100
2019-12-12,8.59,8.59,8.59,8.59,100
2019-12-13,8.59,8.59,8.59,8.59,0
2019-12-16,8.59,8.59,8.59,8.59,0
2019-12-17,8.59,8.59,8.59,8.59,0
2019-12-18,8.59,8.59,8.59,8.59,0
2019-12-19,8.59,8.59,8.59,8.59,0
2019-12-20,8.59,8.59,8.59,8.59,0
2019-12-23,8.59,8.59,8.59,8.59,0
2019-12-24,8.59,8.59,8.59,8.59,0
2019-12-25,8.59,8.59,8.59,8.59,0
2019-12-26,8.59,8.59,8.59,8.59,0
2019-12-27,8.59,8.59,8.59,8.59,0
2019-12-30,8.59,8.59,8.59,8.59,0
2019-12-31,8.59,8.59,8.59,8.59,0
2020-01-02,8.59,8.59,8.59,8.59,0
2020-01-03,8.59,8.59,8.59,8.59,0
2020-01-06,8.59,8.59,8.59,8.59,0
2020-01-07,8.59,8.59,8.59,8.59,0
2020-01-08,8.59,8.59,8.59,8.59,0
2020-01-09,8.45,8.45,8.45,8.45,2500
2020-01-10,8.15,8.15,8.15,8.15,2800
2020-01-13,8.15,8.15,8.15,8.15,2800
2020-01-14,8.15,8.15,8.15,8.15,7300
2020-01-15,7.86,7.86,7.86,7.86,2000
2020-01-16,7.86,7.86,7.86,7.86,8500
2020-01-17,8.59,8.59,8.59,8.59,100
2020-01-20,8.59,8.59,8.59,8.59,0
2020-01-21,8.59,8.59,8.59,8.59,0
2020-01-22,8.59,8.59,8.59,8.59,0
2020-01-30,8.59,8.59,8.59,8.59,0
2020-01-31,8.59,8.59,8.59,8.59,0
2020-02-03,8.59,8.59,8.59,8.59,0
2020-02-04,8.59,8.59,8.59,8.59,0
2020-02-05,8.59,8.59,8.59,8.59,0
2020-02-06,8.59,8.59,8.59,8.59,0
2020-02-07,8.59,8.59,8.59,8.59,0
2020-02-10,8.59,8.59,8.59,8.59,0
2020-02-11,8.59,8.59,8.59,8.59,0
2020-02-12,8.59,8.59,8.59,8.59,0
2020-02-13,8.59,8.59,8.59,8.59,0
2020-02-14,8.59,8.59,8.59,8.59,0
2020-02-17,8.59,8.59,8.59,8.59,0
2020-02-18,8.59,8.59,8.59,8.59,0
2020-02-19,8.59,8.59,8.59,8.59,0
2020-02-20,8.59,8.59,8.59,8.59,0
2020-02-21,8.59,8.59,8.59,8.59,0
2020-02-24,8.59,8.59,8.59,8.59,0
2020-02-25,9.4,9.4,8.08,8.08,1100
2020-02-26,8.08,8.15,7.86,7.86,4000
2020-02-27,8.59,8.59,8.59,8.59,100
