date,open,high,low,close,volume
2025-02-06,12.4,12.4,12.4,12.4,100
2025-02-07,14.2,14.2,14.2,14.2,100
2025-02-10,16.3,16.3,16.3,16.3,400
2025-02-11,18.7,18.7,18.7,18.7,100
2025-02-12,21.5,21.5,21.5,21.5,100
2025-02-13,24.7,24.7,24.7,24.7,100
2025-02-14,28.4,28.4,28.4,28.4,2200
2025-02-17,32.6,32.6,32.6,32.6,100
2025-02-18,37.4,37.4,37.4,37.4,1000
2025-02-19,43.0,43.0,31.9,31.9,1600
2025-02-20,48.6,48.6,48.6,48.6,800
2025-02-21,48.6,48.6,48.6,48.6,100
2025-02-24,41.4,41.4,41.4,41.4,100
2025-02-25,35.2,35.3,35.2,35.2,2100
2025-02-26,30.0,40.1,30.0,40.1,1100
2025-02-27,26.3,26.3,26.3,26.3,1100
2025-02-28,22.4,22.4,22.4,22.4,5600
2025-03-03,19.1,19.1,19.1,19.1,3100
2025-03-04,16.3,16.3,16.3,16.3,4500
2025-03-05,14.2,17.9,14.2,14.2,8100
2025-03-06,14.6,14.6,12.5,12.6,6100
2025-03-07,14.5,14.5,11.5,12.1,10000
2025-03-10,11.2,11.6,11.2,11.6,11500
2025-03-11,11.8,12.8,10.5,12.8,14500
2025-03-12,11.3,12.4,10.5,10.9,22200
2025-03-13,11.9,12.4,10.6,12.4,57000
2025-03-14,13.3,13.3,10.7,12.0,32400
2025-03-17,12.8,12.8,11.4,11.4,10900
2025-03-18,11.5,11.5,11.0,11.2,2300
2025-03-19,11.2,11.2,11.0,11.1,3700
2025-03-20,10.8,12.6,10.8,12.5,11400
2025-03-21,12.6,12.6,11.9,11.9,600
2025-03-24,12.3,12.5,12.2,12.5,11300
2025-03-25,14.1,14.1,10.7,13.0,16300
2025-03-26,12.8,12.8,11.2,12.2,700
2025-03-27,11.9,11.9,11.3,11.3,700
2025-03-28,11.3,11.8,10.8,11.8,4300
2025-03-31,11.9,11.9,11.1,11.9,1300
2025-04-01,11.9,11.9,11.1,11.2,4900
2025-04-02,11.4,12.2,11.1,12.1,1500
2025-04-03,11.9,11.9,10.1,11.0,2900
2025-04-04,11.0,11.0,9.8,10.4,8300
2025-04-08,9.3,11.7,9.3,9.3,9400
2025-04-09,10.7,10.7,9.3,10.0,4800
2025-04-10,11.0,11.0,10.9,11.0,2500
2025-04-11,9.5,11.1,9.5,11.1,900
2025-04-14,8.8,8.8,8.8,8.8,500
2025-04-15,10.7,10.7,9.4,9.5,2800
2025-04-16,10.5,10.5,10.4,10.4,200
2025-04-17,10.9,10.9,9.4,10.4,11000
2025-04-18,9.6,10.2,9.6,10.2,600
2025-04-21,11.0,11.0,9.6,10.6,600
2025-04-22,9.5,10.1,8.7,8.7,8600
2025-04-23,9.5,10.1,9.0,10.1,4700
2025-04-24,9.1,10.4,9.0,9.8,700
2025-04-25,10.5,10.5,9.7,9.7,800
2025-04-28,9.1,9.6,9.1,9.3,6400
2025-04-29,10.6,10.6,10.0,10.0,400
2025-05-05,9.1,10.0,9.1,9.7,4400
2025-05-06,9.3,9.3,9.3,9.3,100
2025-05-07,9.8,9.8,9.8,9.8,100
2025-05-08,9.8,10.3,9.5,9.5,700
2025-05-09,9.3,10.8,9.3,10.8,400
2025-05-12,9.8,10.0,9.8,10.0,2100
2025-05-13,9.7,9.7,9.7,9.7,200
2025-05-14,9.6,9.6,9.6,9.6,200
2025-05-15,9.6,9.7,9.6,9.7,2200
2025-05-16,9.7,9.7,9.6,9.6,2000
2025-05-19,9.6,9.6,9.3,9.4,4200
2025-05-20,9.4,9.9,9.4,9.9,2700
2025-05-21,9.5,9.5,9.4,9.4,1200
2025-05-22,9.6,9.6,9.6,9.6,1900
2025-05-23,9.6,10.5,9.6,10.5,2000
2025-05-26,9.5,10.1,9.5,10.1,600
2025-05-28,9.6,9.8,9.5,9.5,2600
2025-05-30,9.7,9.7,9.7,9.7,300
2025-06-02,9.7,9.7,9.7,9.7,300
2025-06-03,9.4,9.9,9.4,9.9,800
2025-06-04,9.5,9.5,9.5,9.5,100
2025-06-05,9.9,9.9,9.9,9.9,100
2025-06-06,9.9,9.9,9.9,9.9,100
2025-06-11,9.9,9.9,9.9,9.9,100
2025-06-17,10.1,10.1,9.5,9.5,1900
2025-06-18,9.6,10.5,9.6,10.5,300
2025-06-19,9.3,9.3,9.3,9.3,400
2025-06-23,9.7,10.0,9.7,10.0,500
2025-06-24,10.0,10.0,10.0,10.0,400
2025-06-25,9.6,10.0,9.5,10.0,800
2025-06-26,10.0,10.5,10.0,10.4,2800
2025-06-27,10.4,10.4,9.6,9.6,700
