date,open,high,low,close,volume
2019-09-20,8.45,8.45,8.45,8.45,8000
2019-09-23,8.03,8.45,8.03,8.45,1200
2019-09-24,8.03,8.45,8.03,8.45,5100
2019-09-25,8.45,8.45,8.45,8.45,0
2019-09-26,8.45,8.45,8.45,8.45,0
2019-09-27,8.45,8.45,8.45,8.45,0
2019-09-30,8.45,8.45,8.45,8.45,4500
2019-10-01,8.45,8.45,8.45,8.45,0
2019-10-02,8.45,8.45,8.45,8.45,5000
2019-10-03,8.2,8.2,8.2,8.2,2600
2019-10-04,7.86,7.86,7.86,7.86,100
2019-10-07,8.45,8.45,8.45,8.45,10000
2019-10-08,7.94,8.45,7.94,8.45,10600
2019-10-09,8.45,8.45,8.45,8.45,100
2019-10-10,8.45,8.45,8.45,8.45,4500
2019-10-11,8.45,8.45,8.45,8.45,15000
2019-10-14,8.45,8.45,8.45,8.45,0
2019-10-15,8.37,8.37,8.37,8.37,8015
2019-10-16,8.37,8.37,8.37,8.37,1600
2019-10-17,8.45,8.45,8.45,8.45,2200
2019-10-18,8.45,8.45,8.45,8.45,199
2019-10-21,8.28,8.28,8.28,8.28,300
2019-10-22,8.45,8.45,8.45,8.45,100
2019-10-23,8.45,8.45,8.45,8.45,0
2019-10-24,8.45,8.45,8.45,8.45,10100
2019-10-25,8.45,8.45,8.45,8.45,0
2019-10-28,8.03,8.28,8.03,8.28,1200
2019-10-29,7.86,8.37,7.61,8.37,8440
2019-10-30,7.94,8.45,7.78,8.45,16305
2019-10-31,8.45,8.45,8.45,8.45,1000
2019-11-01,7.86,8.45,7.78,8.45,20000
2019-11-04,8.03,8.45,8.03,8.45,2300
2019-11-05,8.45,8.45,8.45,8.45,0
2019-11-06,8.45,8.45,8.45,8.45,3500
2019-11-07,8.45,8.45,8.45,8.45,0
2019-11-08,8.37,8.37,8.37,8.37,4000
2019-11-11,8.37,8.37,8.37,8.37,0
2019-11-12,8.03,8.37,8.03,8.37,3600
2019-11-13,8.03,8.45,8.03,8.45,3000
2019-11-14,8.03,8.37,7.69,8.37,10500
2019-11-15,8.45,8.45,8.45,8.45,1000
2019-11-18,8.03,8.37,7.69,8.37,13810
2019-11-19,7.69,8.28,7.69,8.28,12000
2019-11-20,7.69,8.28,7.69,8.28,20700
2019-11-21,7.69,8.28,7.61,8.28,24500
2019-11-22,7.69,8.28,7.61,8.28,28400
2019-11-25,7.69,8.28,7.61,8.28,27500
2019-11-26,8.28,8.28,8.28,8.28,5000
2019-11-27,8.28,8.28,8.28,8.28,10000
2019-11-28,8.28,8.28,8.28,8.28,12700
2019-11-29,8.45,8.45,8.45,8.45,100
2019-12-02,7.94,8.28,7.69,8.28,14600
2019-12-03,8.28,8.28,8.28,8.28,1600
2019-12-04,8.28,8.28,8.28,8.28,0
2019-12-05,8.2,8.2,8.2,8.2,7000
2019-12-06,8.2,8.2,8.2,8.2,5000
2019-12-09,8.2,8.2,8.2,8.2,0
2019-12-10,8.2,8.2,8.2,8.2,400
2019-12-11,8.2,8.2,8.2,8.2,1000
2019-12-12,8.2,8.2,8.2,8.2,500
2019-12-13,8.37,8.37,8.37,8.37,500
2019-12-16,8.37,8.37,8.37,8.37,0
2019-12-17,8.37,8.37,8.37,8.37,1600
2019-12-18,8.37,8.37,8.37,8.37,600
2019-12-19,8.37,8.37,8.37,8.37,800
2019-12-20,8.37,8.37,8.37,8.37,0
2019-12-23,8.37,8.37,8.37,8.37,0
2019-12-24,8.37,8.37,8.37,8.37,85
2019-12-25,8.37,8.37,8.37,8.37,0
2019-12-26,8.37,8.37,8.37,8.37,0
2019-12-27,7.86,8.45,7.86,8.45,1600
2019-12-30,7.94,8.45,7.94,8.45,2111
2019-12-31,8.79,8.79,8.79,8.79,610
2020-01-02,7.94,8.45,7.94,8.45,2400
2020-01-03,8.37,8.37,8.37,8.37,2000
2020-01-06,8.37,8.37,8.37,8.37,100
2020-01-07,7.94,7.94,7.94,7.94,500
2020-01-08,8.37,8.37,8.37,8.37,200
2020-01-09,8.28,8.28,8.28,8.28,100
2020-01-10,7.94,8.45,7.78,8.45,8216
2020-01-13,8.45,8.45,8.45,8.45,0
2020-01-14,8.37,8.37,8.37,8.37,100
2020-01-15,8.37,8.37,8.37,8.37,3000
2020-01-16,8.37,8.37,8.37,8.37,1300
2020-01-17,7.86,7.86,7.86,7.86,100
2020-01-20,8.37,8.37,8.37,8.37,1042
2020-01-21,8.45,8.45,8.45,8.45,1000
2020-01-22,8.45,8.45,8.45,8.45,200
2020-01-30,8.45,8.45,8.45,8.45,0
2020-01-31,8.45,8.45,8.45,8.45,2600
2020-02-03,8.45,8.45,8.45,8.45,0
2020-02-04,8.45,8.45,8.45,8.45,0
2020-02-05,8.45,8.45,8.45,8.45,0
2020-02-06,8.45,8.45,8.45,8.45,0
