date,open,high,low,close,volume
2019-09-26,11.74,11.35,11.35,11.35,0
2019-09-27,12.14,12.14,9.98,9.98,2829
2019-09-30,11.16,9.98,9.98,9.98,0
2019-10-01,11.16,9.98,9.98,9.98,0
2019-10-02,11.16,9.98,9.98,9.98,0
2019-10-03,11.16,9.98,9.98,9.98,0
2019-10-04,11.06,11.45,9.49,10.47,9208
2019-10-07,10.28,10.47,10.47,10.47,0
2019-10-08,10.28,10.47,10.47,10.47,0
2019-10-09,10.28,10.47,10.47,10.47,0
2019-10-10,10.28,10.47,10.47,10.47,0
2019-10-11,10.18,10.67,9.79,10.47,3000
2019-10-14,10.37,10.47,10.47,10.47,0
2019-10-15,10.37,10.37,10.37,10.37,0
2019-10-16,10.37,10.47,10.47,10.47,0
2019-10-17,10.37,10.47,10.47,10.47,0
2019-10-18,11.16,11.74,9.3,10.28,2400
2019-10-21,10.77,10.28,10.28,10.28,0
2019-10-22,10.77,10.28,10.28,10.28,0
2019-10-23,10.77,10.28,10.28,10.28,0
2019-10-24,10.77,10.28,10.28,10.28,0
2019-10-25,11.06,11.06,9.2,9.59,4700
2019-10-28,10.08,9.59,9.59,9.59,0
2019-10-29,10.08,9.59,9.59,9.59,0
2019-10-30,10.08,9.59,9.59,9.59,0
2019-10-31,10.08,10.08,10.08,10.08,0
2019-11-01,10.77,10.86,9.2,9.2,3700
2019-11-04,10.57,9.2,9.2,9.2,0
2019-11-05,10.57,9.2,9.2,9.2,0
2019-11-06,10.57,9.2,9.2,9.2,0
2019-11-07,10.57,9.2,9.2,9.2,0
2019-11-08,10.47,10.47,9.0,9.3,3200
2019-11-11,9.88,9.3,9.3,9.3,0
2019-11-12,9.88,9.3,9.3,9.3,0
2019-11-13,9.88,9.3,9.3,9.3,0
2019-11-14,9.88,9.3,9.3,9.3,0
2019-11-15,9.69,10.47,9.1,9.1,2400
2019-11-18,10.18,9.1,9.1,9.1,0
2019-11-19,10.18,9.1,9.1,9.1,0
2019-11-20,10.18,9.1,9.1,9.1,0
2019-11-21,10.18,9.1,9.1,9.1,0
2019-11-22,11.55,11.55,8.81,8.81,2109
2019-11-25,10.77,8.81,8.81,8.81,0
2019-11-26,10.77,8.81,8.81,8.81,0
2019-11-27,10.77,8.81,8.81,8.81,0
2019-11-28,10.77,8.81,8.81,8.81,0
2019-11-29,11.74,11.74,9.2,9.3,1900
2019-12-02,11.26,11.26,11.26,11.26,0
2019-12-03,11.26,9.3,9.3,9.3,0
2019-12-04,11.26,9.3,9.3,9.3,0
2019-12-05,11.26,9.3,9.3,9.3,0
2019-12-06,10.77,11.45,9.59,9.59,1900
2019-12-09,10.86,9.59,9.59,9.59,0
2019-12-10,10.86,9.59,9.59,9.59,0
2019-12-11,10.86,9.59,9.59,9.59,0
2019-12-12,10.86,9.59,9.59,9.59,0
2019-12-13,10.67,11.26,9.3,9.4,4300
