date,open,high,low,close,volume
2019-09-23,13.55,13.58,13.46,13.46,3060
2019-09-24,13.58,13.58,13.24,13.24,1910
2019-09-25,13.52,13.58,13.3,13.52,9520
2019-09-26,13.39,13.58,13.39,13.58,3030
2019-09-27,13.58,13.58,13.21,13.58,3470
2019-09-30,13.3,13.58,13.3,13.58,1050
2019-10-01,13.58,13.58,13.27,13.27,2440
2019-10-02,13.27,13.52,13.27,13.52,4040
2019-10-03,13.52,13.52,12.99,13.02,1760
2019-10-04,13.09,13.27,12.35,13.27,6240
2019-10-07,12.44,12.96,12.35,12.96,6340
2019-10-08,12.96,12.96,12.96,12.96,210
2019-10-09,12.65,12.96,12.65,12.68,6650
2019-10-10,12.84,12.84,12.41,12.41,2190
2019-10-11,12.5,12.84,12.35,12.35,9360
2019-10-14,12.65,13.09,12.65,13.09,17030
2019-10-15,13.09,13.09,12.96,12.96,24480
2019-10-16,12.96,12.96,12.96,12.96,16160
2019-10-17,12.96,13.02,12.96,12.96,67430
2019-10-18,12.96,13.15,12.96,13.15,29560
2019-10-21,13.27,13.27,12.96,13.15,17050
2019-10-22,12.96,13.27,12.96,13.27,3270
2019-10-23,13.33,13.46,13.33,13.33,2220
2019-10-24,13.27,13.27,13.27,13.27,630
2019-10-25,13.12,13.12,13.09,13.09,20
2019-10-28,13.27,13.27,13.27,13.27,20
2019-10-29,13.05,13.27,12.96,13.27,3000
2019-10-30,13.27,13.33,13.27,13.33,11070
2019-10-31,13.27,13.33,13.27,13.33,2610
2019-11-01,13.33,13.39,13.33,13.33,7380
2019-11-04,13.3,13.39,13.27,13.33,4960
2019-11-05,13.33,13.33,13.33,13.33,1360
2019-11-06,13.33,13.46,13.33,13.39,4190
2019-11-07,13.52,13.52,13.46,13.52,800
2019-11-08,13.52,13.52,13.52,13.52,1850
2019-11-11,13.52,13.52,13.33,13.33,240
2019-11-12,13.39,13.39,13.33,13.33,1050
2019-11-13,13.49,13.49,13.49,13.49,10
2019-11-14,13.39,13.46,13.39,13.39,1530
2019-11-15,13.55,13.55,13.55,13.55,1580
2019-11-18,13.58,13.58,13.55,13.55,3650
2019-11-19,13.43,13.58,13.39,13.55,8020
2019-11-20,13.52,13.58,13.52,13.55,2870
2019-11-21,13.55,13.55,13.55,13.55,6190
2019-11-22,13.58,13.58,13.55,13.55,2570
2019-11-25,13.55,13.55,13.55,13.55,4690
2019-11-26,13.55,13.64,13.55,13.64,880
