date,open,high,low,close,volume
2019-09-25,9.33,9.33,9.07,9.13,29430
2019-09-26,9.07,9.33,9.07,9.13,13300
2019-09-27,9.36,9.36,9.07,9.17,12170
2019-09-30,9.1,9.59,9.1,9.23,54620
2019-10-01,9.2,9.3,9.07,9.2,27490
2019-10-02,9.17,9.2,9.1,9.2,6360
2019-10-03,9.2,9.2,9.0,9.07,29680
2019-10-04,9.07,9.1,9.03,9.1,20710
2019-10-07,9.03,9.2,9.03,9.2,3580
2019-10-08,9.2,9.2,9.0,9.13,18120
2019-10-09,9.13,9.2,9.03,9.13,9290
2019-10-10,9.2,9.2,9.03,9.07,5350
2019-10-11,9.2,9.2,9.0,9.17,12570
2019-10-14,9.1,9.13,9.0,9.13,17150
2019-10-15,9.03,9.1,9.03,9.1,11000
2019-10-16,9.1,9.1,9.0,9.1,12210
2019-10-17,9.1,9.17,9.0,9.0,16360
2019-10-18,9.0,9.53,9.0,9.46,37500
2019-10-21,9.46,9.46,9.1,9.26,28390
2019-10-22,9.33,9.43,9.13,9.3,70010
2019-10-23,9.56,9.56,9.17,9.36,18770
2019-10-24,9.2,9.46,9.17,9.36,15710
2019-10-25,9.17,9.36,9.07,9.26,34250
2019-10-28,8.74,9.36,8.74,9.1,10980
2019-10-29,9.13,9.2,9.07,9.07,15190
2019-10-30,9.07,9.07,9.0,9.07,4790
2019-10-31,9.13,9.17,9.0,9.1,4160
2019-11-01,9.17,9.17,9.0,9.13,27570
2019-11-04,9.07,9.13,9.07,9.13,4100
2019-11-05,9.07,9.07,9.0,9.03,15300
2019-11-06,9.03,9.13,9.0,9.07,9290
2019-11-07,9.0,9.07,9.0,9.07,2090
2019-11-08,9.07,9.07,9.0,9.07,6110
2019-11-11,9.07,9.07,8.9,9.0,4050
2019-11-12,8.94,9.13,8.9,9.0,10380
2019-11-13,9.0,9.0,8.97,8.97,2760
2019-11-14,8.9,9.0,8.9,9.0,4990
2019-11-15,8.97,9.1,8.9,9.07,15910
2019-11-18,9.03,9.07,9.03,9.07,990
2019-11-19,8.48,9.0,8.48,9.0,1260
2019-11-20,8.94,9.07,8.67,9.07,12180
2019-11-21,8.9,9.1,8.9,9.07,11110
2019-11-22,9.1,9.1,8.44,9.07,36220
2019-11-25,8.77,9.03,8.77,9.03,16960
2019-11-26,8.8,8.94,8.8,8.94,3310
2019-11-27,8.87,9.0,8.74,8.97,13190
2019-11-28,8.87,9.0,8.87,9.0,5010
2019-11-29,8.87,9.0,8.84,9.0,7010
2019-12-02,9.0,9.0,8.77,9.0,9970
2019-12-03,8.87,9.0,8.74,9.0,32360
2019-12-04,8.87,9.03,8.71,8.71,31370
2019-12-05,8.71,8.9,8.64,8.9,24930
2019-12-06,8.8,8.97,8.8,8.97,11200
2019-12-09,8.77,9.0,8.77,8.97,32060
2019-12-10,8.94,8.97,8.74,8.97,24770
2019-12-11,8.87,8.97,8.87,8.97,13810
2019-12-12,8.87,9.03,8.87,9.03,45110
2019-12-13,8.94,8.97,8.94,8.97,13100
2019-12-16,8.77,8.97,8.77,8.97,13290
2019-12-17,8.97,9.0,8.84,8.84,23450
2019-12-18,8.87,9.0,8.87,8.87,18880
2019-12-19,9.0,9.46,8.74,8.8,8020
2019-12-20,9.0,9.03,8.8,9.0,26430
2019-12-23,8.9,9.03,8.9,9.03,6000
2019-12-24,9.0,9.0,9.0,9.0,1580
2019-12-25,9.0,9.13,8.87,9.07,16210
2019-12-26,9.07,9.17,8.9,9.13,21870
2019-12-27,9.0,9.2,8.97,9.17,21360
2019-12-30,9.1,9.4,9.1,9.2,57040
2019-12-31,9.4,9.4,9.2,9.2,15930
2020-01-02,9.33,9.59,9.2,9.4,6800
2020-01-03,9.2,9.36,9.13,9.36,26420
2020-01-06,9.26,9.43,8.87,9.36,20720
2020-01-07,9.33,9.49,8.97,9.4,11130
2020-01-08,8.94,9.3,8.94,9.3,1250
2020-01-09,8.9,9.33,8.9,9.33,9220
2020-01-10,9.26,9.33,9.26,9.33,3030
2020-01-13,9.2,9.33,9.0,9.33,2610
2020-01-14,9.23,9.3,9.13,9.3,3900
2020-01-15,9.33,9.33,9.0,9.17,22480
2020-01-16,9.17,9.17,9.0,9.13,8230
2020-01-17,9.17,9.17,8.87,8.97,25940
