date,open,high,low,close,volume
2019-09-03,7.16,7.16,7.16,7.16,0
2019-09-04,7.16,7.16,7.16,7.16,0
2019-09-05,7.16,7.16,7.16,7.16,0
2019-09-06,7.16,7.16,7.16,7.16,0
2019-09-09,7.16,7.16,7.16,7.16,0
2019-09-10,7.16,7.16,7.16,7.16,0
2019-09-11,7.16,7.16,7.16,7.16,0
2019-09-12,7.16,7.16,7.16,7.16,0
2019-09-13,7.16,7.16,7.16,7.16,0
2019-09-16,7.27,7.27,7.27,7.27,100
2019-09-17,7.27,7.27,7.27,7.27,0
2019-09-18,7.27,7.27,7.27,7.27,500
2019-09-19,7.27,8.01,8.01,8.01,0
2019-09-20,7.27,8.01,8.01,8.01,0
2019-09-23,7.27,8.01,8.01,8.01,0
2019-09-24,7.27,8.01,8.01,8.01,0
2019-09-25,7.27,8.01,8.01,8.01,0
2019-09-26,7.27,8.01,8.01,8.01,0
2019-09-27,7.27,8.01,8.01,8.01,0
2019-09-30,7.27,8.01,8.01,8.01,0
2019-10-01,7.27,8.01,8.01,8.01,0
2019-10-02,7.27,8.01,8.01,8.01,0
2019-10-03,7.27,8.01,8.01,8.01,0
2019-10-04,7.27,7.27,7.27,7.27,500
2019-10-07,7.27,7.27,7.27,7.27,0
2019-10-08,7.27,7.27,7.27,7.27,0
2019-10-09,7.27,7.27,7.27,7.27,0
2019-10-10,7.27,7.27,7.27,7.27,0
2019-10-11,7.27,7.27,7.27,7.27,0
2019-10-14,7.39,7.39,7.39,7.39,100
2019-10-15,7.39,7.39,7.39,7.39,0
2019-10-16,7.39,7.39,7.39,7.39,0
2019-10-17,7.39,7.39,7.39,7.39,0
2019-10-18,7.39,7.39,7.39,7.39,0
2019-10-21,7.39,7.39,7.39,7.39,0
2019-10-22,7.39,7.39,7.39,7.39,0
2019-10-23,7.39,7.39,7.39,7.39,0
2019-10-24,7.39,7.39,7.39,7.39,0
2019-10-25,7.39,7.39,7.39,7.39,0
2019-10-28,7.39,7.39,7.39,7.39,0
2019-10-29,7.39,7.39,7.39,7.39,0
2019-10-30,8.5,8.5,8.5,8.5,100
2019-10-31,8.5,8.5,8.5,8.5,0
2019-11-01,8.5,8.5,8.5,8.5,0
2019-11-04,8.5,8.5,8.5,8.5,0
2019-11-05,8.5,8.5,8.5,8.5,0
2019-11-06,8.5,8.5,8.5,8.5,0
2019-11-07,8.5,8.5,8.5,8.5,0
2019-11-08,8.63,8.63,8.63,8.63,100
2019-11-11,8.63,8.63,8.63,8.63,0
2019-11-12,8.63,8.63,8.63,8.63,0
2019-11-13,8.63,8.63,8.63,8.63,0
2019-11-14,8.63,8.63,8.63,8.63,0
2019-11-15,8.63,8.63,8.63,8.63,0
2019-11-18,8.01,8.01,8.01,8.01,300
2019-11-19,8.01,8.01,8.01,8.01,0
2019-11-20,7.7,7.7,7.7,7.7,26300
2019-11-21,7.7,7.7,7.7,7.7,0
2019-11-22,7.7,7.7,7.7,7.7,0
2019-11-25,7.7,7.7,7.7,7.7,0
2019-11-26,6.65,7.39,6.65,7.39,30000
2019-11-27,8.01,8.01,8.01,8.01,300
2019-11-28,8.01,8.01,8.01,8.01,0
2019-11-29,8.01,8.01,8.01,8.01,0
2019-12-02,8.01,8.01,8.01,8.01,0
2019-12-03,8.01,8.01,8.01,8.01,0
2019-12-04,8.01,8.01,8.01,8.01,0
