date,open,high,low,close,volume
2021-07-20,10.3,10.3,8.07,10.3,1459100
2021-07-21,11.34,11.34,11.34,11.34,1939511
2021-07-22,13.03,13.03,12.43,12.43,1263986
2021-07-23,12.43,12.43,10.95,10.95,527796
2021-07-26,9.32,9.32,9.32,9.32,245773
2021-07-27,7.96,10.35,7.96,9.54,966851
2021-07-28,9.54,9.65,9.16,9.21,236390
2021-07-29,9.81,9.81,8.99,9.26,452195
2021-07-30,9.1,9.26,8.99,9.16,808337
2021-08-02,9.26,9.48,9.16,9.32,618538
2021-08-03,9.54,9.54,9.16,9.32,742368
2021-08-04,9.32,9.37,9.16,9.26,672201
2021-08-05,9.26,9.26,9.1,9.21,664827
2021-08-06,9.21,9.21,9.05,9.16,629251
2021-08-09,9.21,9.26,9.1,9.26,745940
2021-08-10,9.26,9.48,9.26,9.43,888034
2021-08-11,9.43,10.35,9.37,10.3,1582844
2021-08-12,10.35,10.9,10.25,10.35,869461
2021-08-13,10.52,10.52,9.81,10.19,801100
2021-08-16,10.03,10.25,9.7,10.19,732294
2021-08-17,10.19,10.41,10.03,10.08,612725
2021-08-18,10.14,10.14,9.97,10.08,331249
2021-08-19,9.97,10.08,9.92,10.08,433995
2021-08-20,10.08,10.08,9.54,9.7,838278
2021-08-23,9.54,9.65,9.26,9.32,548789
2021-08-24,9.26,9.43,9.21,9.37,309327
2021-08-25,9.37,9.43,9.21,9.43,205520
2021-08-26,9.43,9.48,9.32,9.37,232982
2021-08-27,9.32,9.37,9.16,9.37,314622
2021-08-30,9.43,9.54,9.26,9.37,495754
2021-08-31,9.37,9.65,9.37,9.48,371866
2021-09-01,9.43,9.48,9.37,9.43,196665
2021-09-06,9.37,9.48,9.26,9.37,490693
2021-09-07,9.37,9.59,9.37,9.54,578289
2021-09-08,9.54,9.65,9.37,9.43,228120
2021-09-09,9.48,9.48,9.32,9.43,279541
2021-09-10,9.43,9.48,9.32,9.43,187597
2021-09-13,9.37,9.43,9.32,9.32,294482
2021-09-14,9.32,9.37,9.21,9.26,371022
2021-09-15,9.26,9.32,9.16,9.32,306876
2021-09-16,9.26,9.32,9.21,9.26,222310
2021-09-17,9.26,9.92,9.26,9.65,1138927
2021-09-20,9.7,9.92,9.59,9.65,1033846
2021-09-21,9.7,9.7,9.32,9.54,414064
2021-09-22,9.65,9.65,9.43,9.59,576007
2021-09-23,9.59,10.03,9.43,9.7,1284825
2021-09-24,9.76,9.97,9.7,9.81,1925957
2021-09-27,9.86,9.92,9.54,9.59,692195
2021-09-28,9.54,9.54,9.26,9.48,323849
