date,open,high,low,close,volume
2019-09-26,8.74,8.88,8.64,8.74,12920
2019-09-27,8.74,8.74,8.54,8.54,4600
2019-09-30,8.66,8.68,8.36,8.36,25380
2019-10-01,8.36,8.54,8.36,8.54,17820
2019-10-02,8.54,8.84,8.52,8.79,116700
2019-10-03,8.69,8.79,8.66,8.66,50440
2019-10-04,8.66,8.66,8.44,8.44,21360
2019-10-07,8.49,8.49,8.2,8.2,26220
2019-10-08,8.2,8.47,8.2,8.47,20790
2019-10-09,8.22,8.52,8.22,8.37,23080
2019-10-10,8.42,8.44,8.37,8.37,19030
2019-10-11,8.54,8.54,8.3,8.49,19970
2019-10-14,8.49,8.54,8.13,8.49,55860
2019-10-15,8.49,8.59,8.37,8.52,32350
2019-10-16,8.52,8.62,8.47,8.54,31750
2019-10-17,8.44,8.57,8.42,8.57,12210
2019-10-18,8.54,8.54,8.42,8.42,2300
2019-10-21,8.42,8.42,8.32,8.37,26950
2019-10-22,8.3,8.4,8.3,8.4,14320
2019-10-23,8.31,8.52,8.31,8.49,67100
2019-10-24,8.47,8.54,8.47,8.54,8040
2019-10-25,8.57,8.57,8.37,8.52,45490
2019-10-28,8.35,8.71,8.35,8.49,9160
2019-10-29,8.59,8.59,8.32,8.35,13230
2019-10-30,8.42,8.54,8.3,8.54,21820
2019-10-31,8.54,8.54,8.49,8.54,65500
2019-11-01,8.54,8.54,8.37,8.54,26470
2019-11-04,8.54,8.54,8.42,8.42,258310
2019-11-05,8.59,8.59,8.4,8.52,122170
2019-11-06,8.44,8.44,8.3,8.42,74360
2019-11-07,8.3,8.42,8.3,8.31,202450
2019-11-08,8.46,8.49,8.35,8.36,144030
2019-11-11,8.35,8.36,8.3,8.3,155360
2019-11-12,8.3,8.35,8.3,8.31,127500
2019-11-13,8.27,8.38,8.14,8.29,104600
2019-11-14,8.27,8.52,8.27,8.3,130030
2019-11-15,8.3,8.3,8.16,8.19,124190
2019-11-18,8.2,8.29,8.2,8.29,44310
2019-11-19,8.3,8.3,8.2,8.3,36800
2019-11-20,8.05,8.3,8.05,8.3,35640
2019-11-21,8.05,8.3,8.05,8.18,102380
2019-11-22,8.19,8.27,8.15,8.15,408480
2019-11-25,8.2,8.69,8.08,8.08,439070
2019-11-26,8.05,8.3,8.05,8.08,104330
2019-11-27,8.05,8.18,8.05,8.05,146900
2019-11-28,8.08,8.3,8.08,8.15,15960
2019-11-29,8.16,8.3,8.08,8.22,392020
2019-12-02,8.22,8.22,8.1,8.15,53710
2019-12-03,8.05,8.15,7.98,8.1,8580
2019-12-04,8.18,8.18,7.93,8.14,7880
2019-12-05,7.98,8.05,7.96,7.96,51710
2019-12-06,7.96,7.96,7.57,7.69,71540
2019-12-09,7.92,7.93,7.74,7.92,18800
2019-12-10,7.79,7.79,7.71,7.76,187140
2019-12-11,7.81,7.86,7.65,7.69,15340
2019-12-12,7.88,7.88,7.66,7.79,27460
2019-12-13,7.64,7.8,7.61,7.74,23010
2019-12-16,7.69,7.69,7.64,7.66,42350
2019-12-17,7.61,7.61,7.47,7.53,50960
2019-12-18,7.53,7.53,7.13,7.2,49090
2019-12-19,7.22,7.44,7.22,7.32,12660
2019-12-20,7.2,7.4,7.13,7.32,149860
2019-12-23,7.32,7.32,7.14,7.2,30760
2019-12-24,7.32,7.7,7.08,7.2,96900
2019-12-25,7.3,7.31,7.14,7.27,68620
2019-12-26,7.08,7.27,7.08,7.2,21720
2019-12-27,7.18,7.27,7.15,7.27,21900
2019-12-30,7.2,7.2,7.16,7.2,46860
2019-12-31,7.2,7.2,7.05,7.2,56710
2020-01-02,7.08,7.08,6.98,7.08,18320
2020-01-03,7.08,7.08,6.96,7.08,2450
2020-01-06,6.83,7.15,6.83,6.98,22760
2020-01-07,7.18,7.18,6.98,6.98,18320
2020-01-08,6.83,6.98,6.83,6.98,2640
2020-01-09,7.08,7.08,6.98,7.05,3720
2020-01-10,6.98,7.05,6.86,7.03,8570
2020-01-13,6.88,7.18,6.88,7.08,40860
2020-01-14,7.08,7.08,6.96,7.08,65730
2020-01-15,6.96,7.29,6.96,7.08,1050
2020-01-16,6.85,7.07,6.85,6.96,24120
2020-01-17,6.96,7.19,6.96,7.03,30490
2020-01-20,7.08,7.08,6.97,6.97,10870
2020-01-21,6.96,7.08,6.96,7.05,53940
2020-01-22,7.19,7.19,6.98,6.98,44180
2020-01-30,7.32,7.32,6.59,6.59,101240
2020-01-31,6.83,6.83,6.49,6.54,54030
2020-02-03,6.13,6.54,6.1,6.54,96440
2020-02-04,6.35,6.59,6.35,6.54,6550
2020-02-05,6.37,6.66,6.22,6.5,59100
2020-02-06,6.32,6.59,6.32,6.54,23930
2020-02-07,6.49,6.77,6.1,6.47,60730
2020-02-10,6.59,6.59,6.38,6.44,9850
2020-02-11,6.44,6.54,6.35,6.47,30890
2020-02-12,6.47,6.69,6.46,6.68,55830
2020-02-13,6.59,6.75,6.59,6.75,34100
2020-02-14,6.81,7.05,6.78,6.87,30240
2020-02-17,6.82,6.96,6.74,6.83,17570
2020-02-18,6.85,6.91,6.71,6.91,14320
2020-02-19,6.91,6.91,6.68,6.86,120
2020-02-20,6.72,6.83,6.72,6.83,4640
2020-02-21,6.83,6.92,6.75,6.83,128730
