date,open,high,low,close,volume
2019-07-08,9.81,9.48,9.48,9.48,0
2019-07-09,9.81,9.48,9.48,9.48,0
2019-07-10,9.81,9.48,9.48,9.48,0
2019-07-11,9.81,9.48,9.48,9.48,0
2019-07-12,9.81,9.48,9.48,9.48,0
2019-07-15,9.81,9.48,9.48,9.48,0
2019-07-16,9.81,9.48,9.48,9.48,0
2019-07-17,9.81,9.48,9.48,9.48,0
2019-07-18,9.81,9.48,9.48,9.48,0
2019-07-19,9.81,9.48,9.48,9.48,0
2019-07-22,9.81,9.48,9.48,9.48,0
2019-07-23,9.81,9.48,9.48,9.48,0
2019-07-24,9.81,9.48,9.48,9.48,0
2019-07-25,9.81,9.48,9.48,9.48,0
2019-07-26,9.81,9.48,9.48,9.48,0
2019-07-29,9.81,9.48,9.48,9.48,0
2019-07-30,9.81,9.48,9.48,9.48,0
2019-07-31,9.81,9.48,9.48,9.48,0
2019-08-01,9.81,9.48,9.48,9.48,0
2019-08-02,9.81,9.48,9.48,9.48,0
2019-08-05,9.81,9.48,9.48,9.48,0
2019-08-06,8.55,8.55,8.55,8.55,200
2019-08-07,9.81,9.81,9.81,9.81,12640
2019-08-08,11.25,11.25,11.25,11.25,100
2019-08-09,11.25,11.25,11.25,11.25,0
2019-08-12,11.25,11.25,11.25,11.25,0
2019-08-13,11.25,11.25,11.25,11.25,0
2019-08-14,11.25,11.25,11.25,11.25,0
2019-08-15,11.25,11.25,11.25,11.25,0
2019-08-16,11.25,11.25,11.25,11.25,0
2019-08-19,11.25,11.25,11.25,11.25,0
2019-08-20,11.25,11.25,11.25,11.25,0
2019-08-21,11.25,11.25,11.25,11.25,0
2019-08-22,11.25,11.25,11.25,11.25,0
2019-08-23,11.25,11.25,11.25,11.25,0
2019-08-26,11.25,11.25,11.25,11.25,0
2019-08-27,9.59,9.59,9.59,9.59,100
2019-08-28,9.59,9.59,9.59,9.59,25
2019-08-29,9.59,9.59,9.59,9.59,40
2019-08-30,9.59,9.59,9.59,9.59,0
2019-09-03,9.59,9.59,9.59,9.59,0
2019-09-04,9.59,9.59,9.59,9.59,0
2019-09-05,9.59,9.59,9.59,9.59,0
2019-09-06,9.59,9.59,9.59,9.59,0
2019-09-09,9.59,9.59,9.59,9.59,0
2019-09-10,9.59,9.59,9.59,9.59,0
2019-09-11,9.59,9.59,9.59,9.59,0
2019-09-12,9.59,9.59,9.59,9.59,0
2019-09-13,9.59,9.59,9.59,9.59,0
2019-09-16,9.59,9.59,9.59,9.59,0
2019-09-17,9.59,9.59,9.59,9.59,0
2019-09-18,9.59,9.59,9.59,9.59,0
2019-09-19,9.59,9.59,9.59,9.59,0
2019-09-20,9.59,9.59,9.59,9.59,0
2019-09-23,9.59,9.59,9.59,9.59,0
2019-09-24,9.59,9.59,9.59,9.59,0
