date,open,high,low,close,volume
2019-08-27,20.73,20.79,20.15,20.73,20610
2019-08-28,20.96,20.96,20.96,20.96,20
2019-08-29,21.59,21.59,20.44,21.48,1580
2019-08-30,21.48,21.48,20.44,20.73,13070
2019-09-03,20.84,20.84,20.44,20.67,4050
2019-09-04,20.67,22.11,20.44,22.11,3780
2019-09-05,22.11,22.11,20.73,20.73,1130
2019-09-06,22.05,22.05,19.35,21.82,1240
2019-09-09,20.61,20.61,20.61,20.61,18500
2019-09-10,20.5,20.5,20.04,20.04,13300
2019-09-11,20.04,20.04,19.35,19.35,720
2019-09-12,19.46,19.46,19.35,19.35,1460
2019-09-13,19.29,20.56,17.99,20.56,3460
2019-09-16,19.58,19.58,19.58,19.58,10
2019-09-17,19.58,19.58,19.35,19.35,830
2019-09-18,19.35,19.35,19.09,19.32,3090
2019-09-19,18.43,18.43,18.43,18.43,10
2019-09-20,18.54,18.54,18.43,18.43,330
2019-09-23,19.52,19.52,18.71,18.71,970
2019-09-24,18.71,18.71,18.71,18.71,10
2019-09-25,19.81,19.81,19.81,19.81,10
2019-09-26,18.6,19.69,18.6,19.69,580
2019-09-27,19.29,19.29,19.29,19.29,600
2019-09-30,18.48,20.15,18.48,20.15,20
2019-10-01,20.1,20.1,20.1,20.1,1400
2019-10-02,18.77,18.77,18.77,18.77,30
2019-10-03,20.04,20.07,18.45,18.45,530
2019-10-04,18.45,18.45,18.45,18.45,0
2019-10-07,18.43,19.58,18.02,19.58,2220
2019-10-08,20.1,20.1,18.45,18.45,240
2019-10-09,18.45,18.45,18.45,18.45,0
2019-10-10,18.43,18.43,18.43,18.43,70
2019-10-11,19.58,19.58,19.58,19.58,10
2019-10-14,19.58,19.58,19.58,19.58,0
2019-10-15,18.48,18.48,18.48,18.48,20
2019-10-16,19.63,19.63,19.63,19.63,10
2019-10-17,18.45,18.45,18.45,18.45,10
2019-10-18,18.45,18.45,18.45,18.45,3840
2019-10-21,18.43,19.0,17.85,19.0,1130
2019-10-22,17.85,18.02,17.85,18.02,120
2019-10-23,17.85,18.14,17.85,18.14,4160
