date,open,high,low,close,volume
2019-06-12,28.35,23.45,23.45,23.45,0
2019-06-13,28.35,23.45,23.45,23.45,0
2019-06-14,28.35,23.45,23.45,23.45,0
2019-06-17,28.35,23.45,23.45,23.45,0
2019-06-18,28.35,23.45,23.45,23.45,0
2019-06-19,28.35,23.45,23.45,23.45,0
2019-06-20,28.35,28.35,28.35,28.35,0
2019-06-21,28.35,28.35,28.35,28.35,0
2019-06-24,28.35,23.45,23.45,23.45,0
2019-06-25,28.35,23.45,23.45,23.45,0
2019-06-26,28.35,23.45,23.45,23.45,0
2019-06-27,28.35,23.45,23.45,23.45,0
2019-06-28,28.35,23.45,23.45,23.45,0
2019-07-01,28.35,23.45,23.45,23.45,0
2019-07-02,28.35,23.45,23.45,23.45,0
2019-07-03,28.35,23.45,23.45,23.45,0
2019-07-04,28.35,28.35,28.35,28.35,0
2019-07-05,17.01,17.01,17.01,17.01,200
2019-07-08,14.51,14.51,14.51,14.51,1100
2019-07-09,14.51,14.51,14.51,14.51,0
2019-07-10,14.51,14.51,14.51,14.51,0
2019-07-11,14.51,14.51,14.51,14.51,0
2019-07-12,16.53,16.53,16.53,16.53,100
2019-07-15,16.53,16.53,16.53,16.53,0
2019-07-16,16.53,16.53,16.53,16.53,0
2019-07-17,16.53,16.53,16.53,16.53,0
2019-07-18,16.53,16.53,16.53,16.53,0
2019-07-19,16.53,16.53,16.53,16.53,0
2019-07-22,14.13,14.13,14.13,14.13,200
2019-07-23,14.13,14.13,14.13,14.13,0
2019-07-24,14.13,14.13,14.13,14.13,0
2019-07-25,14.13,14.13,14.13,14.13,0
2019-07-26,14.13,14.13,14.13,14.13,0
2019-07-29,14.13,14.13,14.13,14.13,0
2019-07-30,14.13,14.13,14.13,14.13,0
2019-07-31,14.13,14.13,14.13,14.13,0
2019-08-01,14.13,14.13,14.13,14.13,0
2019-08-02,14.13,14.13,14.13,14.13,0
2019-08-05,14.13,14.13,14.13,14.13,0
2019-08-06,14.13,14.13,14.13,14.13,0
2019-08-07,14.13,14.13,14.13,14.13,0
2019-08-08,12.01,14.13,12.01,14.13,700
2019-08-09,10.67,12.01,10.67,11.15,610
2019-08-12,9.9,12.88,9.71,12.88,69930
2019-08-13,12.01,12.88,12.88,12.88,0
2019-08-14,10.28,10.28,10.28,10.28,500
2019-08-15,11.82,11.82,9.03,9.03,800
2019-08-16,10.09,10.09,9.9,9.9,1060
2019-08-19,9.99,9.9,9.9,9.9,0
2019-08-20,9.99,9.9,9.9,9.9,0
2019-08-21,11.44,11.44,11.44,11.44,409
2019-08-22,9.9,9.99,9.9,9.9,5100
2019-08-23,11.24,11.24,10.57,10.57,500
2019-08-26,12.2,12.2,12.2,12.2,100
2019-08-27,12.2,12.2,12.2,12.2,0
2019-08-28,11.82,13.45,10.38,10.38,5600
2019-08-29,13.26,10.38,10.38,10.38,0
2019-08-30,11.34,14.89,11.34,14.32,2300
2019-09-03,13.36,14.32,14.32,14.32,0
2019-09-04,13.36,14.32,14.32,14.32,0
2019-09-05,11.44,11.44,11.44,11.44,200
2019-09-06,11.44,11.44,11.44,11.44,0
2019-09-09,10.19,10.19,9.9,9.9,700
2019-09-10,10.09,10.09,10.09,10.09,100
2019-09-11,10.09,10.09,10.09,10.09,116
2019-09-12,8.84,8.84,8.84,8.84,100
2019-09-13,8.84,8.84,8.84,8.84,0
2019-09-16,10.09,10.09,10.09,10.09,100
2019-09-17,10.09,10.09,10.09,10.09,0
2019-09-18,10.09,10.09,10.09,10.09,0
2019-09-19,10.09,10.09,10.09,10.09,0
2019-09-20,10.09,10.09,10.09,10.09,0
2019-09-23,10.09,10.09,10.09,10.09,0
2019-09-24,10.09,10.09,10.09,10.09,0
2019-09-25,10.09,10.09,10.09,10.09,0
2019-09-26,10.09,10.09,10.09,10.09,0
2019-09-27,11.24,11.53,8.94,8.94,1100
2019-09-30,9.8,9.8,9.71,9.71,1232
2019-10-01,9.8,9.9,9.8,9.9,2407
2019-10-02,11.05,11.24,8.94,8.94,4000
2019-10-03,11.05,11.05,9.61,9.61,500
2019-10-04,9.8,12.3,9.8,9.8,3300
2019-10-07,10.67,10.67,10.67,10.67,100
2019-10-08,10.67,10.67,10.67,10.67,0
2019-10-09,10.67,10.67,10.67,10.67,0
2019-10-10,11.44,11.44,11.44,11.44,200
2019-10-11,11.44,11.44,11.44,11.44,20
2019-10-14,11.44,11.44,11.44,11.44,0
2019-10-15,11.53,11.53,11.53,11.53,500
2019-10-16,11.53,11.53,11.53,11.53,0
2019-10-17,11.53,11.53,11.53,11.53,0
2019-10-18,11.53,11.53,11.53,11.53,0
2019-10-21,11.53,11.53,11.53,11.53,0
2019-10-22,11.53,11.53,11.53,11.53,0
2019-10-23,11.53,11.53,11.53,11.53,0
2019-10-24,11.53,11.53,11.53,11.53,0
2019-10-25,11.53,11.53,11.53,11.53,0
2019-10-28,11.53,11.53,11.53,11.53,0
2019-10-29,11.53,11.53,11.53,11.53,0
2019-10-30,10.09,10.09,9.9,9.9,1000
2019-10-31,9.61,10.57,9.61,9.9,500
2019-11-01,9.9,10.57,10.57,10.57,0
2019-11-04,9.71,11.34,9.71,11.34,1100
2019-11-05,11.05,11.05,11.05,11.05,300
2019-11-06,10.09,10.09,10.09,10.09,100
2019-11-07,10.09,10.09,10.09,10.09,0
2019-11-08,9.99,9.99,9.99,9.99,100
2019-11-11,10.09,10.19,10.09,10.19,432
2019-11-12,10.19,10.19,10.19,10.19,0
2019-11-13,10.19,10.19,10.19,10.19,0
2019-11-14,10.19,10.19,10.19,10.19,10
2019-11-15,10.19,10.19,10.19,10.19,0
2019-11-18,10.19,10.19,10.19,10.19,0
2019-11-19,10.19,10.19,10.19,10.19,0
2019-11-20,10.19,10.19,10.19,10.19,0
2019-11-21,10.19,10.19,10.19,10.19,93
2019-11-22,0.0,0.0,0.0,10.19,71
2019-11-25,10.19,10.19,10.19,10.19,0
2019-11-26,10.19,10.19,10.19,10.19,0
2019-11-27,10.19,10.19,10.19,10.19,0
2019-11-28,10.19,10.19,10.19,10.19,0
2019-11-29,9.32,9.32,9.32,9.32,100
2019-12-02,9.32,9.32,9.32,9.32,0
2019-12-03,9.32,9.32,9.32,9.32,0
2019-12-04,9.32,9.32,9.32,9.32,0
2019-12-05,9.32,9.32,9.32,9.32,0
2019-12-06,10.09,10.09,10.09,10.09,200
2019-12-09,11.44,11.44,11.44,11.44,100
2019-12-10,11.44,11.44,11.44,11.44,0
2019-12-11,12.97,12.97,12.97,12.97,100
2019-12-12,12.97,12.97,12.97,12.97,0
2019-12-13,11.05,11.05,11.05,11.05,200
2019-12-16,11.05,11.05,11.05,11.05,0
2019-12-17,11.05,11.05,11.05,11.05,0
2019-12-18,11.05,11.44,11.05,11.44,900
2019-12-19,11.24,11.44,11.44,11.44,0
2019-12-20,11.24,11.44,11.44,11.44,0
2019-12-23,11.24,11.44,11.44,11.44,0
2019-12-24,11.24,11.44,11.44,11.44,0
2019-12-25,11.24,11.44,11.44,11.44,0
2019-12-26,11.24,11.44,11.44,11.44,0
2019-12-27,11.24,11.44,11.44,11.44,0
2019-12-30,11.24,11.44,11.44,11.44,0
2019-12-31,11.24,11.44,11.44,11.44,0
2020-01-02,11.24,11.44,11.44,11.44,0
2020-01-03,11.24,11.44,11.44,11.44,0
2020-01-06,11.24,11.44,11.44,11.44,0
2020-01-07,11.24,11.44,11.44,11.44,0
2020-01-08,11.24,11.44,11.44,11.44,0
2020-01-09,11.24,11.44,11.44,11.44,0
2020-01-10,11.24,11.24,11.24,11.24,7000
2020-01-13,12.88,12.88,12.88,12.88,10200
2020-01-14,10.95,10.95,10.95,10.95,100
2020-01-15,12.59,12.59,9.71,9.71,7900
2020-01-16,11.53,11.53,11.53,11.53,200
2020-01-17,10.28,10.57,10.28,10.57,300
2020-01-20,10.47,10.47,10.47,10.57,3
2020-01-21,10.47,10.57,10.57,10.57,0
2020-01-22,10.47,10.57,10.57,10.57,0
2020-01-30,10.47,10.57,10.57,10.57,0
2020-01-31,10.47,10.57,10.57,10.57,0
2020-02-03,10.47,10.57,10.57,10.57,0
2020-02-04,10.47,10.47,10.47,10.57,15
2020-02-05,10.47,10.57,10.57,10.57,0
2020-02-06,10.76,10.76,10.76,10.76,100
2020-02-07,10.76,10.76,10.76,10.76,0
2020-02-10,10.76,10.76,10.76,10.76,0
2020-02-11,10.76,10.76,10.76,10.76,0
2020-02-12,10.76,10.76,10.76,10.76,0
2020-02-13,10.76,10.76,10.76,10.76,0
2020-02-14,10.76,10.76,10.76,10.76,0
2020-02-17,10.76,10.76,10.76,10.76,0
2020-02-18,10.76,10.76,10.76,10.76,0
2020-02-19,10.76,10.76,10.76,10.76,150
2020-02-20,10.76,10.76,10.76,10.76,0
2020-02-21,10.76,10.76,10.76,10.76,0
2020-02-24,10.76,10.76,10.76,10.76,0
2020-02-25,10.76,10.76,10.76,10.76,0
2020-02-26,9.51,9.51,9.51,9.51,100
2020-02-27,9.51,9.51,9.51,9.51,0
2020-02-28,9.51,9.51,9.51,9.51,0
2020-03-02,9.51,9.51,9.51,9.51,0
2020-03-03,9.51,9.51,9.51,9.51,0
2020-03-04,9.51,9.51,9.51,9.51,0
2020-03-05,9.51,9.51,9.51,9.51,0
2020-03-06,9.71,10.86,9.61,10.86,800
2020-03-09,11.44,11.44,11.44,11.44,100
2020-03-10,11.44,11.44,11.44,11.44,0
2020-03-11,11.34,11.34,11.05,11.05,3000
2020-03-12,11.34,11.05,11.05,11.05,0
2020-03-13,12.88,12.88,12.88,12.88,100
2020-03-16,12.88,12.88,12.88,12.88,0
2020-03-17,12.88,12.88,12.88,12.88,0
2020-03-18,10.95,10.95,10.95,10.95,100
2020-03-19,10.95,10.95,10.95,10.95,0
2020-03-20,10.95,10.95,10.95,10.95,0
2020-03-23,10.95,10.95,10.95,10.95,0
2020-03-24,10.95,10.95,10.95,10.95,0
2020-03-25,9.71,9.71,9.71,9.71,1600
2020-03-26,9.71,9.71,9.71,9.71,0
2020-03-27,9.71,9.71,9.71,9.71,0
2020-03-30,10.57,10.57,10.57,10.57,300
2020-03-31,10.57,10.57,10.57,10.57,0
2020-04-01,10.57,10.57,10.57,10.57,0
2020-04-03,10.57,10.57,10.57,10.57,1000
2020-04-06,12.01,12.01,9.23,9.23,2607
2020-04-07,10.19,10.19,10.19,10.19,100
2020-04-08,10.19,10.19,10.19,10.19,0
2020-04-09,10.19,10.19,10.19,10.19,0
2020-04-10,10.19,10.19,10.19,10.19,0
2020-04-13,10.19,10.19,10.19,10.19,0
2020-04-14,10.19,10.19,10.19,10.19,0
2020-04-15,10.19,10.19,10.19,10.19,0
2020-04-16,9.51,9.51,9.51,9.51,100
2020-04-17,10.86,10.86,9.61,9.61,200
2020-04-20,10.28,9.61,9.61,9.61,0
2020-04-21,10.28,9.61,9.61,9.61,0
2020-04-22,10.28,10.28,10.28,9.61,40
2020-04-23,10.28,9.61,9.61,9.61,0
2020-04-24,10.28,9.61,9.61,9.61,0
2020-04-27,10.28,9.61,9.61,9.61,0
2020-04-28,10.28,9.61,9.61,9.61,0
2020-04-29,10.28,9.61,9.61,9.61,0
2020-05-04,10.28,9.61,9.61,9.61,0
2020-05-05,11.72,11.72,9.61,9.61,1100
2020-05-06,11.53,9.61,9.61,9.61,0
2020-05-07,11.53,9.61,9.61,9.61,0
2020-05-08,11.53,11.53,11.53,9.61,10
2020-05-11,11.53,9.61,9.61,9.61,0
2020-05-12,11.53,9.61,9.61,9.61,0
2020-05-13,11.53,9.61,9.61,9.61,0
2020-05-14,11.53,9.61,9.61,9.61,0
2020-05-15,11.53,9.61,9.61,9.61,0
2020-05-18,11.53,9.61,9.61,9.61,0
2020-05-19,11.53,11.53,11.53,9.61,20
2020-05-20,11.53,11.53,11.53,11.53,100
2020-05-21,11.53,11.53,11.53,11.53,0
2020-05-22,11.53,11.53,11.53,11.53,0
2020-05-25,11.53,11.53,11.53,11.53,0
2020-05-26,11.53,11.53,11.53,11.53,0
2020-05-27,11.53,11.53,11.53,11.53,0
2020-05-28,11.53,11.53,11.53,11.53,36
2020-05-29,11.53,11.53,11.53,11.53,0
2020-06-01,11.53,11.53,11.53,11.53,6
2020-06-02,11.53,11.53,11.53,11.53,0
2020-06-03,11.53,11.53,11.53,11.53,0
2020-06-04,11.53,11.53,11.53,11.53,0
2020-06-05,11.53,11.53,11.53,11.53,0
2020-06-08,11.53,11.53,11.53,11.53,5
2020-06-09,11.53,11.53,11.53,11.53,3
2020-06-10,11.53,11.53,11.53,11.53,0
2020-06-11,11.53,11.53,11.53,11.53,0
2020-06-12,11.53,11.53,11.53,11.53,0
2020-06-15,11.53,11.53,11.53,11.53,0
2020-06-16,11.53,11.53,11.53,11.53,0
2020-06-17,11.53,11.53,11.53,11.53,0
2020-06-18,11.53,11.53,11.53,11.53,0
2020-06-19,11.53,11.53,11.53,11.53,0
2020-06-22,11.53,11.53,11.53,11.53,0
2020-06-23,11.53,11.53,11.53,11.53,0
2020-06-24,11.53,11.53,11.53,11.53,31
2020-06-25,11.53,11.53,9.9,9.9,300
2020-06-26,11.53,11.53,11.53,11.53,1400
2020-06-29,11.53,11.53,11.53,11.53,0
2020-06-30,10.95,11.05,10.95,11.05,1220
2020-07-01,9.8,9.8,9.71,9.71,700
2020-07-02,9.8,9.8,9.8,9.71,20
2020-07-03,9.8,9.8,9.8,9.71,68
2020-07-06,10.76,10.76,9.9,9.9,300
2020-07-07,10.47,10.47,10.47,10.47,112
2020-07-08,10.47,10.47,10.47,10.47,0
2020-07-09,10.47,10.47,10.47,10.47,0
2020-07-10,10.47,10.47,10.47,10.47,0
2020-07-13,10.47,10.47,10.47,10.47,0
2020-07-14,12.01,12.01,9.99,9.99,600
2020-07-15,11.72,9.99,9.99,9.99,0
2020-07-16,11.72,9.99,9.99,9.99,0
2020-07-17,11.72,12.49,10.28,10.28,3400
2020-07-20,11.72,10.28,10.28,10.28,0
2020-07-21,11.72,10.28,10.28,10.28,0
2020-07-22,11.72,10.28,10.28,10.28,0
2020-07-23,11.72,10.28,10.28,10.28,0
2020-07-24,11.72,10.28,10.28,10.28,0
2020-07-27,10.09,10.09,10.09,10.09,200
2020-07-28,10.09,10.09,10.09,10.09,0
2020-07-29,10.09,10.09,10.09,10.09,0
2020-07-30,10.09,10.09,10.09,10.09,0
2020-07-31,11.53,11.53,11.53,11.53,200
2020-08-03,11.53,11.53,11.53,11.53,0
2020-08-04,11.53,11.53,11.53,11.53,0
2020-08-05,11.53,11.53,11.53,11.53,0
2020-08-06,11.53,11.53,11.53,11.53,0
2020-08-07,11.53,11.53,11.53,11.53,0
2020-08-10,11.53,11.53,11.53,11.53,0
2020-08-11,11.53,11.53,11.53,11.53,0
2020-08-12,11.53,11.53,11.53,11.53,0
2020-08-13,11.53,11.53,11.53,11.53,0
2020-08-14,11.53,11.53,11.53,11.53,0
2020-08-17,11.53,11.53,11.53,11.53,0
2020-08-18,11.53,11.53,11.53,11.53,0
2020-08-19,11.53,11.53,11.53,11.53,0
2020-08-20,11.53,11.53,11.53,11.53,0
2020-08-21,11.53,11.53,11.53,11.53,0
2020-08-24,11.53,11.53,11.53,11.53,0
2020-08-25,11.53,11.53,11.53,11.53,0
2020-08-26,11.53,11.53,11.53,11.53,1
2020-08-27,12.49,12.49,12.49,12.49,100
2020-08-28,12.49,12.49,12.49,12.49,0
2020-08-31,12.49,12.49,12.49,12.49,0
2020-09-01,12.49,12.49,12.49,12.49,0
2020-09-03,12.49,12.49,12.49,12.49,0
2020-09-04,12.49,12.49,12.49,12.49,0
2020-09-07,12.49,12.49,12.49,12.49,0
2020-09-08,10.67,10.67,10.67,10.67,100
2020-09-09,10.67,10.67,10.67,10.67,12
2020-09-10,10.67,10.67,10.67,10.67,0
2020-09-11,10.67,10.67,10.67,10.67,0
2020-09-14,10.67,10.67,10.67,10.67,0
2020-09-15,10.67,10.67,10.67,10.67,0
2020-09-16,10.67,10.67,10.67,10.67,0
2020-09-17,12.01,12.01,10.57,10.57,600
2020-09-18,11.82,10.57,10.57,10.57,0
2020-09-21,11.82,11.82,11.82,10.57,10
2020-09-22,11.82,10.57,10.57,10.57,0
2020-09-23,10.19,10.19,10.19,10.19,500
2020-09-24,10.19,10.19,10.19,10.19,0
2020-09-25,10.19,10.19,10.19,10.19,0
2020-09-28,10.57,10.57,10.57,10.57,100
2020-09-29,12.11,12.11,12.11,12.11,1000
2020-09-30,12.11,12.11,12.11,12.11,0
2020-10-01,13.45,13.84,10.67,10.76,1800
2020-10-02,13.26,10.76,10.76,10.76,0
2020-10-05,13.26,10.76,10.76,10.76,0
2020-10-06,15.18,15.18,11.34,11.44,3400
2020-10-07,12.59,12.59,12.59,12.59,100
2020-10-08,10.95,14.41,10.95,11.24,5200
2020-10-09,11.72,11.72,11.72,11.72,300
2020-10-12,11.72,11.72,11.72,11.72,0
2020-10-13,11.72,11.72,11.72,11.72,0
2020-10-14,13.45,13.45,11.34,11.34,300
