date,open,high,low,close,volume
2019-09-06,9.9,9.8,9.8,9.8,0
2019-09-09,9.9,9.8,9.8,9.8,0
2019-09-10,9.9,9.8,9.8,9.8,0
2019-09-11,9.9,9.8,9.8,9.8,0
2019-09-12,9.75,9.75,9.66,9.66,4000
2019-09-13,9.32,9.32,9.32,9.32,1000
2019-09-16,9.32,9.32,9.32,9.32,0
2019-09-17,9.08,9.08,8.46,8.46,1300
2019-09-18,8.61,8.46,8.46,8.46,0
2019-09-19,8.61,8.46,8.46,8.46,0
2019-09-20,8.61,8.46,8.46,8.46,0
2019-09-23,8.61,8.46,8.46,8.46,0
2019-09-24,8.61,8.46,8.46,8.46,0
2019-09-25,9.71,9.71,9.71,9.71,1000
2019-09-26,9.71,9.71,9.71,9.71,0
2019-09-27,9.71,9.71,9.71,9.71,0
2019-09-30,9.71,9.71,9.71,9.71,0
2019-10-01,9.71,9.71,9.71,9.71,0
2019-10-02,9.71,9.71,9.71,9.71,0
2019-10-03,9.71,9.71,9.71,9.71,0
2019-10-04,9.71,9.71,9.71,9.71,0
2019-10-07,9.71,9.71,9.71,9.71,0
2019-10-08,9.71,9.71,9.71,9.71,0
2019-10-09,9.71,9.71,9.71,9.71,500
2019-10-10,9.71,9.71,9.71,9.71,0
2019-10-11,9.71,9.71,9.71,9.71,0
2019-10-14,9.71,9.71,9.71,9.71,0
2019-10-15,9.71,9.71,9.71,9.71,0
2019-10-16,9.71,9.71,9.71,9.71,0
2019-10-17,9.71,9.71,9.71,9.71,1000
2019-10-18,9.71,9.71,9.71,9.71,0
2019-10-21,9.71,9.71,9.71,9.71,0
2019-10-22,9.71,9.71,9.71,9.71,0
2019-10-23,9.71,9.71,9.71,9.71,0
2019-10-24,9.71,9.71,9.71,9.71,0
2019-10-25,9.71,9.71,9.71,9.71,0
2019-10-28,9.71,9.71,9.71,9.71,0
2019-10-29,9.71,9.71,9.71,9.71,0
2019-10-30,9.71,9.71,9.71,9.71,0
2019-10-31,9.71,9.71,9.71,9.71,0
2019-11-01,9.71,9.71,9.71,9.71,0
2019-11-04,8.46,8.46,8.46,8.46,300
2019-11-05,8.46,8.46,8.46,8.46,0
2019-11-06,8.46,8.46,8.46,8.46,0
2019-11-07,8.46,8.46,8.46,8.46,0
2019-11-08,8.46,8.46,8.46,8.46,0
2019-11-11,8.46,8.46,8.46,8.46,0
2019-11-12,8.46,8.46,8.46,8.46,0
2019-11-13,8.84,8.84,8.84,8.84,100
2019-11-14,8.84,8.84,8.84,8.84,0
2019-11-15,8.89,8.89,8.89,8.89,1100
2019-11-18,7.94,7.94,7.94,7.94,100
2019-11-19,7.94,7.94,7.94,7.94,0
2019-11-20,8.94,9.08,8.94,9.08,308
2019-11-21,7.94,8.99,7.94,8.99,200
2019-11-22,9.71,9.71,9.71,9.71,100
2019-11-25,9.71,9.71,9.71,9.71,0
2019-11-26,9.71,9.71,9.71,9.71,0
2019-11-27,8.37,8.99,8.37,8.99,2100
2019-11-28,9.08,9.61,8.61,8.61,2200
2019-11-29,9.42,9.42,9.42,9.42,100
2019-12-02,10.47,10.47,8.37,9.42,4100
2019-12-03,9.66,9.66,9.66,9.66,100
2019-12-04,10.95,10.95,10.95,10.95,100
2019-12-05,10.85,10.85,10.85,10.85,100
2019-12-06,10.85,10.85,10.85,10.85,0
2019-12-09,9.23,9.23,9.23,9.23,100
2019-12-10,9.23,9.23,9.23,9.23,0
2019-12-11,9.23,9.23,9.23,9.23,0
2019-12-12,9.23,9.23,9.23,9.23,0
2019-12-13,9.04,9.04,9.04,9.04,400
2019-12-16,9.04,9.04,9.04,9.04,0
2019-12-17,9.04,9.04,9.04,9.04,0
2019-12-18,8.61,8.61,8.61,8.61,400
2019-12-19,8.61,8.61,8.61,8.61,0
2019-12-20,8.61,8.61,8.61,8.61,0
2019-12-23,8.65,8.65,8.65,8.65,100
2019-12-24,8.7,8.7,8.7,8.7,200
2019-12-25,8.7,8.7,8.7,8.7,0
2019-12-26,8.65,8.7,8.65,8.7,6800
2019-12-27,8.65,8.7,8.7,8.7,0
