date,open,high,low,close,volume
2019-09-26,106.67,106.67,105.6,105.78,334000
2019-09-27,105.78,106.93,105.6,106.49,264300
2019-09-30,106.67,107.73,106.31,106.49,308680
2019-10-01,107.11,107.47,106.4,106.58,151960
2019-10-02,106.58,107.11,104.89,104.89,545260
2019-10-03,104.18,104.89,104.09,104.89,650460
2019-10-04,104.89,105.51,104.62,104.89,249050
2019-10-07,104.89,104.98,103.56,104.0,467120
2019-10-08,104.18,104.27,103.47,104.09,353740
2019-10-09,103.91,105.16,103.73,104.0,221530
2019-10-10,104.45,104.62,103.82,103.91,273470
2019-10-11,104.45,104.89,103.73,104.89,328950
2019-10-14,105.33,106.49,104.45,104.89,358150
2019-10-15,104.89,106.05,104.89,105.25,222070
2019-10-16,105.78,105.78,104.62,104.89,224670
2019-10-17,104.8,105.33,103.91,104.0,479110
2019-10-18,104.0,104.0,103.56,104.0,261460
2019-10-21,104.0,105.16,103.11,103.91,205580
2019-10-22,104.89,104.89,103.82,103.82,175690
2019-10-23,103.82,104.45,103.82,104.09,130200
2019-10-24,104.09,104.18,103.56,104.18,396910
2019-10-25,104.0,104.36,103.73,104.18,293710
2019-10-28,104.0,104.98,103.73,104.62,268360
2019-10-29,104.62,104.8,104.36,104.71,187020
2019-10-30,104.89,106.58,104.71,106.31,600930
2019-10-31,106.67,107.02,105.78,105.78,840720
2019-11-01,106.67,108.89,106.22,108.89,749070
2019-11-04,108.89,108.89,107.29,108.18,309680
2019-11-05,107.56,108.45,107.47,108.0,260520
2019-11-06,108.0,108.89,107.56,108.36,517800
2019-11-07,108.45,108.71,107.38,107.38,246740
2019-11-08,108.09,108.09,106.67,107.11,492950
2019-11-11,107.11,107.11,105.69,105.69,281300
2019-11-12,105.69,106.58,105.42,106.13,158520
2019-11-13,105.69,106.13,105.25,105.78,323490
2019-11-14,105.78,106.49,105.6,106.05,250100
2019-11-15,105.96,107.38,105.6,106.31,238410
2019-11-18,106.49,106.49,104.8,104.98,267820
2019-11-19,104.89,105.07,103.82,104.09,491510
2019-11-20,104.18,104.18,103.11,103.11,705410
2019-11-21,104.0,104.0,101.16,102.49,1567980
2019-11-22,103.02,103.91,102.49,103.29,308940
2019-11-25,103.29,103.29,102.67,103.11,234180
2019-11-26,103.11,103.11,102.31,102.4,1027110
2019-11-27,102.4,103.38,102.31,102.76,304630
2019-11-28,102.31,103.11,101.6,102.85,232980
2019-11-29,102.85,103.2,101.78,102.85,205040
2019-12-02,102.67,103.38,101.16,102.22,300040
2019-12-03,102.22,103.38,101.51,102.22,300130
2019-12-04,101.51,102.67,101.51,102.67,179900
2019-12-05,103.11,103.2,102.67,102.93,167250
2019-12-06,103.11,103.38,102.58,103.02,144740
2019-12-09,102.93,103.02,102.22,103.02,188330
2019-12-10,102.67,103.02,100.98,103.02,575810
2019-12-11,103.02,103.02,101.78,103.02,301370
2019-12-12,103.11,103.11,102.4,103.11,334050
2019-12-13,102.93,103.11,102.13,103.11,295370
2019-12-16,103.11,103.11,102.05,102.93,377010
2019-12-17,102.93,102.93,101.78,102.93,273030
2019-12-18,102.22,103.02,101.78,102.93,847090
2019-12-19,102.22,103.11,101.33,102.93,974360
2019-12-20,102.93,102.93,101.96,102.93,839200
2019-12-23,102.93,102.93,101.6,102.85,591380
2019-12-24,102.76,102.76,101.6,102.67,449960
2019-12-25,102.49,102.67,101.6,102.67,348350
2019-12-26,102.49,102.85,101.69,102.58,507390
2019-12-27,102.58,102.58,101.33,102.4,564070
2019-12-30,101.78,102.22,101.51,102.22,504080
2019-12-31,102.22,102.22,101.42,102.22,614630
2020-01-02,102.13,102.22,101.33,102.22,440280
2020-01-03,102.22,102.49,101.6,102.49,248940
2020-01-06,102.22,102.22,101.69,101.78,301910
2020-01-07,101.78,102.22,101.6,101.96,183910
2020-01-08,101.78,101.96,100.98,101.6,468910
2020-01-09,101.6,102.31,101.51,101.96,273870
2020-01-10,102.22,102.22,101.96,102.05,159120
2020-01-13,101.96,102.31,101.78,102.13,146680
2020-01-14,102.31,102.31,101.6,102.22,101150
2020-01-15,102.22,102.22,101.6,102.22,205600
2020-01-16,102.22,102.31,101.6,102.22,186740
2020-01-17,102.13,102.31,101.69,102.13,169100
2020-01-20,102.13,102.13,101.6,102.13,370670
2020-01-21,101.6,102.22,101.6,102.13,181510
2020-01-22,102.13,102.13,101.51,102.13,371780
2020-01-30,101.42,102.13,99.65,102.13,682720
2020-01-31,102.13,102.13,100.98,102.05,831740
2020-02-03,101.16,102.05,99.82,102.05,760420
2020-02-04,100.98,102.05,99.38,102.05,1485500
2020-02-05,102.05,102.05,100.45,101.78,468420
2020-02-06,101.78,101.96,100.27,101.69,676290
2020-02-07,101.33,101.69,99.56,101.69,1295520
2020-02-10,100.45,101.42,100.45,101.07,192700
2020-02-11,100.89,101.51,100.45,100.8,290630
2020-02-12,100.8,100.8,99.56,99.56,452790
2020-02-13,99.11,100.18,99.02,99.91,285340
2020-02-14,99.82,100.09,97.78,97.78,252390
2020-02-17,97.78,97.78,93.33,96.0,742220
2020-02-18,95.11,95.11,92.45,92.89,791870
2020-02-19,92.0,95.11,92.0,93.33,832580
2020-02-20,93.33,97.78,93.33,97.78,353570
2020-02-21,96.53,97.78,95.82,97.69,309060
2020-02-24,95.2,96.0,93.78,95.38,1428650
2020-02-25,94.85,95.38,94.13,95.11,543820
2020-02-26,92.45,94.76,92.45,94.13,625410
2020-02-27,94.05,94.22,92.53,93.87,740420
2020-02-28,93.33,93.69,91.56,93.69,870840
2020-03-02,92.45,93.69,91.29,93.69,742130
2020-03-03,93.42,93.87,92.89,93.78,557950
2020-03-04,92.98,93.78,92.0,93.78,443810
2020-03-05,93.42,94.13,92.27,93.87,352300
2020-03-06,93.33,93.33,91.65,93.33,750830
2020-03-09,90.22,90.67,86.85,86.85,966890
2020-03-10,82.67,88.18,81.07,86.85,825490
2020-03-11,87.11,87.11,80.98,86.22,1049580
2020-03-12,80.89,82.05,80.27,81.6,1896270
2020-03-13,76.45,82.22,75.91,82.22,1226880
2020-03-16,81.78,82.22,76.98,82.22,971340
2020-03-17,79.56,82.05,77.87,78.67,681330
2020-03-18,78.13,80.0,76.89,79.11,785390
2020-03-19,77.25,78.85,73.87,78.85,1103680
2020-03-20,78.85,78.85,73.33,73.33,1083480
2020-03-23,69.33,69.6,68.27,68.27,678160
2020-03-24,63.82,66.67,63.56,63.56,1474050
2020-03-25,63.56,68.0,60.45,68.0,1401570
2020-03-26,68.98,72.71,67.2,72.71,1242250
2020-03-27,72.89,77.69,70.67,77.16,1149310
2020-03-30,71.82,72.89,71.82,72.36,881240
2020-03-31,72.36,77.33,71.47,74.13,1296450
2020-04-01,73.33,77.33,72.0,76.45,437820
2020-04-03,76.45,80.89,76.45,80.89,1184500
2020-04-06,81.78,86.49,81.16,86.49,2698260
2020-04-07,86.76,89.69,82.67,86.49,2855700
2020-04-08,86.22,86.22,83.56,83.56,760120
2020-04-09,83.73,86.49,83.38,85.33,1560610
2020-04-10,85.33,86.05,83.29,84.45,983120
2020-04-13,85.16,85.33,84.36,85.33,1411550
2020-04-14,85.78,85.78,84.0,84.98,631630
2020-04-15,84.98,85.33,84.36,85.33,1176850
2020-04-16,85.33,85.33,84.18,85.25,845580
2020-04-17,84.71,85.42,79.29,85.42,1191510
2020-04-20,85.42,85.69,84.36,85.51,1055020
2020-04-21,84.89,84.89,82.22,82.67,892270
2020-04-22,81.78,82.49,80.45,82.22,884070
2020-04-23,82.67,84.36,82.4,82.67,347420
2020-04-24,82.67,83.47,82.13,82.67,300240
2020-04-27,84.45,84.45,81.78,81.78,453720
2020-04-28,82.22,82.58,81.33,81.78,222920
2020-04-29,82.67,83.02,80.45,81.69,314400
2020-05-04,81.69,82.22,80.0,81.6,259550
2020-05-05,81.6,82.67,81.6,82.4,274700
2020-05-06,82.31,84.45,82.22,84.45,773570
2020-05-07,84.45,85.33,83.56,85.33,617800
2020-05-08,85.69,88.89,85.42,86.67,1683960
2020-05-11,87.11,87.11,85.25,86.67,1358920
2020-05-12,86.58,86.58,84.45,86.22,770030
2020-05-13,84.53,85.33,81.33,84.45,2652530
2020-05-14,84.45,85.96,83.47,85.33,1002810
2020-05-15,85.33,86.67,85.16,86.22,327650
2020-05-18,86.22,86.22,84.89,85.78,229440
2020-05-19,86.31,86.58,85.33,85.78,729850
2020-05-20,85.69,86.22,85.42,85.87,254730
2020-05-21,86.22,87.11,86.13,87.11,674380
2020-05-22,87.11,87.11,85.69,85.69,292930
2020-05-25,85.51,86.31,85.33,86.31,216400
2020-05-26,86.22,86.67,85.69,86.13,360000
