date,open,high,low,close,volume
2019-09-23,2.5,2.64,2.5,2.64,50
2019-09-24,2.49,2.65,2.49,2.65,30
2019-09-25,2.49,2.49,2.46,2.46,4560
2019-09-26,2.34,2.6,2.34,2.59,1440
2019-09-27,2.45,2.6,2.45,2.6,40
2019-09-30,2.6,2.6,2.6,2.6,0
2019-10-01,2.42,2.59,2.42,2.58,1080
2019-10-02,2.58,2.58,2.58,2.58,40
2019-10-03,2.43,2.57,2.43,2.57,90
2019-10-04,2.57,2.57,2.57,2.57,0
2019-10-07,2.4,2.64,2.4,2.64,20
2019-10-08,2.46,2.57,2.46,2.57,3020
2019-10-09,2.4,2.52,2.4,2.52,3340
2019-10-10,2.4,2.6,2.35,2.57,50
2019-10-11,2.46,2.46,2.46,2.46,200
2019-10-14,2.36,2.46,2.36,2.38,1500
2019-10-15,2.36,2.38,2.36,2.38,2390
2019-10-16,2.23,2.38,2.23,2.38,1750
2019-10-17,2.53,2.53,2.28,2.38,520
2019-10-18,2.28,2.38,2.22,2.38,3210
2019-10-21,2.25,2.38,2.21,2.33,6030
2019-10-22,2.23,2.23,2.22,2.22,880
2019-10-23,2.22,2.22,2.08,2.22,5330
2019-10-24,2.13,2.24,2.13,2.24,2800
2019-10-25,2.24,2.24,2.12,2.2,570
2019-10-28,2.15,2.2,2.15,2.2,5050
2019-10-29,2.13,2.2,2.12,2.2,10650
2019-10-30,2.33,2.33,2.12,2.2,1290
2019-10-31,2.13,2.2,2.04,2.04,1850
2019-11-01,2.19,2.19,2.18,2.19,1440
2019-11-04,2.3,2.3,2.04,2.2,30
2019-11-05,2.05,2.19,2.05,2.19,7750
2019-11-06,2.06,2.19,2.06,2.19,420
2019-11-07,2.05,2.19,2.05,2.19,530
2019-11-08,2.04,2.19,2.04,2.19,170
2019-11-11,2.04,2.21,2.04,2.12,140
2019-11-12,1.99,2.11,1.99,2.11,1280
2019-11-13,2.18,2.18,2.04,2.06,2470
2019-11-14,2.06,2.18,2.06,2.18,80
2019-11-15,2.18,2.18,2.04,2.18,1190
2019-11-18,2.07,2.2,2.04,2.19,1440
2019-11-19,2.04,2.2,2.04,2.07,640
2019-11-20,2.04,2.16,1.93,2.07,2880
2019-11-21,1.93,1.96,1.93,1.95,5050
2019-11-22,2.09,2.09,1.96,2.09,8680
2019-11-25,1.95,2.09,1.95,2.09,180
2019-11-26,1.97,2.09,1.97,2.07,380
2019-11-27,1.94,2.07,1.94,2.01,9830
2019-11-28,1.89,2.04,1.88,2.01,1740
2019-11-29,2.01,2.13,1.89,2.07,1220
2019-12-02,1.93,2.09,1.93,2.08,2030
2019-12-03,1.97,2.12,1.97,2.1,8790
2019-12-04,1.97,2.12,1.97,2.12,40
2019-12-05,2.01,2.12,2.01,2.12,20
2019-12-06,2.12,2.12,2.12,2.12,10100
2019-12-09,2.13,2.13,2.07,2.13,280
2019-12-10,2.15,2.15,2.13,2.13,1700
2019-12-11,2.12,2.13,2.12,2.13,10030
2019-12-12,2.13,2.13,2.13,2.13,1040
2019-12-13,2.12,2.12,1.99,1.99,3060
2019-12-16,2.1,2.1,2.1,2.1,10
