date,open,high,low,close,volume
2019-08-06,8.82,8.75,8.75,8.75,0
2019-08-07,8.18,8.54,8.18,8.54,4800
2019-08-08,9.6,9.6,9.25,9.6,27700
2019-08-09,9.89,10.31,9.89,9.89,14400
2019-08-12,9.1,9.1,9.1,9.1,100
2019-08-13,8.54,9.25,8.54,9.25,2300
2019-08-14,8.82,9.25,9.25,9.25,0
2019-08-15,8.61,8.68,8.61,8.68,300
2019-08-16,8.89,8.89,8.75,8.89,5400
2019-08-19,8.89,8.89,8.89,8.89,3200
2019-08-20,8.89,8.89,8.89,8.89,2200
2019-08-21,8.89,8.89,8.89,8.89,1000
2019-08-22,7.97,9.1,7.97,9.1,3500
2019-08-23,8.11,8.89,8.11,8.89,7800
2019-08-26,7.97,8.89,7.97,8.89,2400
2019-08-27,8.04,9.03,8.04,9.03,2700
2019-08-28,8.11,9.03,9.03,9.03,0
2019-08-29,9.32,9.32,8.89,8.89,700
2019-08-30,8.54,8.89,8.11,8.89,4100
2019-09-03,8.18,8.54,8.18,8.54,1800
2019-09-04,8.25,8.54,8.25,8.39,6500
2019-09-05,8.32,8.32,8.18,8.18,19100
2019-09-06,8.32,8.39,8.32,8.32,20100
2019-09-09,7.97,7.97,7.97,7.97,2415
2019-09-10,7.54,7.54,7.54,7.54,1800
2019-09-11,8.32,8.39,8.32,8.39,300
2019-09-12,8.54,8.54,7.9,7.9,1900
2019-09-13,7.97,8.46,7.97,8.46,2800
2019-09-16,7.9,8.18,7.9,8.18,3600
2019-09-17,8.18,8.18,8.18,8.18,1700
2019-09-18,8.11,8.32,8.11,8.32,2300
2019-09-19,8.11,8.32,8.11,8.32,2600
2019-09-20,8.18,8.18,8.11,8.11,700
2019-09-23,8.11,8.11,8.11,8.11,4000
2019-09-24,7.82,8.11,7.82,8.11,2000
2019-09-25,7.82,8.11,7.82,7.97,4200
2019-09-26,7.9,7.9,7.82,7.82,3200
2019-09-27,7.82,7.9,7.33,7.33,10700
2019-09-30,7.61,7.61,7.47,7.61,4200
2019-10-01,7.61,7.61,7.47,7.61,3500
2019-10-02,7.61,7.68,7.61,7.68,1900
2019-10-03,7.61,7.68,7.68,7.68,0
2019-10-04,8.18,8.18,7.68,7.68,1300
2019-10-07,7.75,7.75,7.75,7.75,1300
2019-10-08,7.4,7.68,7.4,7.68,2600
2019-10-09,7.68,7.68,7.54,7.68,9100
2019-10-10,7.68,7.75,7.68,7.75,3400
2019-10-11,7.75,7.82,7.54,7.82,8100
2019-10-14,8.11,8.11,8.11,8.11,2500
2019-10-15,8.11,8.11,8.11,8.11,0
2019-10-16,8.82,8.82,7.82,7.82,2500
2019-10-17,8.11,8.18,7.9,7.9,2000
2019-10-18,7.82,7.82,7.82,7.82,8000
2019-10-21,7.61,8.11,7.61,7.82,3000
2019-10-22,7.97,7.82,7.82,7.82,0
2019-10-23,7.97,7.82,7.82,7.82,0
2019-10-24,7.97,7.82,7.82,7.82,0
2019-10-25,8.75,8.75,8.75,8.75,2400
2019-10-28,8.75,8.75,8.75,8.75,0
2019-10-29,8.18,8.18,8.18,8.18,100
2019-10-30,8.61,8.61,7.68,7.68,2300
2019-10-31,8.82,8.82,8.18,7.68,900
2019-11-01,7.75,7.82,7.75,7.75,7900
2019-11-04,8.32,8.39,8.32,8.39,3100
2019-11-05,8.32,8.39,8.39,8.39,0
2019-11-06,8.32,8.39,8.39,8.39,0
2019-11-07,7.97,7.97,7.33,7.82,7200
2019-11-08,8.04,8.04,7.61,7.61,4200
2019-11-11,7.61,7.61,7.61,7.61,200
2019-11-12,7.61,7.61,7.61,7.61,200
2019-11-13,7.61,7.61,7.61,7.61,0
2019-11-14,7.9,7.9,7.68,7.68,2100
2019-11-15,7.9,7.68,7.68,7.68,0
2019-11-18,7.9,7.68,7.68,7.68,0
2019-11-19,7.9,7.68,7.68,7.68,0
2019-11-20,7.9,7.68,7.68,7.68,0
2019-11-21,7.54,7.54,7.54,7.54,100
2019-11-22,7.61,7.61,7.61,7.61,100
2019-11-25,7.61,7.61,7.61,7.61,0
2019-11-26,7.61,7.61,7.61,7.61,300
2019-11-27,7.75,7.75,7.75,7.75,200
2019-11-28,7.75,7.75,7.75,7.75,0
2019-11-29,7.75,7.75,7.75,7.75,1200
2019-12-02,8.25,8.25,8.25,7.75,1800
2019-12-03,7.75,8.25,8.25,8.25,0
2019-12-04,7.75,8.25,8.25,8.25,0
2019-12-05,7.75,8.25,8.25,8.25,0
2019-12-06,7.82,7.82,7.82,7.82,100
2019-12-09,8.18,8.18,8.18,8.18,1200
2019-12-10,7.61,7.61,7.61,7.61,100
2019-12-11,8.11,8.11,8.11,8.11,2200
2019-12-12,8.11,8.11,8.11,8.11,0
2019-12-13,7.61,7.82,7.61,7.82,1100
2019-12-16,7.61,7.68,7.54,7.54,3800
2019-12-17,7.68,7.68,7.68,7.68,700
2019-12-18,7.9,7.9,7.82,7.82,1700
2019-12-19,7.75,7.75,7.75,7.75,1000
2019-12-20,7.68,7.68,7.68,7.68,700
2019-12-23,7.9,7.9,7.9,7.9,1200
2019-12-24,7.9,7.9,7.9,7.9,0
2019-12-25,7.82,7.82,7.82,7.82,200
2019-12-26,7.68,7.68,7.68,7.68,1500
2019-12-27,7.61,7.61,7.61,7.61,1300
2019-12-30,7.75,7.75,7.75,7.75,100
2019-12-31,7.75,7.75,7.75,7.75,0
2020-01-02,7.61,7.68,7.61,7.68,900
2020-01-03,7.9,7.9,7.68,7.68,2100
2020-01-06,7.75,7.75,7.75,7.75,2100
2020-01-07,7.82,7.82,7.82,7.82,200
2020-01-08,7.68,7.68,7.68,7.68,1000
2020-01-09,7.68,7.68,7.68,7.68,700
2020-01-10,7.61,7.61,7.61,7.61,200
2020-01-13,7.9,7.9,7.9,7.9,400
2020-01-14,7.9,7.9,7.9,7.9,100
2020-01-15,7.9,7.9,7.9,7.9,0
2020-01-16,7.9,7.9,7.9,7.9,0
2020-01-17,7.61,7.61,7.61,7.61,1500
2020-01-20,7.61,7.61,7.61,7.61,0
2020-01-21,7.61,7.61,7.61,7.61,0
2020-01-22,7.82,7.82,7.82,7.82,500
2020-01-30,8.11,8.11,8.11,8.11,500
2020-01-31,7.11,7.18,7.11,7.18,1300
2020-02-03,6.83,6.83,6.83,6.83,1800
2020-02-04,6.83,6.83,6.83,6.83,0
2020-02-05,7.33,7.61,7.33,7.61,800
2020-02-06,7.54,7.61,7.61,7.61,0
2020-02-07,7.61,7.61,7.61,7.61,800
2020-02-10,7.68,7.68,7.68,7.68,500
2020-02-11,7.68,7.68,7.68,7.68,0
2020-02-12,7.75,7.75,7.75,7.75,1300
2020-02-13,7.75,7.75,7.75,7.75,106
2020-02-14,7.75,7.75,7.75,7.75,0
2020-02-17,7.75,7.75,7.75,7.75,0
2020-02-18,7.75,7.75,7.75,7.75,100
2020-02-19,7.75,7.75,7.75,7.75,0
2020-02-20,7.75,7.75,7.75,7.75,0
2020-02-21,7.75,7.75,7.75,7.75,6
2020-02-24,7.75,7.75,7.75,7.75,0
2020-02-25,7.75,7.75,7.75,7.75,0
2020-02-26,7.26,7.26,7.26,7.26,100
2020-02-27,7.26,7.26,7.26,7.26,0
2020-02-28,7.26,7.26,7.26,7.26,0
