date,open,high,low,close,volume
2019-08-06,7.18,7.88,7.18,7.38,3430
2019-08-07,7.88,7.88,7.38,7.38,3210
2019-08-08,7.38,7.38,7.38,7.38,10
2019-08-09,7.38,7.43,7.38,7.38,4465
2019-08-12,7.38,7.38,7.38,7.38,0
2019-08-13,7.38,7.38,7.18,7.18,5200
2019-08-14,7.13,7.13,7.13,7.13,300
2019-08-15,7.13,7.13,7.08,7.08,5000
2019-08-16,7.18,7.18,7.18,7.18,320
2019-08-19,7.08,7.08,6.89,6.89,4313
2019-08-20,6.94,6.94,6.89,6.89,3600
2019-08-21,6.89,6.89,6.89,6.89,0
2019-08-22,6.89,6.89,6.69,6.79,7100
2019-08-23,6.84,6.84,6.84,6.84,9500
2019-08-26,6.84,6.84,6.84,6.84,0
2019-08-27,6.84,6.84,6.84,6.84,0
2019-08-28,6.84,6.84,6.84,6.84,300
2019-08-29,6.84,6.84,6.84,6.84,10
2019-08-30,6.84,6.89,6.84,6.89,14800
2019-09-03,6.84,6.89,6.79,6.79,16400
2019-09-04,7.18,7.18,6.79,6.79,3100
2019-09-05,6.79,6.79,6.74,6.74,28200
2019-09-06,6.74,6.74,6.74,6.74,0
2019-09-09,6.79,6.79,6.74,6.74,30300
2019-09-10,6.79,6.89,6.79,6.89,5210
2019-09-11,6.74,6.94,6.59,6.64,33208
2019-09-12,6.64,6.64,6.64,6.64,20000
2019-09-13,6.69,6.69,6.69,6.69,100
2019-09-16,6.69,6.69,6.69,6.69,100
2019-09-17,6.74,6.74,6.74,6.74,300
2019-09-18,6.74,6.74,6.74,6.74,271
2019-09-19,6.74,6.84,6.74,6.84,1900
2019-09-20,6.84,6.84,6.84,6.84,0
2019-09-23,6.84,6.84,6.84,6.84,0
2019-09-24,6.84,6.84,6.84,6.84,22900
2019-09-25,6.84,6.84,6.84,6.84,2110
2019-09-26,6.84,6.94,6.84,6.84,43400
2019-09-27,6.89,7.03,6.89,7.03,7700
2019-09-30,7.03,7.03,7.03,7.03,0
2019-10-01,6.98,7.03,6.98,7.03,1300
2019-10-02,7.03,7.03,7.03,7.03,20
2019-10-03,6.98,7.03,6.98,7.03,300
2019-10-04,7.03,7.03,7.03,7.03,11
2019-10-07,7.03,7.03,7.03,7.03,0
2019-10-08,7.03,7.03,7.03,7.03,30
2019-10-09,7.03,7.03,7.03,7.03,0
2019-10-10,7.03,7.03,7.03,7.03,0
2019-10-11,6.84,7.03,6.84,7.03,1200
2019-10-14,7.03,7.03,6.89,7.03,5310
2019-10-15,7.03,7.03,7.03,7.03,0
2019-10-16,7.03,7.03,7.03,7.03,0
2019-10-17,7.03,7.03,7.03,7.03,0
2019-10-18,7.03,7.03,7.03,7.03,0
2019-10-21,7.03,7.53,7.03,7.43,19900
2019-10-22,7.43,7.43,7.33,7.33,4010
2019-10-23,7.33,7.33,7.33,7.33,0
2019-10-24,7.33,7.33,7.33,7.33,0
2019-10-25,7.33,7.53,7.33,7.53,4200
2019-10-28,7.53,7.68,7.53,7.58,6142
2019-10-29,7.58,7.58,7.58,7.58,5200
2019-10-30,7.58,7.58,7.58,7.58,3000
2019-10-31,7.58,7.58,7.58,7.58,9900
2019-11-01,7.63,7.63,7.58,7.58,2850
2019-11-04,7.68,7.73,7.68,7.73,4760
2019-11-05,7.88,7.88,7.88,7.88,180
2019-11-06,7.68,7.68,7.68,7.68,100
2019-11-07,7.73,7.73,7.68,7.68,1100
2019-11-08,7.68,7.68,7.68,7.68,0
2019-11-11,7.68,7.68,7.68,7.68,900
2019-11-12,7.63,7.63,7.43,7.43,10100
2019-11-13,7.53,7.53,7.43,7.43,6000
2019-11-14,7.48,7.48,7.43,7.43,200
2019-11-15,7.43,7.43,7.43,7.43,0
2019-11-18,7.43,7.43,7.43,7.43,0
2019-11-19,7.43,7.43,7.43,7.43,100
2019-11-20,7.43,7.43,7.43,7.43,100
2019-11-21,7.38,7.38,7.28,7.28,600
2019-11-22,7.28,7.28,7.28,7.28,300
2019-11-25,7.28,7.28,7.28,7.28,20
2019-11-26,7.28,7.28,7.28,7.28,0
2019-11-27,7.33,7.33,7.18,7.18,135800
2019-11-28,7.18,7.18,7.18,7.18,5500
2019-11-29,7.18,7.18,7.18,7.18,0
2019-12-02,7.33,7.43,7.33,7.33,134800
2019-12-03,7.18,7.18,7.08,7.08,200
2019-12-04,7.08,7.08,7.08,7.08,0
2019-12-05,7.18,7.18,7.18,7.18,800
2019-12-06,7.18,7.18,7.18,7.18,0
2019-12-09,7.18,7.18,7.18,7.18,0
2019-12-10,7.18,7.18,7.18,7.18,0
2019-12-11,7.18,7.33,7.18,7.33,1400
2019-12-12,7.18,7.33,7.18,7.33,2231
2019-12-13,7.33,7.33,7.33,7.33,7000
2019-12-16,7.33,7.33,7.33,7.33,0
