date,open,high,low,close,volume
2019-09-16,7.71,7.84,7.71,7.71,9476
2019-09-17,7.84,7.91,7.84,7.84,12380
2019-09-18,7.71,7.71,7.71,7.71,240
2019-09-19,7.71,7.78,7.71,7.71,10000
2019-09-20,7.71,7.78,7.71,7.71,15200
2019-09-23,7.71,7.84,7.71,7.84,13940
2019-09-24,7.71,7.84,7.71,7.84,4360
2019-09-25,7.71,7.78,7.64,7.78,300
2019-09-26,7.78,7.78,7.78,7.78,5310
2019-09-27,7.84,7.98,7.78,7.98,17000
2019-09-30,7.78,7.91,7.71,7.84,5822
2019-10-01,7.84,7.84,7.71,7.78,7700
2019-10-02,7.71,7.84,7.71,7.71,3502
2019-10-03,7.91,7.91,7.71,7.84,538
2019-10-04,7.84,7.84,7.71,7.84,600
2019-10-07,7.71,7.78,7.71,7.71,8532
2019-10-08,7.78,7.78,7.71,7.71,1270
2019-10-09,7.71,7.71,7.71,7.71,10700
2019-10-10,7.71,7.71,7.64,7.64,7900
2019-10-11,7.78,7.78,7.71,7.71,200
2019-10-14,7.84,7.84,7.71,7.71,7000
2019-10-15,7.71,7.78,7.71,7.71,7400
2019-10-16,7.71,7.71,7.64,7.64,10001
2019-10-17,7.71,7.71,7.71,7.71,7100
2019-10-18,7.71,7.84,7.64,7.84,8800
2019-10-21,7.78,7.78,7.64,7.64,7710
2019-10-22,7.78,7.84,7.64,7.64,9769
2019-10-23,7.64,7.64,7.57,7.64,18800
2019-10-24,7.64,7.78,7.64,7.64,1915
2019-10-25,7.71,7.71,7.64,7.64,4200
2019-10-28,7.64,7.71,7.57,7.57,44100
2019-10-29,7.64,7.64,7.57,7.57,22570
2019-10-30,7.64,7.64,7.57,7.57,3900
2019-10-31,7.64,7.64,7.43,7.43,16610
2019-11-01,7.57,7.57,7.37,7.37,16980
2019-11-04,7.5,7.64,7.43,7.5,6794
2019-11-05,7.5,7.5,7.37,7.37,6400
2019-11-06,7.43,7.5,7.43,7.43,3149
2019-11-07,7.5,7.5,7.37,7.37,9944
2019-11-08,7.43,7.43,7.37,7.37,10335
2019-11-11,7.37,7.37,7.37,7.37,1600
2019-11-12,7.37,7.5,7.37,7.37,3710
2019-11-13,7.43,7.5,7.37,7.37,14724
2019-11-14,7.37,7.43,7.37,7.37,3900
2019-11-15,7.37,7.37,7.37,7.37,5120
2019-11-18,7.37,7.43,7.37,7.37,2324
2019-11-19,7.37,7.37,7.37,7.37,5400
2019-11-20,7.37,7.37,7.37,7.37,3010
2019-11-21,7.37,7.37,7.3,7.37,12310
2019-11-22,7.37,7.37,7.3,7.3,8400
2019-11-25,7.3,7.3,7.09,7.09,4328
2019-11-26,7.16,7.23,7.09,7.23,11900
2019-11-27,7.09,7.23,7.09,7.09,3511
2019-11-28,7.16,7.23,7.03,7.03,9200
2019-11-29,7.03,7.03,6.82,6.82,6400
2019-12-02,6.82,6.89,6.82,6.82,10145
2019-12-03,6.82,7.03,6.82,6.82,63556
2019-12-04,6.96,6.96,6.82,6.82,13200
2019-12-05,6.82,7.16,6.82,7.16,7790
2019-12-06,6.89,6.96,6.89,6.89,70600
2019-12-09,7.37,7.5,6.89,7.16,17040
2019-12-10,6.89,7.16,6.89,6.96,8200
2019-12-11,6.96,7.23,6.89,7.23,20510
2019-12-12,6.96,7.03,6.96,6.96,5200
2019-12-13,7.03,7.03,6.68,6.96,66200
2019-12-16,6.96,7.43,6.96,7.16,12500
2019-12-17,7.43,7.5,7.23,7.37,23100
2019-12-18,7.64,8.05,7.5,7.84,52235
2019-12-19,7.98,8.25,7.98,7.98,19110
2019-12-20,7.98,8.05,7.98,8.05,14294
2019-12-23,8.05,8.05,7.64,7.71,23200
2019-12-24,7.71,7.84,7.71,7.71,7010
2019-12-25,7.84,7.84,7.78,7.78,3120
2019-12-26,7.78,7.84,7.78,7.78,2200
2019-12-27,7.78,7.78,7.78,7.78,2700
