date,open,high,low,close,volume
2019-09-19,21.0,21.05,20.9,21.0,296250
2019-09-20,20.95,21.1,20.9,21.05,263880
2019-09-23,21.0,21.2,21.0,21.1,310770
2019-09-24,21.1,21.3,21.05,21.3,305550
2019-09-25,21.3,21.35,21.25,21.35,288040
2019-09-26,21.3,21.45,21.3,21.4,297510
2019-09-27,21.4,21.6,21.35,21.55,305690
2019-09-30,21.55,21.6,21.45,21.55,303280
2019-10-01,21.55,21.6,21.5,21.6,304720
2019-10-02,21.6,21.65,21.5,21.6,307170
2019-10-03,21.5,21.7,21.45,21.7,306450
2019-10-04,21.7,21.75,21.6,21.75,330700
2019-10-07,21.7,21.8,21.6,21.75,282950
2019-10-08,21.75,21.85,21.6,21.8,308950
2019-10-09,21.8,22.0,21.7,22.0,317340
2019-10-10,22.0,22.15,21.9,22.15,297910
2019-10-11,22.15,22.2,22.0,22.2,244300
2019-10-14,22.25,22.3,22.1,22.25,308680
2019-10-15,22.25,22.3,22.15,22.25,295790
2019-10-16,22.2,22.35,22.2,22.3,317550
2019-10-17,22.3,22.35,22.2,22.2,278230
2019-10-18,22.25,22.35,22.2,22.2,300290
2019-10-21,22.2,22.25,22.1,22.2,289330
2019-10-22,22.2,22.3,22.1,22.25,330780
2019-10-23,22.25,22.3,22.15,22.25,280270
2019-10-24,22.25,22.35,22.2,22.25,302930
2019-10-25,22.15,22.4,22.15,22.4,301950
2019-10-28,22.4,22.45,22.3,22.4,294010
2019-10-29,22.4,22.45,22.3,22.45,257440
2019-10-30,22.45,22.5,22.3,22.4,283740
2019-10-31,22.4,22.5,22.35,22.45,303560
2019-11-01,22.35,22.5,22.35,22.5,272980
2019-11-04,22.5,22.6,22.4,22.5,291190
2019-11-05,22.5,22.55,22.4,22.5,294380
2019-11-06,22.4,22.55,22.35,22.5,308570
2019-11-07,22.5,22.5,22.15,22.35,271480
2019-11-08,22.35,22.4,22.2,22.25,282140
2019-11-11,22.3,22.3,21.3,21.9,326560
2019-11-12,21.9,21.95,21.45,21.65,297350
2019-11-13,21.65,21.65,21.4,21.65,308790
2019-11-14,21.65,21.65,21.3,21.35,276940
2019-11-15,21.35,21.5,21.2,21.25,287170
2019-11-18,21.25,21.3,21.1,21.25,304480
2019-11-19,21.25,21.25,21.0,21.25,276290
2019-11-20,21.25,21.25,20.95,21.05,303600
2019-11-21,21.05,21.05,20.9,21.05,288840
2019-11-22,21.0,21.0,20.85,20.85,278940
2019-11-25,20.85,20.9,20.75,20.85,373400
2019-11-26,20.85,20.95,20.75,20.85,421090
2019-11-27,20.85,20.9,20.8,20.8,328940
2019-11-28,20.8,20.9,20.65,20.7,361100
2019-11-29,20.7,21.3,20.7,21.3,344760
