date,open,high,low,close,volume
2019-03-28,10.0,10.0,10.0,10.0,100
2019-03-29,10.0,10.0,10.0,10.0,0
2019-04-01,9.0,9.0,9.0,9.0,1050
2019-04-02,9.0,9.0,9.0,9.0,0
2019-04-03,9.0,9.0,9.0,9.0,0
2019-04-04,8.1,8.1,8.1,8.1,200
2019-04-05,8.1,8.1,8.1,8.1,200
2019-04-08,8.5,9.3,8.5,9.3,520
2019-04-09,10.4,10.4,10.4,10.4,190
2019-04-10,9.5,9.5,9.5,9.5,100
2019-04-11,9.5,9.5,9.5,9.5,400
2019-04-12,9.5,9.5,9.5,9.5,100
2019-04-16,9.5,9.5,9.5,9.5,0
2019-04-17,9.5,9.5,9.5,9.5,0
2019-04-18,9.5,9.5,9.5,9.5,0
2019-04-19,9.5,9.5,9.5,9.5,0
2019-04-22,9.5,9.5,9.5,9.5,0
2019-04-23,9.5,9.5,9.5,9.5,0
2019-04-24,9.5,9.5,9.5,9.5,0
2019-04-25,10.0,10.0,10.0,10.0,450
2019-04-26,10.0,10.0,10.0,10.0,0
2019-05-02,10.0,10.0,10.0,10.0,0
2019-05-03,10.0,10.0,10.0,10.0,0
2019-05-06,10.0,10.0,10.0,10.0,0
2019-05-07,8.6,9.0,8.6,8.6,10500
2019-05-08,8.6,8.6,8.6,8.6,0
2019-05-09,8.6,8.6,8.6,8.6,0
2019-05-10,9.8,9.8,9.0,9.0,2300
2019-05-13,9.1,9.0,9.0,9.0,0
2019-05-14,9.1,9.0,9.0,9.0,0
2019-05-15,10.0,10.0,10.0,10.0,1000
2019-05-16,10.0,10.0,10.0,10.0,2900
2019-05-17,10.0,10.0,10.0,10.0,0
2019-05-20,10.0,10.0,10.0,10.0,0
2019-05-21,10.0,10.0,10.0,10.0,0
2019-05-22,10.0,10.0,10.0,10.0,4120
2019-05-23,10.0,11.0,10.0,11.0,1000
2019-05-24,11.5,11.5,11.5,11.5,100
2019-05-27,11.5,11.5,11.5,11.5,0
2019-05-28,11.5,11.5,11.5,11.5,0
2019-05-29,10.0,10.0,10.0,10.0,100
2019-05-30,8.5,8.5,8.5,8.5,3900
2019-05-31,8.5,8.5,8.5,8.5,0
2019-06-03,8.5,8.5,8.5,8.5,0
2019-06-04,8.5,8.5,8.5,8.5,0
2019-06-05,8.5,8.5,8.5,8.5,0
2019-06-06,8.5,8.5,8.5,8.5,0
2019-06-07,8.5,8.5,8.5,8.5,0
2019-06-10,8.5,8.5,8.5,8.5,0
2019-06-11,8.5,8.5,8.5,8.5,0
2019-06-12,9.7,9.7,9.7,9.7,700
2019-06-13,9.7,9.7,9.7,9.7,0
2019-06-14,8.5,8.5,8.5,8.5,6000
2019-06-17,8.5,8.5,8.5,8.5,4000
2019-06-18,8.5,8.5,8.5,8.5,0
2019-06-19,8.5,8.5,8.5,8.5,10
2019-06-20,8.5,8.5,8.5,8.5,0
2019-06-21,8.5,8.5,8.5,8.5,0
2019-06-24,8.5,8.5,8.5,8.5,0
2019-06-25,9.7,9.7,9.7,9.7,13200
2019-06-26,9.7,9.7,9.7,9.7,0
2019-06-27,8.6,9.0,8.6,9.0,300
2019-06-28,8.7,9.0,9.0,9.0,0
2019-07-01,8.7,9.0,9.0,9.0,0
2019-07-02,8.7,9.0,9.0,9.0,0
2019-07-03,8.7,9.0,9.0,9.0,0
2019-07-04,8.7,8.7,8.7,8.7,0
2019-07-05,8.7,8.7,8.7,8.7,3000
2019-07-08,8.7,8.7,8.7,8.7,0
2019-07-09,8.7,8.7,8.7,8.7,0
2019-07-10,8.7,8.7,8.7,8.7,0
2019-07-11,8.7,8.7,8.7,8.7,0
2019-07-12,8.7,8.7,8.7,8.7,0
2019-07-15,8.7,8.7,8.7,8.7,10
2019-07-16,8.7,8.7,8.7,8.7,300
2019-07-17,8.7,8.7,8.7,8.7,0
2019-07-18,8.7,8.7,8.7,8.7,0
2019-07-19,8.7,8.7,8.7,8.7,0
