date,open,high,low,close,volume
2019-09-26,4.44,4.44,4.35,4.35,17500
2019-09-27,4.35,4.35,4.35,4.35,8010
2019-09-30,4.26,4.35,4.17,4.26,9000
2019-10-01,4.26,4.26,4.26,4.26,0
2019-10-02,4.26,4.26,4.17,4.26,6000
2019-10-03,4.35,4.35,4.35,4.35,5000
2019-10-04,4.35,4.35,4.35,4.35,0
2019-10-07,4.35,4.44,4.35,4.44,13900
2019-10-08,4.44,4.44,4.44,4.44,2060
2019-10-09,4.35,4.44,4.35,4.44,3100
2019-10-10,4.35,4.35,4.35,4.35,500
2019-10-11,4.35,4.35,4.26,4.26,1300
2019-10-14,4.35,4.26,4.26,4.26,0
2019-10-15,4.26,4.35,4.26,4.35,4300
2019-10-16,4.35,4.35,4.35,4.35,0
2019-10-17,4.35,4.35,4.35,4.35,5000
2019-10-18,4.35,4.35,4.35,4.35,0
2019-10-21,4.35,4.35,4.35,4.35,0
2019-10-22,4.35,4.35,4.35,4.35,26000
2019-10-23,4.35,4.35,4.35,4.35,0
2019-10-24,4.35,4.35,4.35,4.35,0
2019-10-25,4.53,4.53,4.35,4.35,3800
2019-10-28,4.26,4.26,4.26,4.26,1010
2019-10-29,4.44,4.44,4.44,4.44,3000
2019-10-30,4.62,4.62,4.44,4.44,3000
2019-10-31,4.44,4.44,4.44,4.44,0
2019-11-01,4.44,4.44,4.44,4.44,46800
2019-11-04,4.44,4.44,4.44,4.44,0
2019-11-05,4.44,4.44,4.44,4.44,600
2019-11-06,4.44,4.44,4.44,4.44,0
2019-11-07,4.44,4.44,4.44,4.44,0
2019-11-08,4.53,4.53,4.53,4.53,200
2019-11-11,4.53,4.53,4.53,4.53,0
2019-11-12,4.53,4.53,4.53,4.53,0
2019-11-13,4.35,4.35,4.35,4.35,2900
2019-11-14,4.35,4.35,4.35,4.35,0
2019-11-15,4.35,4.35,4.35,4.35,3600
2019-11-18,4.44,4.44,4.44,4.44,2000
2019-11-19,4.44,4.44,4.44,4.44,0
2019-11-20,4.44,4.44,4.44,4.44,0
2019-11-21,4.08,4.35,4.08,4.35,7000
2019-11-22,4.44,4.44,4.44,4.44,2000
2019-11-25,4.44,4.44,4.44,4.44,0
2019-11-26,4.35,4.35,4.35,4.35,11300
2019-11-27,4.44,4.44,4.44,4.44,100
2019-11-28,4.44,4.44,4.44,4.44,0
2019-11-29,4.35,4.35,4.35,4.35,4200
2019-12-02,4.35,4.35,4.35,4.35,0
2019-12-03,4.35,4.35,4.35,4.35,4500
2019-12-04,4.35,4.35,4.35,4.35,0
2019-12-05,4.35,4.35,4.35,4.35,0
2019-12-06,4.44,4.44,4.44,4.44,100
2019-12-09,4.53,4.53,4.53,4.53,2700
2019-12-10,4.26,4.26,4.26,4.26,100
2019-12-11,4.44,4.44,4.44,4.44,12000
2019-12-12,4.44,4.44,4.44,4.44,800
2019-12-13,4.44,4.44,4.44,4.44,100
2019-12-16,4.7,4.7,4.44,4.44,13000
2019-12-17,4.26,4.44,4.26,4.35,7000
2019-12-18,4.79,4.79,4.44,4.44,17800
2019-12-19,4.62,4.62,4.62,4.62,2020
2019-12-20,4.62,4.62,4.62,4.62,0
2019-12-23,4.7,4.7,4.44,4.44,10000
2019-12-24,4.53,4.44,4.44,4.44,0
2019-12-25,4.35,4.35,4.35,4.35,20000
2019-12-26,4.62,4.62,4.35,4.35,9830
2019-12-27,4.62,4.62,4.26,4.26,4600
2019-12-30,4.44,4.26,4.26,4.26,0
2019-12-31,4.26,4.26,4.26,4.26,2000
2020-01-02,4.44,4.44,4.44,4.44,1000
2020-01-03,4.44,4.44,4.44,4.44,400
2020-01-06,4.35,4.35,4.35,4.35,1000
2020-01-07,4.35,4.35,4.35,4.35,4600
2020-01-08,4.53,4.53,4.53,4.53,3000
2020-01-09,4.53,4.53,4.53,4.53,0
2020-01-10,4.53,4.53,4.53,4.53,0
2020-01-13,4.08,4.08,3.91,3.91,29000
2020-01-14,4.44,4.44,3.91,3.91,14100
2020-01-15,3.91,3.91,3.91,3.91,12000
2020-01-16,4.35,4.35,3.37,3.37,19400
2020-01-17,4.08,4.17,3.99,3.99,7400
2020-01-20,3.99,4.08,3.91,3.99,17800
2020-01-21,4.08,4.08,3.91,3.91,10900
2020-01-22,3.91,4.26,3.91,4.26,5000
2020-01-30,4.17,4.35,4.17,4.35,5200
2020-01-31,4.35,4.44,4.35,4.35,17500
2020-02-03,4.26,4.26,4.26,4.26,2500
2020-02-04,4.08,4.26,4.08,4.26,2000
2020-02-05,4.17,4.26,4.26,4.26,0
2020-02-06,4.35,4.35,4.35,4.35,100
2020-02-07,4.35,4.35,4.35,4.35,100
2020-02-10,4.35,4.35,4.35,4.35,0
2020-02-11,4.08,4.26,4.08,4.26,7000
2020-02-12,4.17,4.17,4.17,4.17,100
2020-02-13,4.17,4.17,4.17,4.17,0
2020-02-14,4.35,4.35,4.26,4.26,2400
2020-02-17,4.26,4.26,4.26,4.26,0
2020-02-18,4.17,4.17,4.08,4.08,5000
2020-02-19,4.26,4.26,4.17,4.26,24500
2020-02-20,4.26,4.26,4.17,4.17,9000
2020-02-21,4.08,4.08,4.08,4.08,5100
2020-02-24,4.08,4.08,4.08,4.08,900
2020-02-25,4.08,4.08,4.08,4.08,2000
2020-02-26,4.08,4.08,4.08,4.08,35
2020-02-27,4.08,4.08,4.08,4.08,0
2020-02-28,4.08,4.08,4.08,4.08,0
2020-03-02,4.08,4.08,4.08,4.08,0
2020-03-03,4.26,4.26,3.91,4.26,4200
2020-03-04,4.26,4.26,4.26,4.26,100
2020-03-05,3.99,3.99,3.99,3.99,1400
2020-03-06,3.99,3.99,3.99,3.99,0
2020-03-09,3.99,3.99,3.46,3.46,28000
2020-03-10,3.2,3.55,3.2,3.55,7700
2020-03-11,3.91,3.91,3.46,3.82,3600
2020-03-12,3.91,3.91,3.73,3.73,600
2020-03-13,3.73,3.73,3.73,3.73,0
2020-03-16,3.64,3.73,3.64,3.73,5000
2020-03-17,3.82,3.82,3.82,3.82,100
2020-03-18,3.82,3.82,3.82,3.82,0
2020-03-19,3.82,3.82,3.82,3.82,20
2020-03-20,3.82,3.82,3.82,3.82,500
2020-03-23,3.37,3.37,3.28,3.28,2100
2020-03-24,3.55,3.55,3.37,3.37,6300
2020-03-25,3.46,3.37,3.37,3.37,0
2020-03-26,3.46,3.37,3.37,3.37,0
2020-03-27,3.28,3.28,3.28,3.28,1300
2020-03-30,3.28,3.28,3.28,3.28,0
2020-03-31,3.46,3.46,3.28,3.28,8000
2020-04-01,3.37,3.28,3.28,3.28,0
2020-04-03,3.73,3.73,3.73,3.73,2500
2020-04-06,3.91,3.91,3.64,3.64,3500
2020-04-07,3.91,3.64,3.64,3.64,0
2020-04-08,3.91,3.64,3.64,3.64,0
2020-04-09,3.91,3.64,3.64,3.64,0
2020-04-10,3.46,3.46,3.37,3.37,4000
2020-04-13,3.28,3.91,3.28,3.73,75600
2020-04-14,4.08,4.17,3.91,4.08,23100
2020-04-15,3.99,3.99,3.91,3.91,2000
2020-04-16,3.46,3.46,3.46,3.46,24500
2020-04-17,3.46,3.64,3.46,3.55,10600
2020-04-20,3.46,3.73,3.46,3.73,23000
2020-04-21,3.82,4.17,3.82,3.82,79900
2020-04-22,3.82,4.08,3.82,3.99,15400
2020-04-23,3.99,3.99,3.73,3.73,11400
2020-04-24,3.64,3.64,3.64,3.64,10800
2020-04-27,3.55,3.91,3.55,3.91,17700
2020-04-28,3.64,3.64,3.64,3.64,12700
2020-04-29,3.73,4.17,3.73,4.17,19600
2020-05-04,4.08,4.08,3.99,3.99,3200
2020-05-05,3.91,3.91,3.82,3.82,2400
2020-05-06,3.91,4.08,3.91,4.08,4200
2020-05-07,3.82,3.82,3.82,3.82,400
