date,open,high,low,close,volume
2019-09-26,7.0,7.08,7.0,7.07,2507810
2019-09-27,7.11,7.23,7.07,7.23,3953810
2019-09-30,7.28,7.33,7.18,7.2,2557340
2019-10-01,7.2,7.31,7.18,7.29,2565290
2019-10-02,7.28,7.44,7.26,7.38,6785320
2019-10-03,7.34,7.38,7.23,7.38,5776630
2019-10-04,7.42,7.42,7.28,7.28,5301990
2019-10-07,7.31,7.31,7.07,7.1,6787920
2019-10-08,7.1,7.18,7.08,7.18,6267420
2019-10-09,7.15,7.23,7.15,7.21,5862290
2019-10-10,7.21,7.28,7.21,7.25,4631640
2019-10-11,7.29,7.29,7.21,7.21,4901190
2019-10-14,7.21,7.28,7.2,7.28,6297580
2019-10-15,7.25,7.38,7.25,7.36,3596130
2019-10-16,7.36,7.41,7.33,7.36,3588970
2019-10-17,7.36,7.36,7.28,7.34,3383810
2019-10-18,7.34,7.34,7.18,7.31,5441580
2019-10-21,7.18,7.25,7.1,7.18,5984800
2019-10-22,7.16,7.18,7.1,7.15,6452040
2019-10-23,7.11,7.23,7.07,7.23,5490120
2019-10-24,7.21,7.21,7.1,7.11,1860430
2019-10-25,7.15,7.18,7.1,7.18,1523140
2019-10-28,7.18,7.21,7.16,7.2,1353560
2019-10-29,7.21,7.21,7.11,7.15,721860
2019-10-30,7.15,7.15,7.08,7.11,1420070
2019-10-31,7.13,7.13,7.02,7.02,1355840
2019-11-01,7.0,7.07,6.94,7.02,2147430
2019-11-04,7.05,7.18,7.03,7.18,2560810
2019-11-05,7.25,7.28,7.18,7.26,2840680
2019-11-06,7.23,7.31,7.2,7.23,1956570
2019-11-07,7.25,7.26,7.16,7.18,1413420
2019-11-08,7.18,7.26,7.18,7.23,2231330
2019-11-11,7.21,7.23,7.1,7.15,1616350
2019-11-12,7.11,7.11,7.07,7.07,1718900
2019-11-13,7.08,7.1,6.94,7.02,2355410
2019-11-14,6.95,7.02,6.85,6.85,2274640
2019-11-15,6.87,6.98,6.85,6.98,1380960
2019-11-18,6.98,6.98,6.9,6.92,792340
2019-11-19,6.92,6.95,6.89,6.95,681940
2019-11-20,6.95,6.95,6.79,6.82,1165400
2019-11-21,6.79,6.9,6.53,6.53,3763320
2019-11-22,6.63,6.67,6.49,6.59,1427400
2019-11-25,6.53,6.63,6.53,6.59,971910
2019-11-26,6.59,6.67,6.59,6.67,1466120
2019-11-27,6.67,6.69,6.61,6.66,811170
2019-11-28,6.63,6.66,6.53,6.54,1457550
2019-11-29,6.51,6.58,6.49,6.58,746320
2019-12-02,6.53,6.58,6.36,6.36,1081350
2019-12-03,6.28,6.35,6.1,6.1,1407780
2019-12-04,6.12,6.45,6.12,6.45,1792870
2019-12-05,6.4,6.45,6.32,6.4,659120
2019-12-06,6.32,6.41,6.3,6.4,724890
2019-12-09,6.35,6.43,6.27,6.33,681230
2019-12-10,6.33,6.33,6.2,6.22,588880
2019-12-11,6.23,6.3,6.2,6.28,1078520
2019-12-12,6.28,6.43,6.28,6.41,1210790
2019-12-13,6.45,6.51,6.41,6.41,971530
2019-12-16,6.36,6.45,6.28,6.4,1273040
2019-12-17,6.43,6.43,6.28,6.3,685290
2019-12-18,6.27,6.33,6.27,6.28,1037840
2019-12-19,6.27,6.3,6.22,6.27,2009470
2019-12-20,6.27,6.4,6.25,6.4,1853360
2019-12-23,6.4,6.41,6.28,6.32,2875410
2019-12-24,6.32,6.33,6.25,6.3,1781170
2019-12-25,6.33,6.41,6.33,6.38,1507470
2019-12-26,6.38,6.45,6.36,6.43,1151860
2019-12-27,6.43,6.45,6.36,6.43,1797050
2019-12-30,6.43,6.51,6.43,6.46,2141690
2019-12-31,6.46,6.58,6.46,6.53,2806420
2020-01-02,6.54,6.76,6.54,6.71,1721220
2020-01-03,6.71,6.84,6.64,6.66,1416280
2020-01-06,6.58,6.64,6.51,6.51,1655410
2020-01-07,6.53,6.64,6.53,6.64,1298520
2020-01-08,6.58,6.64,6.49,6.56,2417600
2020-01-09,6.63,6.79,6.61,6.77,3379270
2020-01-10,6.77,6.95,6.77,6.87,3102860
2020-01-13,6.85,6.9,6.72,6.72,1278670
2020-01-14,6.76,6.95,6.74,6.9,2049630
2020-01-15,6.9,7.08,6.9,7.07,2024320
2020-01-16,7.08,7.16,7.07,7.13,2814400
2020-01-17,7.16,7.23,7.08,7.15,2388200
2020-01-20,7.11,7.34,7.1,7.34,2478120
2020-01-21,7.41,7.7,7.38,7.69,5349510
2020-01-22,7.64,7.77,7.54,7.7,2728060
2020-01-30,7.51,7.64,7.29,7.41,4277050
2020-01-31,7.34,7.54,7.33,7.33,4664680
2020-02-03,7.07,7.65,6.94,7.38,4531780
2020-02-04,7.41,7.65,7.34,7.65,4567030
2020-02-05,7.78,8.03,7.75,7.88,6401650
2020-02-06,7.82,8.32,7.69,8.32,8466820
2020-02-07,8.19,8.37,8.13,8.27,5941140
2020-02-10,8.09,8.26,8.03,8.03,4827980
2020-02-11,8.03,8.29,8.01,8.29,4954840
2020-02-12,8.39,8.76,8.39,8.44,6169610
2020-02-13,8.37,8.68,8.27,8.68,3721290
2020-02-14,8.81,8.98,8.68,8.86,5754040
2020-02-17,8.84,8.91,8.73,8.84,2799180
2020-02-18,8.81,9.01,8.78,8.94,2659640
2020-02-19,9.01,9.11,8.98,9.07,2916270
2020-02-20,9.19,9.32,9.12,9.32,3989640
2020-02-21,9.3,9.56,9.2,9.4,4755490
2020-02-24,9.14,9.24,8.75,8.75,8083080
2020-02-25,8.55,9.24,8.55,9.24,6045630
2020-02-26,9.07,9.43,9.04,9.24,4144870
2020-02-27,9.14,9.32,9.09,9.25,2905090
