date,open,high,low,close,volume
2019-05-20,6.93,7.84,7.84,7.84,0
2019-05-21,6.93,7.84,7.84,7.84,0
2019-05-22,6.93,7.84,7.84,7.84,0
2019-05-23,6.93,7.84,7.84,7.84,0
2019-05-24,6.93,7.84,7.84,7.84,0
2019-05-27,6.93,7.84,7.84,7.84,0
2019-05-28,6.93,7.84,7.84,7.84,0
2019-05-29,6.93,7.84,7.84,7.84,0
2019-05-30,6.93,7.84,7.84,7.84,0
2019-05-31,6.93,7.84,7.84,7.84,0
2019-06-03,6.99,6.99,6.99,6.99,200
2019-06-04,6.99,6.99,6.99,6.99,0
2019-06-05,6.99,6.99,6.99,6.99,0
2019-06-06,6.99,6.99,6.99,6.99,0
2019-06-07,6.99,6.99,6.99,6.99,0
2019-06-10,6.99,6.99,6.99,6.99,0
2019-06-11,6.99,6.99,6.99,6.99,0
2019-06-12,6.99,6.99,6.99,6.99,0
2019-06-13,6.99,6.99,6.99,6.99,0
2019-06-14,6.99,6.99,6.99,6.99,0
2019-06-17,6.99,6.99,6.99,6.99,0
2019-06-18,6.99,6.99,6.99,6.99,0
2019-06-19,6.99,6.99,6.99,6.99,0
2019-06-20,6.99,6.99,6.99,6.99,0
2019-06-21,6.99,6.99,6.99,6.99,0
2019-06-24,6.99,6.99,6.99,6.99,0
2019-06-25,6.99,6.99,6.99,6.99,0
2019-06-26,6.99,6.99,6.99,6.99,0
2019-06-27,6.99,6.99,6.99,6.99,0
2019-06-28,6.99,6.99,6.99,6.99,0
2019-07-01,6.99,6.99,6.99,6.99,0
2019-07-02,6.99,6.99,6.99,6.99,0
2019-07-03,6.99,6.99,6.99,6.99,0
2019-07-04,6.99,6.99,6.99,6.99,0
2019-07-05,6.99,6.99,6.99,6.99,0
2019-07-08,6.99,6.99,6.99,6.99,0
2019-07-09,6.99,6.99,6.99,6.99,0
2019-07-10,6.99,6.99,6.99,6.99,0
2019-07-11,6.99,6.99,6.99,6.99,0
2019-07-12,6.99,6.99,6.99,6.99,0
2019-07-15,6.99,6.99,6.99,6.99,0
2019-07-16,6.99,6.99,6.99,6.99,0
2019-07-17,6.99,6.99,6.99,6.99,0
2019-07-18,6.99,6.99,6.99,6.99,0
2019-07-19,6.99,6.99,6.99,6.99,0
2019-07-22,6.99,6.99,6.99,6.99,0
2019-07-23,6.99,6.99,6.99,6.99,0
2019-07-24,6.99,6.99,6.99,6.99,0
2019-07-25,6.99,6.99,6.99,6.99,0
2019-07-26,6.99,6.99,6.99,6.99,0
2019-07-29,6.99,6.99,6.99,6.99,0
2019-07-30,6.99,6.99,6.99,6.99,0
2019-07-31,6.99,6.99,6.99,6.99,0
2019-08-01,6.99,6.99,6.99,6.99,0
2019-08-02,6.99,6.99,6.99,6.99,0
2019-08-05,6.99,6.99,6.99,6.99,0
2019-08-06,7.47,7.47,7.11,7.11,1000
2019-08-07,7.35,7.11,7.11,7.11,0
2019-08-08,7.35,7.11,7.11,7.11,0
2019-08-09,8.45,8.45,8.45,8.45,100
2019-08-12,9.66,9.66,9.66,9.66,100
2019-08-13,8.39,8.39,8.39,8.39,100
2019-08-14,8.39,8.39,8.39,8.39,0
