date,open,high,low,close,volume
2019-09-04,13.48,13.48,13.48,13.48,50
2019-09-05,13.76,13.76,13.76,13.76,20
2019-09-06,13.59,13.7,12.8,12.8,1980
2019-09-09,13.08,13.08,12.0,12.0,220
2019-09-10,12.77,12.77,12.06,12.77,500
2019-09-11,12.77,12.77,12.77,12.77,200
2019-09-12,13.48,13.59,12.2,12.2,720
2019-09-13,13.05,13.05,12.74,13.05,430
2019-09-16,13.59,13.59,13.02,13.59,170
2019-09-17,13.59,13.59,13.59,13.59,60
2019-09-18,12.66,12.66,12.66,12.66,280
2019-09-19,13.53,13.53,12.29,13.53,230
2019-09-20,13.53,13.53,13.53,13.53,500
2019-09-23,13.51,14.27,12.66,12.97,580
2019-09-24,13.53,13.53,13.53,13.53,10
2019-09-25,13.53,13.53,13.53,13.53,240
2019-09-26,12.68,13.51,12.68,13.51,340
2019-09-27,13.53,13.53,13.53,13.53,100
2019-09-30,13.53,13.53,13.53,13.53,70
2019-10-01,13.08,13.36,13.0,13.0,210
2019-10-02,13.36,13.36,13.36,13.36,150
2019-10-03,13.42,13.42,13.42,13.42,70
2019-10-04,13.59,13.59,12.49,13.53,1540
2019-10-07,13.53,13.53,13.53,13.53,80
2019-10-08,14.33,14.33,13.59,13.59,220
2019-10-09,12.74,13.28,12.74,13.14,450
2019-10-10,13.14,13.14,13.14,13.14,110
2019-10-11,13.31,13.59,13.02,13.25,610
2019-10-14,13.48,13.53,13.48,13.53,120
2019-10-15,14.38,14.38,14.04,14.04,190
2019-10-16,15.01,15.01,13.08,13.53,2200
2019-10-17,13.31,13.31,13.31,13.31,110
2019-10-18,12.46,13.53,12.46,12.54,830
2019-10-21,13.42,13.42,13.42,13.42,160
2019-10-22,13.42,13.42,13.42,13.42,0
2019-10-23,14.13,14.16,14.13,14.16,110
2019-10-24,13.17,13.17,13.17,13.17,590
2019-10-25,13.53,13.53,13.25,13.25,130
2019-10-28,13.59,13.59,13.59,13.59,20
2019-10-29,12.71,13.48,12.71,13.48,50
2019-10-30,13.48,13.48,13.48,13.48,0
2019-10-31,13.53,13.59,13.53,13.59,60
2019-11-01,13.28,13.53,12.68,13.53,1640
2019-11-04,12.91,13.48,12.6,12.6,2030
2019-11-05,12.63,12.74,12.63,12.74,2160
2019-11-06,12.74,13.53,12.66,13.53,4340
2019-11-07,13.11,13.25,12.91,13.11,5620
2019-11-08,13.48,13.59,13.48,13.59,70
2019-11-11,13.42,13.42,13.28,13.31,280
2019-11-12,13.02,13.59,12.97,13.59,1450
2019-11-13,13.53,13.59,12.74,13.59,4220
2019-11-14,13.31,13.59,13.31,13.59,600
2019-11-15,13.59,13.59,13.59,13.59,0
2019-11-18,13.36,13.59,13.14,13.48,4730
2019-11-19,13.48,13.48,13.48,13.48,50
2019-11-20,13.48,13.48,13.48,13.48,10
2019-11-21,12.57,13.31,12.57,13.31,1070
2019-11-22,13.53,13.53,13.53,13.53,10
2019-11-25,13.53,13.59,13.53,13.59,90
2019-11-26,13.59,13.59,13.59,13.59,110
2019-11-27,13.59,13.59,13.59,13.59,0
2019-11-28,13.59,13.59,13.59,13.59,140
2019-11-29,13.25,13.48,12.68,13.36,2050
2019-12-02,13.59,13.59,12.46,13.53,670
2019-12-03,12.74,13.48,12.74,13.48,1140
2019-12-04,12.74,12.74,12.74,12.74,1000
2019-12-05,13.25,13.25,12.74,12.97,1430
2019-12-06,13.53,13.53,13.53,13.53,10
2019-12-09,13.53,13.53,13.53,13.53,0
2019-12-10,13.53,13.53,13.53,13.53,0
2019-12-11,13.53,13.53,13.53,13.53,0
2019-12-12,12.6,13.48,12.6,13.36,2850
2019-12-13,13.59,13.59,13.59,13.59,50
2019-12-16,13.59,13.59,13.59,13.59,0
2019-12-17,13.59,13.59,13.59,13.59,50
2019-12-18,13.59,13.59,13.59,13.59,0
2019-12-19,13.59,13.59,13.59,13.59,0
2019-12-20,13.59,13.59,13.59,13.59,0
2019-12-23,13.59,13.59,13.59,13.59,50
2019-12-24,13.59,13.59,13.59,13.59,0
2019-12-25,13.19,13.31,12.68,13.31,17060
2019-12-26,13.59,13.59,13.28,13.31,300
2019-12-27,13.39,13.39,13.39,13.39,800
2019-12-30,14.04,14.33,14.04,14.33,100
2019-12-31,13.34,13.34,13.34,13.34,20
2020-01-02,14.16,14.16,13.31,13.31,70
2020-01-03,13.25,13.25,13.25,13.25,10
2020-01-06,13.25,13.25,13.25,13.25,10
2020-01-07,12.46,12.49,12.46,12.46,3210
2020-01-08,12.43,12.46,12.43,12.46,5550
2020-01-09,13.31,13.31,12.46,12.46,20
2020-01-10,12.43,12.43,12.37,12.37,60
2020-01-13,13.22,13.22,13.22,13.22,10
2020-01-14,13.02,13.02,12.43,12.43,40
2020-01-15,12.03,12.32,11.89,12.32,960
2020-01-16,12.97,12.97,11.47,11.47,130
2020-01-17,12.26,12.26,11.27,11.27,460
2020-01-20,12.03,12.03,10.56,12.0,4640
2020-01-21,12.83,12.83,12.12,12.12,720
2020-01-22,12.94,12.94,11.33,12.94,730
2020-01-30,13.82,13.82,13.82,13.82,10
2020-01-31,14.72,14.72,12.91,13.59,150
2020-02-03,12.66,13.0,12.66,13.0,70
2020-02-04,13.9,13.9,13.79,13.79,80
2020-02-05,13.48,13.48,12.83,12.83,310
2020-02-06,13.31,13.31,13.28,13.31,230
2020-02-07,13.31,13.31,13.31,13.31,0
2020-02-10,12.74,12.74,12.74,12.74,80
2020-02-11,13.02,13.02,12.97,13.02,140
2020-02-12,12.97,12.97,12.97,12.97,160
2020-02-13,13.53,13.53,12.97,12.97,160
2020-02-14,13.82,13.82,13.45,13.45,140
2020-02-17,13.45,13.45,13.45,13.45,120
2020-02-18,14.1,14.1,14.1,14.1,10
2020-02-19,14.1,14.1,14.1,14.1,10
2020-02-20,14.1,14.1,14.1,14.1,0
2020-02-21,14.1,14.1,14.1,14.1,0
2020-02-24,13.31,13.31,13.14,13.14,20
2020-02-25,13.53,13.53,13.25,13.31,390
2020-02-26,13.31,13.31,13.31,13.31,0
2020-02-27,13.31,13.31,13.31,13.31,0
2020-02-28,12.4,13.19,12.4,12.4,370
2020-03-02,13.02,13.02,11.89,13.02,280
2020-03-03,13.59,13.59,12.12,12.46,3670
2020-03-04,13.31,13.31,12.46,12.46,4580
2020-03-05,13.25,13.31,12.74,12.74,2360
2020-03-06,13.56,13.56,12.85,12.85,970
2020-03-09,12.06,12.85,11.98,12.68,9810
2020-03-10,12.74,12.74,12.74,12.74,50
2020-03-11,13.62,13.62,13.62,13.62,50
2020-03-12,12.68,12.97,12.68,12.97,660
2020-03-13,12.97,12.97,12.97,12.97,0
2020-03-16,13.02,13.02,12.09,13.0,950
2020-03-17,13.0,13.0,13.0,13.0,0
