date,open,high,low,close,volume
2019-08-21,5.61,5.61,5.61,5.61,0
2019-08-22,5.61,5.61,5.61,5.61,0
2019-08-23,5.61,5.61,5.61,5.61,0
2019-08-26,5.61,5.61,5.61,5.61,0
2019-08-27,5.61,5.61,5.61,5.61,0
2019-08-28,5.61,5.61,5.61,5.61,0
2019-08-29,5.61,5.61,5.61,5.61,0
2019-08-30,5.61,5.61,5.61,5.61,0
2019-09-03,5.61,5.61,5.61,5.61,0
2019-09-04,5.61,5.61,5.61,5.61,0
2019-09-05,5.61,5.61,5.61,5.61,0
2019-09-06,5.61,5.61,5.61,5.61,0
2019-09-09,5.61,5.61,5.61,5.61,0
2019-09-10,5.12,5.12,5.12,5.12,700
2019-09-11,5.12,5.12,5.12,5.12,0
2019-09-12,5.12,5.12,5.12,5.12,0
2019-09-13,5.12,5.12,5.12,5.12,0
2019-09-16,5.12,5.12,5.12,5.12,0
2019-09-17,5.12,5.12,5.12,5.12,0
2019-09-18,5.12,5.12,5.12,5.12,0
2019-09-19,4.68,4.68,4.68,4.68,200
2019-09-20,4.68,4.68,4.68,4.68,0
2019-09-23,4.68,4.68,4.68,4.68,0
2019-09-24,4.45,4.45,4.45,4.45,500
2019-09-25,4.45,4.45,4.45,4.45,0
2019-09-26,4.45,4.45,4.45,4.45,600
2019-09-27,4.45,4.45,4.45,4.45,0
2019-09-30,4.45,4.45,4.45,4.45,0
2019-10-01,4.45,4.45,4.45,4.45,0
2019-10-02,4.45,4.45,4.45,4.45,0
2019-10-03,4.45,4.45,4.45,4.45,0
2019-10-04,4.45,4.45,4.45,4.45,0
2019-10-07,4.45,4.45,4.45,4.45,0
2019-10-08,4.45,4.45,4.45,4.45,0
2019-10-09,4.45,4.45,4.45,4.45,0
2019-10-10,4.23,4.23,4.23,4.23,500
2019-10-11,4.23,4.23,4.23,4.23,0
2019-10-14,4.23,4.23,4.23,4.23,0
2019-10-15,4.23,4.23,4.23,4.23,0
2019-10-16,4.23,4.23,4.23,4.23,0
2019-10-17,4.23,4.23,4.23,4.23,0
2019-10-18,4.23,4.23,4.23,4.23,0
2019-10-21,4.23,4.23,4.23,4.23,0
2019-10-22,4.23,4.23,4.23,4.23,0
2019-10-23,4.23,4.23,4.23,4.23,0
2019-10-24,4.45,4.54,4.45,4.54,1000
2019-10-25,4.54,4.54,4.54,4.54,0
2019-10-28,4.54,4.54,4.54,4.54,0
2019-10-29,4.54,4.54,4.54,4.54,0
2019-10-30,4.54,4.54,4.54,4.54,0
