date,open,high,low,close,volume
2019-06-27,5.32,5.32,5.32,5.32,0
2019-06-28,5.32,5.32,5.32,5.32,0
2019-07-01,5.32,5.32,5.32,5.32,0
2019-07-02,5.32,5.32,5.32,5.32,0
2019-07-03,5.32,5.32,5.32,5.32,0
2019-07-04,5.32,5.32,5.32,5.32,0
2019-07-05,5.32,5.32,5.32,5.32,0
2019-07-08,5.32,5.32,5.32,5.32,0
2019-07-09,5.32,5.32,5.32,5.32,0
2019-07-10,5.32,5.32,5.32,5.32,0
2019-07-11,5.32,5.32,5.32,5.32,0
2019-07-12,5.32,5.32,5.32,5.32,0
2019-07-15,5.32,5.32,5.32,5.32,0
2019-07-16,4.75,4.75,4.75,4.75,300
2019-07-17,4.75,4.75,4.75,4.75,0
2019-07-18,4.75,4.75,4.75,4.75,0
2019-07-19,4.17,4.17,4.17,4.17,2100
2019-07-22,4.09,4.09,4.09,4.09,2000
2019-07-23,4.01,4.01,4.01,4.01,2000
2019-07-24,3.93,4.5,3.85,4.5,10900
2019-07-25,3.76,4.09,3.76,4.09,472
2019-07-26,3.85,4.09,4.09,4.09,0
2019-07-29,3.68,3.68,3.36,3.36,1500
2019-07-30,3.36,3.36,3.36,3.36,0
2019-07-31,3.44,3.52,3.44,3.52,9088
2019-08-01,3.36,3.44,3.27,3.44,6200
2019-08-02,3.76,3.76,3.76,3.76,100
2019-08-05,4.09,4.09,3.85,3.85,200
2019-08-06,3.44,3.85,3.44,3.85,900
2019-08-07,3.76,3.76,3.44,3.44,3600
2019-08-08,3.44,3.44,3.44,3.44,200
2019-08-09,3.52,3.52,3.52,3.52,100
2019-08-12,3.52,3.52,3.52,3.52,0
2019-08-13,3.27,3.27,3.27,3.27,200
2019-08-14,3.36,3.36,3.36,3.36,2400
2019-08-15,3.36,3.36,3.36,3.36,10
2019-08-16,3.36,3.36,3.36,3.36,0
2019-08-19,3.36,3.36,3.36,3.36,0
2019-08-20,3.27,3.27,3.27,3.27,100
2019-08-21,3.27,3.27,3.27,3.27,0
2019-08-22,3.27,3.27,3.27,3.27,0
2019-08-23,3.27,3.27,3.27,3.27,0
2019-08-26,3.27,3.27,3.27,3.27,0
2019-08-27,3.76,3.76,3.76,3.76,100
2019-08-28,3.76,3.76,3.76,3.76,0
2019-08-29,3.76,3.76,3.76,3.76,0
2019-08-30,3.76,3.76,3.76,3.76,0
2019-09-03,4.01,4.26,4.01,4.26,300
2019-09-04,4.09,4.26,4.26,4.26,0
2019-09-05,4.09,4.26,4.26,4.26,0
2019-09-06,4.09,4.26,4.26,4.26,0
2019-09-09,3.6,3.6,3.52,3.52,12800
2019-09-10,3.52,3.52,3.52,3.52,0
2019-09-11,3.52,3.52,3.52,3.52,0
2019-09-12,3.27,3.27,3.27,3.27,3150
2019-09-13,3.76,3.76,3.76,3.76,700
2019-09-16,3.76,3.76,3.76,3.76,0
2019-09-17,3.76,3.76,3.76,3.76,0
2019-09-18,3.76,3.76,3.76,3.76,0
2019-09-19,3.76,3.76,3.76,3.76,0
2019-09-20,3.76,3.76,3.76,3.76,0
2019-09-23,3.76,3.76,3.76,3.76,0
