date,open,high,low,close,volume
2019-09-17,57.65,58.05,57.44,57.7,37253
2019-09-18,57.7,58.09,57.44,57.7,15473
2019-09-19,56.78,57.74,56.78,57.13,48979
2019-09-20,57.31,57.44,56.78,57.0,32222
2019-09-23,56.96,57.22,56.96,56.96,18802
2019-09-24,57.09,57.09,56.13,56.56,38951
2019-09-25,56.34,57.0,56.34,57.0,19073
2019-09-26,57.0,57.31,56.56,56.78,9222
2019-09-27,57.04,57.04,56.34,57.0,17128
2019-09-30,57.65,57.65,56.96,57.22,15953
2019-10-01,57.31,57.96,57.26,57.96,39700
2019-10-02,58.09,58.09,56.78,57.0,9399
2019-10-03,57.0,57.44,56.65,57.44,20774
2019-10-04,57.17,57.22,56.82,56.87,8506
2019-10-07,57.13,57.22,56.91,56.96,23238
2019-10-08,56.34,57.09,56.34,56.78,37322
2019-10-09,56.78,57.22,56.78,56.78,35035
2019-10-10,57.13,57.13,56.78,56.78,10330
2019-10-11,56.78,56.82,56.39,56.43,46556
2019-10-14,56.56,56.78,56.17,56.21,18551
2019-10-15,56.34,56.61,56.34,56.56,34997
2019-10-16,56.56,56.78,56.56,56.78,18271
2019-10-17,56.34,56.96,55.47,55.91,14472
2019-10-18,55.91,56.74,55.91,56.0,14152
2019-10-21,55.56,55.69,55.03,55.47,36705
2019-10-22,55.21,55.47,55.21,55.34,29406
2019-10-23,55.56,55.56,55.25,55.47,58277
2019-10-24,54.82,55.43,54.82,55.03,36894
2019-10-25,55.03,55.12,54.38,54.42,21064
2019-10-28,54.42,54.55,53.29,53.94,81179
2019-10-29,53.81,54.38,53.2,53.29,44270
2019-10-30,53.42,53.81,53.42,53.68,20564
2019-10-31,53.72,57.22,53.72,53.68,64721
2019-11-01,55.03,55.03,53.9,54.16,29814
2019-11-04,54.6,55.6,54.38,55.56,116287
2019-11-05,55.91,56.3,55.82,56.13,80009
2019-11-06,56.69,56.69,55.82,55.82,10857
2019-11-07,55.47,56.08,55.08,56.08,28215
2019-11-08,55.91,56.04,55.65,55.73,6927
2019-11-11,55.51,56.43,55.47,56.43,60162
2019-11-12,56.17,56.56,56.17,56.3,28147
2019-11-13,56.48,56.48,56.17,56.26,50837
2019-11-14,55.6,56.21,55.47,55.47,1750
2019-11-15,56.3,56.39,55.91,56.26,54595
2019-11-18,56.34,56.34,55.95,56.26,7678
2019-11-19,55.56,56.26,55.56,56.26,6550
2019-11-20,56.13,56.13,55.69,55.91,2300
2019-11-21,55.91,55.91,55.47,55.47,16910
2019-11-22,55.69,55.73,47.43,54.82,15515
2019-11-25,54.6,54.64,54.6,54.64,13951
2019-11-26,54.82,54.95,54.55,54.55,17482
2019-11-27,54.6,54.6,54.25,54.29,15984
2019-11-28,54.16,54.16,52.85,53.29,23449
2019-11-29,53.51,53.51,51.54,52.46,9303
2019-12-02,52.28,53.24,51.98,52.28,4615
2019-12-03,51.54,52.41,51.54,52.41,14570
2019-12-04,52.94,52.94,51.76,51.76,2662
2019-12-05,51.15,52.41,50.67,51.98,15859
2019-12-06,51.54,52.59,51.54,52.37,1690
2019-12-09,51.98,51.98,51.19,51.5,20693
2019-12-10,51.93,51.93,51.5,51.5,33986
2019-12-11,51.54,51.54,50.71,51.1,32054
2019-12-12,50.97,50.97,49.36,50.23,38449
2019-12-13,50.19,50.19,49.84,49.84,30176
2019-12-16,49.79,49.79,48.74,48.96,38487
2019-12-17,48.53,49.44,48.53,49.44,32024
2019-12-18,49.57,49.57,49.36,49.49,36012
2019-12-19,49.49,51.06,48.92,51.06,34114
2019-12-20,50.84,50.84,50.23,50.58,7198
2019-12-23,50.58,50.88,50.45,50.67,51575
2019-12-24,50.45,50.67,50.01,50.67,4640
2019-12-25,50.23,50.62,50.23,50.49,10284
2019-12-26,50.23,50.45,49.79,49.79,16825
2019-12-27,50.01,50.01,49.79,49.79,28700
2019-12-30,49.79,50.67,49.79,50.67,14805
2019-12-31,50.67,50.67,49.79,50.67,27193
2020-01-02,50.67,50.67,50.23,50.23,12986
2020-01-03,50.67,51.98,50.27,51.93,53358
2020-01-06,51.5,51.5,50.67,51.1,7840
2020-01-07,51.1,51.19,50.67,51.19,7385
2020-01-08,50.23,50.67,49.84,50.67,11671
2020-01-09,50.23,50.67,50.19,50.19,8962
