date,open,high,low,close,volume
2020-04-23,9.14,9.14,9.14,9.14,2500
2020-04-24,9.14,9.14,9.14,9.14,0
2020-04-27,9.14,9.14,9.14,9.14,0
2020-04-28,9.14,9.14,9.14,9.14,0
2020-04-29,8.61,8.61,8.61,8.61,100
2020-05-04,8.61,8.61,8.61,8.61,0
2020-05-05,8.61,8.61,8.61,8.61,0
2020-05-06,8.61,8.61,8.61,8.61,1400
2020-05-07,8.61,8.61,8.61,8.61,0
2020-05-08,9.86,9.86,9.86,9.86,100
2020-05-11,11.32,11.32,11.32,11.32,100
2020-05-12,11.32,11.32,11.32,11.32,0
2020-05-13,11.32,11.32,11.32,11.32,0
2020-05-14,12.98,12.98,12.98,12.98,100
2020-05-15,12.98,12.98,12.98,12.98,0
2020-05-18,14.9,14.9,14.9,14.9,100
2020-05-19,14.9,14.9,14.9,14.9,0
2020-05-20,14.9,14.9,14.9,14.9,0
2020-05-21,14.9,14.9,14.9,14.9,0
2020-05-22,12.71,17.08,12.71,17.08,200
2020-05-25,14.9,17.08,17.08,17.08,0
2020-05-26,14.9,17.08,17.08,17.08,0
2020-05-27,14.9,17.08,17.08,17.08,0
2020-05-28,14.9,17.08,17.08,17.08,0
2020-05-29,12.71,12.71,12.71,12.71,100
2020-06-01,14.56,14.56,10.86,10.86,500
2020-06-02,9.86,9.86,9.86,9.86,200
2020-06-03,8.41,8.41,8.41,8.41,1200
2020-06-04,7.15,7.15,7.15,7.15,1600
2020-06-05,6.09,8.21,6.09,8.21,2300
2020-06-08,6.16,8.21,8.21,8.21,0
2020-06-09,6.16,8.21,8.21,8.21,0
2020-06-10,6.16,6.95,6.16,6.95,3800
2020-06-11,6.62,7.02,6.62,7.02,4000
2020-06-12,7.81,7.81,6.62,6.62,2000
2020-06-15,7.08,7.08,5.96,5.96,700
2020-06-16,7.22,7.22,6.62,6.62,1800
2020-06-17,6.62,6.62,6.62,6.62,100
2020-06-18,6.49,6.49,6.49,6.49,800
2020-06-19,6.49,7.22,5.63,7.22,1000
2020-06-22,6.36,6.36,5.49,6.29,1300
2020-06-23,6.16,6.16,6.16,6.16,200
2020-06-24,6.09,6.09,6.09,6.09,500
2020-06-25,6.09,6.09,6.09,6.09,100
2020-06-26,6.95,6.95,6.95,6.95,100
2020-06-29,6.69,6.69,6.69,6.69,100
2020-06-30,6.62,6.62,6.62,6.62,1000
2020-07-01,6.62,6.62,6.62,6.62,0
2020-07-02,6.62,6.62,6.62,6.62,0
2020-07-03,6.62,6.62,5.96,5.96,710
2020-07-06,6.16,5.96,5.96,5.96,0
2020-07-07,5.63,5.63,5.63,5.63,200
2020-07-08,5.63,5.63,5.63,5.63,810
2020-07-09,5.63,5.63,5.63,5.63,2500
2020-07-10,5.63,6.42,5.16,5.63,15200
2020-07-13,5.69,6.42,5.69,6.42,2000
2020-07-14,5.89,5.96,5.89,5.96,1700
2020-07-15,5.49,5.96,5.43,5.43,2400
2020-07-16,5.83,5.96,5.83,5.96,3040
2020-07-17,5.89,5.96,5.63,5.63,2300
2020-07-20,5.63,5.63,5.43,5.43,900
2020-07-21,5.43,5.43,5.03,5.03,500
2020-07-22,5.63,5.83,5.03,5.03,4400
2020-07-23,5.3,5.3,5.3,5.3,100
2020-07-24,5.69,5.69,5.69,5.69,300
2020-07-27,6.09,6.09,6.09,6.09,100
2020-07-28,6.82,6.82,6.82,6.82,110
2020-07-29,5.83,5.83,5.83,5.83,500
2020-07-30,5.83,5.83,5.83,5.83,0
2020-07-31,5.83,5.83,5.83,5.83,10
2020-08-03,5.96,5.96,5.03,5.03,700
2020-08-04,5.76,5.96,5.76,5.96,1420
2020-08-05,6.22,6.22,5.3,5.3,4300
2020-08-06,5.89,5.96,5.36,5.36,11110
2020-08-07,5.89,5.36,5.36,5.36,0
2020-08-10,5.36,5.36,5.36,5.36,100
2020-08-11,5.96,5.96,5.43,5.43,5700
2020-08-12,6.09,6.09,5.36,5.36,5000
2020-08-13,5.3,5.3,5.3,5.3,100
2020-08-14,6.02,6.02,6.02,6.02,100
2020-08-17,5.36,5.36,5.36,5.36,100
2020-08-18,4.7,6.16,4.7,5.76,4500
2020-08-19,5.63,5.63,5.63,5.63,1300
2020-08-20,5.96,6.09,5.43,5.43,4600
2020-08-21,5.03,5.03,5.03,5.03,800
2020-08-24,5.76,5.76,5.1,5.1,700
2020-08-25,5.89,5.89,5.49,5.89,3300
2020-08-26,5.96,6.29,5.63,6.29,4700
2020-08-27,6.62,6.82,6.16,6.29,14321
2020-08-28,6.55,7.35,6.55,7.35,3709
2020-08-31,7.28,7.28,7.28,7.28,100
2020-09-01,7.94,8.01,7.94,8.01,6720
2020-09-03,8.01,8.01,8.01,8.01,300
2020-09-04,6.82,6.82,6.82,6.82,200
2020-09-07,7.81,7.81,5.89,6.62,3800
2020-09-08,6.8,7.25,5.77,6.06,2900
2020-09-09,6.06,6.06,6.06,6.06,1500
2020-09-10,6.06,6.95,6.06,6.95,4600
2020-09-11,6.06,6.06,6.06,6.06,300
2020-09-14,6.88,6.95,6.88,6.95,900
2020-09-15,6.95,6.95,6.95,6.95,0
2020-09-16,7.25,7.32,7.25,7.32,500
2020-09-17,7.25,7.25,7.25,7.25,500
2020-09-18,6.28,7.25,6.28,7.25,200
2020-09-21,6.8,7.25,7.25,7.25,0
2020-09-22,6.8,6.8,6.8,6.8,1000
2020-09-23,7.02,7.02,7.02,7.02,500
2020-09-24,6.36,6.36,6.36,6.36,600
2020-09-25,5.77,6.58,5.77,6.51,7100
2020-09-28,5.62,7.02,5.62,5.84,2300
2020-09-29,5.69,5.84,5.84,5.84,0
2020-09-30,5.69,5.84,5.84,5.84,0
2020-10-01,5.69,5.84,5.84,5.84,0
2020-10-02,5.69,5.84,5.84,5.84,0
2020-10-05,5.69,5.84,5.84,5.84,0
2020-10-06,5.69,5.84,5.84,5.84,0
2020-10-07,5.69,5.84,5.84,5.84,0
2020-10-08,5.69,5.84,5.84,5.84,0
2020-10-09,6.51,6.51,6.51,6.51,100
2020-10-12,6.51,6.51,6.51,6.51,0
2020-10-13,6.51,6.51,6.51,6.51,300
2020-10-14,6.51,6.51,6.51,6.51,0
2020-10-15,6.51,6.51,6.51,6.51,0
2020-10-16,6.51,6.51,6.51,6.51,0
2020-10-19,6.51,6.51,6.51,6.51,0
2020-10-20,6.51,6.51,6.51,6.51,0
2020-10-21,6.51,6.51,6.51,6.51,0
2020-10-22,6.51,6.51,6.51,6.51,0
2020-10-23,6.51,6.51,6.51,6.51,0
2020-10-26,6.51,6.51,6.51,6.51,0
2020-10-27,6.51,6.51,6.51,6.51,0
2020-10-28,6.51,6.51,6.51,6.51,0
2020-10-29,6.51,6.51,6.51,6.51,0
2020-10-30,5.54,5.54,5.54,5.54,100
2020-11-02,5.54,5.54,5.54,5.54,0
2020-11-03,6.36,6.36,4.88,4.88,200
2020-11-04,5.62,4.88,4.88,4.88,0
2020-11-05,5.62,4.88,4.88,4.88,0
2020-11-06,5.62,4.88,4.88,4.88,0
2020-11-09,5.62,4.88,4.88,4.88,0
2020-11-10,5.62,4.88,4.88,4.88,0
2020-11-11,5.62,4.88,4.88,4.88,0
2020-11-12,5.62,4.88,4.88,4.88,0
2020-11-13,6.43,6.43,5.62,5.62,2200
2020-11-16,5.99,5.62,5.62,5.62,0
2020-11-17,6.51,6.51,6.51,6.51,100
2020-11-18,6.51,6.51,6.51,6.51,0
2020-11-19,6.51,6.51,6.51,6.51,0
2020-11-20,6.65,6.65,6.65,6.65,100
2020-11-23,7.61,7.61,7.47,7.47,4200
2020-11-24,6.36,6.36,6.36,6.36,1100
2020-11-25,6.88,7.25,6.88,7.25,800
2020-11-26,7.17,7.25,7.25,7.25,0
2020-11-27,7.17,7.25,7.25,7.25,0
2020-11-30,6.21,6.21,6.21,6.21,200
2020-12-01,6.21,6.21,6.21,6.21,0
2020-12-02,7.1,7.1,5.77,5.77,1000
2020-12-03,7.02,7.02,5.69,5.69,600
2020-12-04,5.91,5.69,5.69,5.69,0
2020-12-07,5.91,5.69,5.69,5.69,0
2020-12-08,5.91,5.69,5.69,5.69,0
2020-12-09,6.8,6.8,5.32,5.32,600
2020-12-10,5.54,5.32,5.32,5.32,0
2020-12-11,5.54,5.32,5.32,5.32,0
2020-12-14,5.54,5.32,5.32,5.32,0
2020-12-15,5.54,5.32,5.32,5.32,0
2020-12-16,5.54,5.32,5.32,5.32,0
2020-12-17,6.36,6.36,6.36,6.36,100
2020-12-18,6.36,6.36,6.36,6.36,0
2020-12-21,6.36,6.36,6.36,6.36,0
2020-12-22,6.36,6.36,6.36,6.36,1300
2020-12-23,6.36,6.36,6.36,6.36,0
2020-12-24,6.36,6.36,6.36,6.36,0
2020-12-25,6.36,6.36,6.36,6.36,0
2020-12-28,6.36,6.36,6.36,6.36,0
2020-12-29,6.36,6.36,6.36,6.36,0
2020-12-30,6.36,6.36,6.36,6.36,0
2020-12-31,6.36,6.36,6.36,6.36,0
2021-01-04,6.36,6.36,6.36,6.36,0
2021-01-05,6.36,6.36,6.36,6.36,0
2021-01-06,6.36,6.36,6.36,6.36,0
2021-01-07,6.36,6.36,6.36,6.36,0
2021-01-08,7.25,7.25,7.25,7.25,100
2021-01-11,7.25,7.25,7.25,7.25,0
2021-01-12,8.13,8.13,8.13,8.13,100
2021-01-13,8.13,8.13,8.13,8.13,0
2021-01-14,8.13,8.13,8.13,8.13,0
2021-01-15,8.13,8.13,8.13,8.13,0
2021-01-18,8.13,8.13,8.13,8.13,0
2021-01-19,8.13,8.13,8.13,8.13,0
2021-01-20,8.13,8.13,8.13,8.13,0
2021-01-21,8.13,8.13,8.13,8.13,0
2021-01-22,8.13,8.13,8.13,8.13,0
2021-01-25,8.13,8.13,8.13,8.13,200
2021-01-26,8.13,8.13,8.13,8.13,0
2021-01-27,8.13,8.13,8.13,8.13,0
2021-01-28,8.13,8.13,8.13,8.13,0
2021-01-29,8.13,8.13,8.13,8.13,0
2021-02-01,8.13,8.13,8.13,8.13,0
2021-02-02,8.13,8.13,8.13,8.13,0
2021-02-03,8.13,8.13,8.13,8.13,0
2021-02-04,8.13,8.13,8.13,8.13,0
2021-02-05,8.13,8.13,8.13,8.13,0
2021-02-08,8.13,8.13,8.13,8.13,0
2021-02-09,8.13,8.13,8.13,8.13,0
2021-02-17,8.13,8.13,8.13,8.13,0
2021-02-18,8.13,8.13,8.13,8.13,0
2021-02-19,8.13,8.13,8.13,8.13,0
2021-02-22,8.13,8.13,8.13,8.13,0
2021-02-23,8.13,8.13,8.13,8.13,0
2021-02-24,8.13,8.13,8.13,8.13,0
2021-02-25,8.13,8.13,8.13,8.13,0
2021-02-26,8.13,8.13,8.13,8.13,0
2021-03-01,8.13,8.13,8.13,8.13,0
2021-03-02,8.13,8.13,8.13,8.13,0
2021-03-03,8.13,8.13,8.13,8.13,0
2021-03-04,8.13,8.13,8.13,8.13,0
2021-03-05,8.13,8.13,8.13,8.13,0
2021-03-08,8.13,8.13,8.13,8.13,0
2021-03-09,7.76,7.76,7.76,7.76,500
2021-03-10,7.76,7.76,7.76,7.76,0
2021-03-11,8.06,8.06,8.06,8.06,100
2021-03-12,8.06,8.06,8.06,8.06,0
2021-03-15,8.06,8.06,8.06,8.06,0
2021-03-16,8.06,8.06,8.06,8.06,0
2021-03-17,8.06,8.06,8.06,8.06,0
2021-03-18,8.06,8.06,8.06,8.06,0
2021-03-19,8.06,8.06,8.06,8.06,0
2021-03-22,8.06,8.06,8.06,8.06,0
2021-03-23,8.06,8.06,8.06,8.06,0
2021-03-24,8.06,8.06,8.06,8.06,0
2021-03-25,8.06,8.06,8.06,8.06,0
2021-03-26,7.02,7.02,7.02,7.02,100
2021-03-29,7.02,7.02,7.02,7.02,0
