date,open,high,low,close,volume
2019-09-23,2.4,2.4,2.4,2.4,0
2019-09-24,2.4,2.4,2.4,2.4,0
2019-09-25,2.4,2.4,2.4,2.4,0
2019-09-26,2.4,2.4,2.4,2.4,0
2019-09-27,2.4,2.4,2.4,2.4,0
2019-09-30,2.4,2.4,2.4,2.4,0
2019-10-01,2.4,2.4,2.4,2.4,0
2019-10-02,2.4,2.4,2.4,2.4,0
2019-10-03,2.4,2.4,2.4,2.4,0
2019-10-04,2.4,2.4,2.4,2.4,0
2019-10-07,2.4,2.4,2.4,2.4,0
2019-10-08,2.4,2.4,2.4,2.4,0
2019-10-09,2.4,2.4,2.4,2.4,0
2019-10-10,2.4,2.4,2.4,2.4,0
2019-10-11,2.4,2.4,2.4,2.4,0
2019-10-14,2.4,2.4,2.4,2.4,0
2019-10-15,2.4,2.4,2.4,2.4,0
2019-10-16,2.4,2.4,2.4,2.4,0
2019-10-17,2.4,2.4,2.4,2.4,0
2019-10-18,2.4,2.4,2.4,2.4,0
2019-10-21,2.4,2.4,2.4,2.4,0
2019-10-22,2.4,2.4,2.4,2.4,0
2019-10-23,2.4,2.4,2.4,2.4,0
2019-10-24,2.4,2.4,2.4,2.4,0
2019-10-25,2.4,2.4,2.4,2.4,0
2019-10-28,2.4,2.4,2.4,2.4,0
2019-10-29,2.4,2.4,2.4,2.4,0
2019-10-30,2.4,2.4,2.4,2.4,0
2019-10-31,2.4,2.4,2.4,2.4,0
2019-11-01,2.4,2.4,2.4,2.4,0
2019-11-04,2.4,2.4,2.4,2.4,0
2019-11-05,2.4,2.4,2.4,2.4,0
2019-11-06,2.4,2.4,2.4,2.4,0
2019-11-07,2.4,2.4,2.4,2.4,0
2019-11-08,2.52,2.52,2.52,2.52,100
2019-11-11,2.52,2.52,2.52,2.52,0
2019-11-12,2.52,2.52,2.52,2.52,0
2019-11-13,2.52,2.52,2.52,2.52,0
2019-11-14,2.52,2.52,2.52,2.52,0
2019-11-15,2.52,2.52,2.52,2.52,0
2019-11-18,2.52,2.52,2.52,2.52,0
2019-11-19,2.52,2.52,2.52,2.52,0
2019-11-20,2.52,2.52,2.52,2.52,0
2019-11-21,2.52,2.52,2.52,2.52,0
2019-11-22,2.15,2.15,2.15,2.15,17800
