date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,25.20,6319100,25,25.20,24.80,786300,2157905,-34.0
2025-11-13,11/11/2025,24.85,6962300,24.85,25.05,24.80,345800,1024100,-16.8
2025-11-13,10/11/2025,24.80,7222900,24.90,25.20,24.70,879900,1326400,-11.0
2025-11-13,07/11/2025,24.90,12107200,25.25,25.30,24.85,1070200,3151200,-52.2
2025-11-13,06/11/2025,25.30,6525200,25.55,25.70,25.30,821400,2339400,-38.5
2025-11-13,05/11/2025,25.60,6212200,25.80,25.90,25.55,561200,1344000,-20.1
2025-11-13,04/11/2025,26,17972000,25.45,26.10,25.40,6645200,1510400,131.8
2025-11-13,03/11/2025,25.45,13864900,25.40,25.90,25.30,5274300,679600,117.8
2025-11-13,31/10/2025,25.50,12748200,25.30,25.50,25.05,251400,2193100,-48.9
2025-11-13,30/10/2025,25.10,9309300,25.50,25.70,25,80400,3076400,-75.5
2025-11-13,29/10/2025,25.40,6350700,25.40,25.55,25.30,245200,888100,-16.3
2025-11-13,28/10/2025,25.40,10305300,25.10,25.40,25.05,1694100,245400,36.5
2025-11-13,27/10/2025,25,10208700,25.30,25.55,24.95,1009600,61800,23.9
2025-11-13,24/10/2025,25,11724500,24.95,25.30,24.80,3025300,45800,74.3
2025-11-13,23/10/2025,24.95,8751200,25.10,25.20,24.95,586100,2549600,-49.2
2025-11-13,22/10/2025,25.10,15620500,25.20,25.30,24.65,2114000,2787300,-16.6
2025-11-13,21/10/2025,25,19371400,24.85,25.30,24.85,5654500,1506800,103.9
2025-11-13,20/10/2025,24.80,32231800,25.60,25.65,24.60,512000,743400,-5.8
2025-11-13,17/10/2025,25.75,16289600,26.30,26.40,25.75,291900,1961400,-43.6
2025-11-13,16/10/2025,26.30,13461000,26.40,26.55,26.15,3258400,819900,64.3
2025-11-13,15/10/2025,26.30,14416100,26.40,26.65,26.15,1526200,3466100,-51.0
2025-11-13,14/10/2025,26.30,18531600,26.75,26.95,26.25,1701900,3165100,-38.3
2025-11-13,13/10/2025,26.75,18373300,26.55,26.80,26.40,853100,2845800,-52.8
2025-11-13,10/10/2025,26.95,16337400,27.05,27.20,26.80,853400,1702700,-23.0
2025-11-13,09/10/2025,26.95,16388600,26.80,26.95,26.60,0,0,0
2025-11-13,08/10/2025,26.75,18228000,26.65,26.85,26.60,3396200,743800,70.8
2025-11-13,07/10/2025,26.45,12389800,26.90,26.90,26.45,1778700,574500,32.3
2025-11-13,06/10/2025,26.80,20288600,26.15,26.80,25.90,3194500,1434100,46.1
2025-11-13,03/10/2025,25.65,9813400,25.75,25.85,25.50,307100,3238400,-75.3
2025-11-13,02/10/2025,25.75,10937500,25.90,26.20,25.70,885500,1221400,-8.6
2025-11-13,01/10/2025,25.80,10480500,25.70,25.95,25.55,1391500,3063600,-43.1
2025-11-13,30/09/2025,25.50,9277900,25.75,25.80,25.45,1564300,312300,32.2
2025-11-13,29/09/2025,25.60,8265200,25.55,25.80,25.35,808300,298100,13.1
2025-11-13,26/09/2025,25.65,8974500,25.65,25.75,25.45,27300,1238400,-31.0
2025-11-13,25/09/2025,25.65,8158200,26.15,26.15,25.65,296700,1553100,-32.6
2025-11-13,24/09/2025,26,10853300,25.50,26,25.25,1147400,299100,21.7
2025-11-13,23/09/2025,25.35,9385500,25.15,25.70,25.15,872000,80000,20.1
2025-11-13,22/09/2025,25.15,19404800,25.45,25.45,25.05,853800,207300,16.3
2025-11-13,19/09/2025,25.35,13429700,25.80,25.80,25.30,22700,1006600,-25.1
2025-11-13,18/09/2025,25.55,21848000,26.20,26.20,25.55,22700,1273100,-32.4
2025-11-13,17/09/2025,26.15,13049100,26.40,26.45,26.05,22700,870000,-22.2
2025-11-13,16/09/2025,26.40,40108800,26.60,26.60,26.20,2744100,21700,71.9
2025-11-13,15/09/2025,26.40,27899800,26.30,26.65,26.10,3200100,772500,63.8
2025-11-13,12/09/2025,26.30,12219900,26.55,26.65,26.20,1386100,1193300,5.1
2025-11-13,11/09/2025,26.20,20449900,26.50,26.55,25.80,747700,1889500,-29.7
2025-11-13,10/09/2025,26.55,14091100,26.70,26.85,26.45,405600,2648900,-59.5
2025-11-13,09/09/2025,26.55,15204500,26.95,26.95,26.45,1331500,132200,32.1
2025-11-13,08/09/2025,26.55,26152700,27,27.60,26.55,20500,145800,-3.3
2025-11-13,05/09/2025,27.15,23539400,27.95,28.05,27.15,0,1722200,-47.7
2025-11-13,04/09/2025,27.65,11279900,27.60,27.75,27.40,0,1312000,-36.2
2025-11-13,03/09/2025,27.50,18715200,27.70,27.75,27.20,0,20500,-0.6
2025-11-13,29/08/2025,27.80,21625300,27.75,28.40,27.50,58200,0,1.6
