date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,40.10,1900,40,40.20,40,0,0,0
2025-11-13,11/11/2025,40,3100,40.10,40.10,39.80,0,0,0
2025-11-13,10/11/2025,39.60,1300,40.10,43,39.60,0,0,0
2025-11-13,07/11/2025,40,2900,40.40,40.40,39.50,0,0,0
2025-11-13,06/11/2025,40,1500,40,40.40,39.50,0,0,0
2025-11-13,05/11/2025,40.30,1200,40.60,40.60,39.50,0,0,0
2025-11-13,04/11/2025,40.50,200,40,40.50,40,0,0,0
2025-11-13,03/11/2025,40.50,1500,39,40.80,39,0,0,0
2025-11-13,31/10/2025,40,500,40.20,40.90,40,0,0,0
2025-11-13,30/10/2025,40.30,5200,40.50,40.50,40,0,0,0
2025-11-13,29/10/2025,40,3000,40.50,41,40,0,0,0
2025-11-13,28/10/2025,40.70,2300,40,40.70,39.80,0,0,0
2025-11-13,27/10/2025,40.70,1000,40,40.90,40,0,0,0
2025-11-13,24/10/2025,40.90,2400,41.30,41.40,39.60,0,0,0
2025-11-13,23/10/2025,41,2000,41.60,41.60,40,0,0,0
2025-11-13,22/10/2025,40.50,4800,41,42,39.80,0,0,0
2025-11-13,21/10/2025,40.50,3200,41,41,40,0,0,0
2025-11-13,20/10/2025,41,2000,42,42,39.60,0,0,0
2025-11-13,17/10/2025,41.20,7300,39.50,42,39.50,0,0,0
2025-11-13,16/10/2025,40,6500,40,41,39.10,0,0,0
2025-11-13,15/10/2025,40,5300,40,40,39.80,0,0,0
2025-11-13,14/10/2025,41,2300,41,41,40,0,0,0
2025-11-13,13/10/2025,40.10,1900,41.80,43,40,0,0,0
2025-11-13,10/10/2025,40.10,4100,41,44,40,0,0,0
2025-11-13,09/10/2025,40,1100,40,41,40,0,0,0
2025-11-13,08/10/2025,40.20,6100,40,41,40,0,0,0
2025-11-13,07/10/2025,41,3200,41.20,41.20,41,0,0,0
2025-11-13,06/10/2025,41,4100,39,41.20,39,0,0,0
2025-11-13,03/10/2025,41.40,1800,40,41.50,40,0,0,0
2025-11-13,02/10/2025,40.50,2900,41.20,41.50,40.50,0,0,0
2025-11-13,01/10/2025,41.50,2300,40.90,43.20,40.60,0,0,0
2025-11-13,30/09/2025,40.80,1400,40.80,40.80,40.30,0,0,0
2025-11-13,29/09/2025,40.70,4200,40.20,41,40.20,0,0,0
2025-11-13,26/09/2025,40.30,1100,40.70,41,40.30,0,0,0
2025-11-13,25/09/2025,40.80,2200,40,40.90,40,0,0,0
2025-11-13,24/09/2025,40.70,1900,40.50,41,40.10,0,0,0
2025-11-13,23/09/2025,40,1300,41,41,40,0,0,0
2025-11-13,22/09/2025,41.20,2900,40.10,41.30,39,0,0,0
2025-11-13,19/09/2025,41.30,3100,41.30,41.40,41,0,0,0
2025-11-13,18/09/2025,41.40,2000,41.40,41.40,41.30,0,0,0
2025-11-13,17/09/2025,41.40,1500,41.40,41.40,41,0,0,0
2025-11-13,16/09/2025,41,1600,41.40,41.40,41,0,0,0
2025-11-13,15/09/2025,41,2300,40.60,41.50,40.60,0,0,0
2025-11-13,12/09/2025,41.50,2000,40.50,41.50,40.50,0,0,0
2025-11-13,11/09/2025,41.40,2200,41.40,41.40,41,0,0,0
2025-11-13,10/09/2025,41.50,3000,41,41.50,41,0,0,0
2025-11-13,09/09/2025,41.50,2000,41.60,41.60,41.50,0,0,0
2025-11-13,08/09/2025,41.70,4000,41.50,42,41,0,0,0
2025-11-13,05/09/2025,41.50,2100,42,42,41.40,0,0,0
2025-11-13,04/09/2025,41.70,1700,42.40,42.40,41.50,0,0,0
2025-11-13,03/09/2025,42.40,2100,41.40,42.40,41.40,0,0,0
2025-11-13,29/08/2025,42.50,2000,41.30,42.50,41.30,0,0,0
2025-11-13,28/08/2025,42.50,1700,42,42.70,42,0,0,0
2025-11-13,27/08/2025,42.50,5000,41,42.80,41,0,0,0
2025-11-13,26/08/2025,42.70,5000,42.80,42.90,42,0,0,0
2025-11-13,25/08/2025,42.60,2800,41,42.90,41,0,0,0
2025-11-13,22/08/2025,42.60,5000,42.90,42.90,41.50,0,0,0
2025-11-13,21/08/2025,42.80,5200,42.90,43,41,0,0,0
2025-11-13,20/08/2025,42.90,4000,43,43,42.50,0,0,0
2025-11-13,19/08/2025,42.90,3800,42.90,42.90,42.80,0,0,0
2025-11-13,18/08/2025,43,2000,42,43,42,0,0,0
2025-11-13,15/08/2025,43,2000,42.70,43,42,0,0,0
2025-11-13,14/08/2025,43,9200,43,43.30,43,0,0,0
2025-11-13,13/08/2025,42.70,12000,43.30,43.50,42.70,0,0,0
2025-11-13,12/08/2025,43,6900,43.50,43.70,43,0,0,0
2025-11-13,11/08/2025,43.50,12500,42.20,43.90,42.20,0,0,0
2025-11-13,08/08/2025,43.70,3800,43.80,43.90,43,0,0,0
2025-11-13,07/08/2025,43.80,3800,42.50,43.90,42.50,0,0,0
2025-11-13,06/08/2025,43.80,10200,43.60,43.80,43,0,0,0
2025-11-13,05/08/2025,43.70,2600,43.50,43.80,43,0,0,0
2025-11-13,04/08/2025,43.30,7600,43.50,43.90,43.20,0,0,0
2025-11-13,01/08/2025,43.50,4400,43.40,43.70,43.40,0,0,0
2025-11-13,31/07/2025,43.70,13900,43.50,43.70,42.50,0,0,0
2025-11-13,30/07/2025,43.80,4300,43,44,42.50,0,0,0
2025-11-13,29/07/2025,43.80,5100,42.10,44,42,0,0,0
2025-11-13,28/07/2025,42.50,2700,42.10,44,42.10,0,0,0
2025-11-13,25/07/2025,43,7100,42,44,42,0,0,0
2025-11-13,24/07/2025,42,6900,41.90,44,41.80,0,0,0
2025-11-13,23/07/2025,43,9300,41.70,47,41.70,0,0,0
2025-11-13,22/07/2025,41.90,3500,41,42,41,0,0,0
2025-11-13,21/07/2025,41.20,3900,42,42,41.20,0,0,0
2025-11-13,18/07/2025,43,5400,40.70,43,40.70,0,0,0
2025-11-13,17/07/2025,42,6500,42.50,43,42,0,0,0
2025-11-13,16/07/2025,42,800,43,43,42,0,0,0
2025-11-13,15/07/2025,42.70,9600,42.50,42.70,42.50,0,0,0
2025-11-13,14/07/2025,43.40,6800,42,43.40,42,0,0,0
2025-11-13,11/07/2025,43.50,1100,43.50,43.50,42.50,0,0,0
2025-11-13,10/07/2025,43.50,1500,43.50,43.50,43,0,0,0
2025-11-13,09/07/2025,43.50,1400,44,44,42,0,0,0
2025-11-13,08/07/2025,42.50,600,43,43.20,42.50,0,0,0
2025-11-13,07/07/2025,42.50,2000,42,42.50,42,0,0,0
2025-11-13,04/07/2025,44,1800,43,44,43,0,0,0
2025-11-13,03/07/2025,43.70,700,44.50,44.50,43.70,0,0,0
2025-11-13,02/07/2025,43.40,3000,43.80,43.90,43.40,0,0,0
2025-11-13,01/07/2025,43.50,2300,43.90,43.90,43.30,0,0,0
2025-11-13,30/06/2025,43.90,1700,44,44,43.50,0,0,0
2025-11-13,27/06/2025,44,100,44,44,44,0,0,0
2025-11-13,26/06/2025,43.70,400,43.20,43.70,43.20,0,0,0
2025-11-13,25/06/2025,43.30,2600,43.80,43.80,43,0,0,0
2025-11-13,24/06/2025,43.80,800,43.50,43.80,43.50,0,0,0
