date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,38.60,58700,39.60,39.60,38.30,0,0,0
2025-11-13,11/11/2025,39.30,49100,39,39.70,38.60,0,0,0
2025-11-13,10/11/2025,38.80,133000,35.80,39.80,35.70,0,0,0
2025-11-13,07/11/2025,35.80,80400,35.20,36,35.20,0,0,0
2025-11-13,06/11/2025,35.50,64900,35.30,35.50,35,0,0,0
2025-11-13,05/11/2025,35.50,105800,36,36,34.50,0,0,0
2025-11-13,04/11/2025,34.80,64800,35,35.20,34,0,0,0
2025-11-13,03/11/2025,35,67900,34,35,33,0,0,0
2025-11-13,31/10/2025,34,47200,34.90,34.90,33.50,0,0,0
2025-11-13,30/10/2025,34.40,74200,35,36.50,33.90,0,0,0
2025-11-13,29/10/2025,34.80,12300,36,36,33.80,0,0,0
2025-11-13,28/10/2025,33.80,41600,34,34,33.60,0,0,0
2025-11-13,27/10/2025,33.90,12700,34,34,33.40,0,0,0
2025-11-13,24/10/2025,34.50,13600,34.50,34.50,33.40,0,0,0
2025-11-13,23/10/2025,34.30,6300,34.50,35,34.30,0,0,0
2025-11-13,22/10/2025,34.40,31100,34,35.10,33.60,0,0,0
2025-11-13,21/10/2025,33.90,17300,33.80,33.90,33.20,0,0,0
2025-11-13,20/10/2025,33.50,25400,36,36,33.50,0,0,0
2025-11-13,17/10/2025,34.90,31300,33.50,37,33.50,0,0,0
2025-11-13,16/10/2025,33.50,15700,33.70,33.70,33.30,0,0,0
2025-11-13,15/10/2025,33.50,24400,33.40,34,33.30,0,0,0
2025-11-13,14/10/2025,33.50,40700,34.30,34.30,33.20,0,0,0
2025-11-13,13/10/2025,33.90,30100,34.30,34.60,33.70,0,0,0
2025-11-13,10/10/2025,34.30,34100,34.20,34.80,34.10,0,0,0
2025-11-13,09/10/2025,35,21400,35.40,35.40,34.60,0,0,0
2025-11-13,08/10/2025,35.40,83800,35,36,34.90,0,0,0
2025-11-13,07/10/2025,35,87600,33,35.90,32,0,0,0
2025-11-13,06/10/2025,32.50,57600,31.50,32.80,31.40,0,0,0
2025-11-13,03/10/2025,31.30,38500,29.60,32.50,29.50,0,0,0
2025-11-13,02/10/2025,32.50,80400,30.10,33,30.10,0,0,0
2025-11-13,01/10/2025,29.60,192100,28.50,31,28.20,0,0,0
2025-11-13,30/09/2025,28,7700,27.80,28.60,27.10,0,0,0
2025-11-13,29/09/2025,28.40,16700,28.50,28.50,27.50,0,0,0
2025-11-13,26/09/2025,28.40,4800,28.30,28.70,28,0,0,0
2025-11-13,25/09/2025,28.30,34800,29.30,29.30,28.20,0,0,0
2025-11-13,24/09/2025,28.70,35400,28.30,29.20,27.70,0,0,0
