date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,5.40,800,5.50,5.50,5.40,0,0,0
2025-11-13,11/11/2025,5.50,2200,4.70,5.50,4.70,0,0,0
2025-11-13,10/11/2025,5.40,2500,5.80,5.80,5.40,0,0,0
2025-11-13,07/11/2025,5.40,800,5.50,5.50,5.40,0,0,0
2025-11-13,06/11/2025,5.40,10900,5.40,5.40,5.30,0,0,0
2025-11-13,05/11/2025,5.40,5900,5.40,5.50,5.40,0,0,0
2025-11-13,04/11/2025,5.50,5000,5.60,5.60,5.30,0,0,0
2025-11-13,03/11/2025,5.40,17500,5.50,5.60,5.40,9200,0,0.0
2025-11-13,31/10/2025,5.50,5300,5.50,5.60,5.50,0,0,0
2025-11-13,30/10/2025,5.50,2800,6.30,6.30,5.40,0,0,0
2025-11-13,29/10/2025,5.50,100,5.50,5.50,5.50,0,0,0
2025-11-13,28/10/2025,5.50,7700,5.40,5.50,5.30,300,0,0.0
2025-11-13,27/10/2025,5.50,8700,5.40,5.60,5.40,0,0,0
2025-11-13,24/10/2025,5.40,3300,5.50,5.50,5.30,0,0,0
2025-11-13,23/10/2025,5.40,6000,5.40,5.50,5.40,0,0,0
2025-11-13,22/10/2025,5.50,9500,5.50,5.50,5.40,0,0,0
2025-11-13,21/10/2025,5.40,9600,5.50,5.50,5.40,500,0,0.0
2025-11-13,20/10/2025,5.40,3100,5.50,5.60,5.40,0,0,0
2025-11-13,17/10/2025,5.50,3800,5.60,5.60,5.50,0,0,0
2025-11-13,16/10/2025,5.60,2100,5.60,5.60,5.60,0,0,0
2025-11-13,15/10/2025,5.70,1100,5.50,5.70,5.50,0,0,0
2025-11-13,14/10/2025,5.60,600,5.60,5.70,5.60,0,0,0
2025-11-13,13/10/2025,5.60,13200,5.60,5.60,5.50,0,0,0
2025-11-13,10/10/2025,5.70,7600,5.70,5.70,5.60,0,0,0
2025-11-13,09/10/2025,5.70,5700,5.70,5.70,5.60,0,0,0
2025-11-13,08/10/2025,5.70,700,5.60,5.70,5.60,0,0,0
2025-11-13,07/10/2025,5.70,2900,5.60,5.70,5.60,0,0,0
2025-11-13,06/10/2025,5.70,8700,5.50,5.70,5.50,0,0,0
2025-11-13,03/10/2025,5.50,6600,5.50,5.60,5.50,0,0,0
2025-11-13,02/10/2025,5.60,16900,5.60,5.60,5.50,0,0,0
2025-11-13,01/10/2025,5.60,12000,5.60,5.60,5.60,0,0,0
2025-11-13,30/09/2025,5.70,2900,5.70,5.70,5.60,0,0,0
2025-11-13,29/09/2025,5.60,7300,5.60,5.60,5.60,0,0,0
2025-11-13,26/09/2025,5.70,6000,5.70,5.70,5.70,0,0,0
2025-11-13,25/09/2025,5.60,4700,5.60,5.70,5.60,0,0,0
2025-11-13,24/09/2025,5.60,21200,5.60,5.60,5.60,0,0,0
2025-11-13,23/09/2025,5.70,14500,5.80,5.80,5.60,0,0,0
2025-11-13,22/09/2025,5.60,4200,5.70,5.70,5.60,0,0,0
2025-11-13,19/09/2025,5.70,11000,5.60,5.70,5.60,0,0,0
2025-11-13,18/09/2025,5.60,4700,5.60,5.60,5.60,0,0,0
2025-11-13,17/09/2025,5.60,12000,5.60,5.70,5.60,0,0,0
2025-11-13,16/09/2025,5.70,4300,5.70,5.80,5.60,0,0,0
2025-11-13,15/09/2025,5.70,11600,5.80,5.80,5.70,0,0,0
2025-11-13,12/09/2025,5.80,9800,5.60,5.80,5.60,0,0,0
2025-11-13,11/09/2025,5.70,11400,5.60,5.70,5.50,0,600,-0.0
2025-11-13,10/09/2025,5.70,4800,5.70,5.70,5.60,0,0,0
2025-11-13,09/09/2025,5.60,1400,5.70,5.70,5.60,0,0,0
2025-11-13,08/09/2025,5.60,8800,5.70,5.70,5.60,0,0,0
2025-11-13,05/09/2025,5.70,6100,5.70,5.80,5.70,0,0,0
2025-11-13,04/09/2025,5.80,3300,5.80,5.80,5.70,0,0,0
2025-11-13,03/09/2025,5.70,5500,5.80,5.80,5.70,0,0,0
2025-11-13,29/08/2025,5.70,10200,5.70,5.80,5.70,0,0,0
2025-11-13,28/08/2025,5.70,7300,5.70,5.80,5.70,0,0,0
2025-11-13,27/08/2025,5.80,13500,5.80,5.80,5.70,0,0,0
2025-11-13,26/08/2025,5.70,6900,5.80,5.80,5.60,0,0,0
2025-11-13,25/08/2025,5.80,10800,5.80,5.80,5.60,0,0,0
2025-11-13,22/08/2025,5.70,14800,5.70,5.70,5.50,0,0,0
2025-11-13,21/08/2025,5.70,24700,5.80,5.80,5.50,0,0,0
2025-11-13,20/08/2025,5.70,12500,5.90,5.90,5.70,0,0,0
2025-11-13,19/08/2025,6,65400,5.60,6,5.60,0,0,0
2025-11-13,18/08/2025,5.60,36400,5.70,5.70,5.50,0,0,0
2025-11-13,15/08/2025,5.70,20200,5.80,5.80,5.60,0,0,0
2025-11-13,14/08/2025,5.80,6600,5.80,5.80,5.70,300,0,0.0
2025-11-13,13/08/2025,5.80,159100,6,6,5.50,0,0,0
2025-11-13,12/08/2025,6,13100,6,6,5.90,0,0,0
2025-11-13,11/08/2025,5.90,11100,6,6,5.90,0,0,0
2025-11-13,08/08/2025,6,44100,5.90,6,5.80,0,0,0
2025-11-13,07/08/2025,6,15300,6,6,5.90,0,0,0
2025-11-13,06/08/2025,6,20700,5.80,6.10,5.80,0,0,0
2025-11-13,05/08/2025,5.90,46400,5.90,6.10,5.90,0,0,0
2025-11-13,04/08/2025,5.90,126500,6,6.10,5.50,0,0,0
2025-11-13,01/08/2025,6.10,43000,6.20,6.20,5.70,0,0,0
2025-11-13,31/07/2025,6.20,10600,6.20,6.20,6,0,0,0
2025-11-13,30/07/2025,6,44800,5.20,6.20,5.20,0,0,0
2025-11-13,29/07/2025,6.20,54600,6.50,6.50,5.90,0,0,0
2025-11-13,28/07/2025,6.40,38300,6.40,6.60,6.30,0,0,0
2025-11-13,25/07/2025,6.30,30800,6.60,6.80,6.30,0,0,0
2025-11-13,24/07/2025,6.60,260500,7.50,7.50,6.40,0,0,0
2025-11-13,23/07/2025,7.40,4400,7.50,7.70,7.40,0,0,0
2025-11-13,22/07/2025,7.70,24900,7.50,7.90,7.40,0,0,0
2025-11-13,21/07/2025,7.40,80400,7.50,7.80,7.40,0,0,0
2025-11-13,18/07/2025,7.50,38000,7.30,7.50,7,0,0,0
2025-11-13,17/07/2025,7.30,23100,7.50,7.60,6.90,0,0,0
2025-11-13,16/07/2025,7.50,30300,7.40,7.80,7.20,0,0,0
2025-11-13,15/07/2025,7.30,34900,7.20,7.70,7.20,0,0,0
2025-11-13,14/07/2025,7.30,62200,6.90,7.50,6.90,0,0,0
2025-11-13,11/07/2025,7,107900,6.90,7.10,6.50,0,0,0
2025-11-13,10/07/2025,6.80,46000,7,7.20,6.70,0,0,0
2025-11-13,09/07/2025,6.90,68900,7.30,7.40,6.50,0,0,0
2025-11-13,08/07/2025,7.20,767400,6.60,7.40,6.60,0,0,0
2025-11-13,07/07/2025,6.60,20300,6.20,6.70,6.20,0,0,0
2025-11-13,04/07/2025,6.20,207000,5.90,6.50,5.90,0,0,0
2025-11-13,03/07/2025,6,52700,5.60,6,5.60,0,0,0
2025-11-13,02/07/2025,5.60,16300,5.70,5.80,5.60,0,0,0
2025-11-13,01/07/2025,5.70,39000,5.70,5.80,5.50,0,0,0
2025-11-13,30/06/2025,5.70,53900,5.30,5.70,5.30,0,0,0
2025-11-13,27/06/2025,5.30,2600,5.40,5.50,5.30,0,0,0
2025-11-13,26/06/2025,5.30,2100,5.50,5.50,5.30,0,0,0
2025-11-13,25/06/2025,5.50,11700,5.40,5.60,5.30,0,0,0
2025-11-13,24/06/2025,5.50,9700,5.50,5.50,5.40,0,0,0
