date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,11/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,10/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,07/11/2025,16.50,200,16.50,16.50,16.50,0,0,0
2025-11-13,06/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,05/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,04/11/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,03/11/2025,16.50,2000,16.50,16.50,16.50,0,0,0
2025-11-13,31/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,30/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,29/10/2025,16.50,0,16.50,16.50,16.50,0,0,0
2025-11-13,28/10/2025,16.50,100,16.50,16.50,16.50,0,0,0
2025-11-13,27/10/2025,16.50,400,16.50,16.50,16.50,0,0,0
2025-11-13,24/10/2025,16.50,300,16.50,16.50,16.50,0,0,0
2025-11-13,23/10/2025,16.90,1300,16.30,16.90,16.30,0,0,0
2025-11-13,22/10/2025,16.80,1500,16.30,16.80,16.30,0,0,0
2025-11-13,21/10/2025,16.90,1300,16.90,16.90,16.90,0,0,0
2025-11-13,20/10/2025,17.15,2300,17.40,17.40,17,200,0,0.0
2025-11-13,17/10/2025,16.30,2600,16.20,16.50,15.70,1800,1000,0.0
2025-11-13,16/10/2025,15.60,800,15.50,15.60,15.50,0,0,0
2025-11-13,15/10/2025,16.25,100,16.25,16.25,16.25,0,0,0
2025-11-13,14/10/2025,16.15,100,16.15,16.15,16.15,0,0,0
2025-11-13,13/10/2025,16.15,100,16.15,16.15,16.15,0,0,0
2025-11-13,10/10/2025,16.30,100,16.30,16.30,16.30,0,0,0
2025-11-13,09/10/2025,16.35,300,16.50,16.50,16.35,0,0,0
2025-11-13,08/10/2025,16.20,2100,16.10,16.20,16.10,0,1500,-0.0
2025-11-13,07/10/2025,16.10,1100,16.10,16.10,16.10,1000,0,0.0
2025-11-13,06/10/2025,16.10,200,16.10,16.10,16.10,0,0,0
2025-11-13,03/10/2025,16.10,2600,16.20,16.20,16,0,0,0
2025-11-13,02/10/2025,16.25,400,16.25,16.25,16.25,0,0,0
2025-11-13,01/10/2025,16.25,0,16.25,16.25,16.25,0,0,0
2025-11-13,30/09/2025,16.25,0,16.25,16.25,16.25,0,0,0
2025-11-13,29/09/2025,16.25,700,16.25,16.25,16.25,0,0,0
2025-11-13,26/09/2025,16.25,0,16.25,16.25,16.25,0,0,0
2025-11-13,25/09/2025,16.25,500,16.25,16.25,16.25,0,0,0
2025-11-13,24/09/2025,16.30,0,16.30,16.30,16.30,0,0,0
2025-11-13,23/09/2025,16.30,100,16.30,16.30,16.30,0,0,0
2025-11-13,22/09/2025,16.30,0,16.30,16.30,16.30,0,0,0
2025-11-13,19/09/2025,16.30,2100,15.70,16.50,15.70,0,0,0
2025-11-13,18/09/2025,16.40,7300,16.40,16.40,16.40,0,0,0
2025-11-13,17/09/2025,16.40,700,16.45,16.45,16.40,0,0,0
2025-11-13,16/09/2025,16.45,1500,16.85,16.85,16.45,0,0,0
2025-11-13,15/09/2025,16.80,3000,16.80,16.95,16.80,0,0,0
2025-11-13,12/09/2025,16.05,400,16.60,16.60,16.05,0,0,0
2025-11-13,11/09/2025,16.60,500,16.60,16.60,16.60,0,0,0
2025-11-13,10/09/2025,16.75,2300,16.75,16.75,16.75,0,0,0
2025-11-13,09/09/2025,16.75,0,16.75,16.75,16.75,0,0,0
2025-11-13,08/09/2025,16.75,400,16.60,16.75,16.60,200,0,0.0
2025-11-13,05/09/2025,16.70,2000,16.70,16.80,16.65,400,0,0.0
2025-11-13,04/09/2025,16.60,2000,16.80,16.80,16.60,0,0,0
2025-11-13,03/09/2025,16.90,7700,16.80,16.90,16.40,0,0,0
2025-11-13,29/08/2025,16.80,6400,16.95,16.95,16.60,1000,0,0.0
2025-11-13,28/08/2025,16.80,1100,16.80,16.90,16.70,0,0,0
2025-11-13,27/08/2025,16.75,9100,17.15,17.15,16.30,0,0,0
2025-11-13,26/08/2025,16.60,5100,17,17,16.60,3000,0,0.1
2025-11-13,25/08/2025,17.05,1600,17.10,17.10,16.95,0,0,0
2025-11-13,22/08/2025,17,3300,16.90,17,16.80,0,0,0
2025-11-13,21/08/2025,16.90,2000,16.90,16.90,16.90,0,0,0
2025-11-13,20/08/2025,17,2900,16.90,17,16.90,0,0,0
2025-11-13,19/08/2025,16.95,1300,17.10,17.10,16.90,0,0,0
2025-11-13,18/08/2025,17.10,9300,17,17.10,17,0,0,0
2025-11-13,15/08/2025,17,2000,17,17,17,0,0,0
2025-11-13,14/08/2025,17,12200,17.15,17.15,17,3000,0,0.1
2025-11-13,13/08/2025,17,2300,17.20,17.20,17,0,0,0
2025-11-13,12/08/2025,17.20,23700,17.20,17.30,17.15,7000,200,0.1
2025-11-13,11/08/2025,17.20,1900,17.10,17.20,17.10,0,0,0
2025-11-13,08/08/2025,17,5800,17,17,17,0,0,0
2025-11-13,07/08/2025,17,13400,17.30,17.30,17,0,0,0
2025-11-13,06/08/2025,17.30,1300,17.10,17.30,17.10,0,0,0
2025-11-13,05/08/2025,17.20,5800,17.25,17.25,17.20,0,0,0
2025-11-13,04/08/2025,17.30,600,17.25,17.30,17.25,0,0,0
2025-11-13,01/08/2025,17.25,2000,17.25,17.25,17.25,0,0,0
2025-11-13,31/07/2025,17.15,200,17.15,17.15,17.15,0,0,0
2025-11-13,30/07/2025,17.30,8000,17.20,17.30,17.15,3000,0,0.1
2025-11-13,29/07/2025,17.25,11000,17.30,17.30,17.25,0,0,0
2025-11-13,28/07/2025,17.30,2000,17.30,17.30,17.30,0,0,0
2025-11-13,25/07/2025,17.30,10100,17.30,17.30,17.30,1000,0,0.0
2025-11-13,24/07/2025,17.30,10000,17.30,17.30,17.30,0,0,0
2025-11-13,23/07/2025,17.10,2000,17.30,17.30,17.10,0,1000,-0.0
2025-11-13,22/07/2025,17.40,1900,17.35,17.40,17.35,0,0,0
2025-11-13,21/07/2025,17.40,900,17.20,17.45,17.20,200,0,0.0
2025-11-13,18/07/2025,17.35,2000,17.10,17.35,17.10,0,0,0
2025-11-13,17/07/2025,17.40,3000,17.40,17.40,17.40,1000,0,0.0
2025-11-13,16/07/2025,17.40,4800,17.50,17.50,17.35,0,1000,-0.0
2025-11-13,15/07/2025,17.50,9900,17.45,17.50,17.45,0,0,0
2025-11-13,14/07/2025,17.40,900,17.30,17.40,17.30,0,0,0
2025-11-13,11/07/2025,17.40,8000,17.45,17.45,17.40,0,0,0
2025-11-13,10/07/2025,17.45,6500,17.30,17.45,17.20,0,0,0
2025-11-13,09/07/2025,17.30,0,17.30,17.30,17.30,0,0,0
2025-11-13,08/07/2025,17.30,4200,17.40,17.40,17.30,0,0,0
2025-11-13,07/07/2025,17.50,0,17.50,17.50,17.50,0,0,0
2025-11-13,04/07/2025,17.50,900,17.45,17.50,17.45,0,0,0
2025-11-13,03/07/2025,17.50,0,17.50,17.50,17.50,0,0,0
2025-11-13,02/07/2025,17.50,400,17.45,17.50,17.45,0,0,0
2025-11-13,01/07/2025,17.50,0,17.50,17.50,17.50,0,0,0
2025-11-13,30/06/2025,17.50,400,17.50,17.50,17.50,0,100,-0.0
2025-11-13,27/06/2025,17.50,200,17.50,17.50,17.50,0,0,0
2025-11-13,26/06/2025,17.50,1600,17.50,17.50,17.50,0,0,0
2025-11-13,25/06/2025,17.50,1100,17.45,17.50,17.45,0,0,0
2025-11-13,24/06/2025,17.50,11000,17.50,17.50,17.50,0,0,0
