date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,10.50,23300,10.50,10.50,10.45,0,7100,-0.1
2025-11-13,11/11/2025,10.50,15400,10.50,10.50,10.35,0,200,-0.0
2025-11-13,10/11/2025,10.50,26600,10.55,10.60,10.45,0,300,-0.0
2025-11-13,07/11/2025,10.65,10700,10.70,10.70,10.55,0,1000,-0.0
2025-11-13,06/11/2025,10.70,29700,10.45,10.70,10.45,0,0,0
2025-11-13,05/11/2025,10.70,44400,10.20,10.70,10.20,5700,0,0.1
2025-11-13,04/11/2025,10.50,155700,10.45,10.50,10.05,2100,0,0.0
2025-11-13,03/11/2025,10.50,67200,10.45,10.50,10.35,20100,500,0.2
2025-11-13,31/10/2025,10.55,14300,10.50,10.55,10.45,0,0,0
2025-11-13,30/10/2025,10.55,6100,10.50,10.55,10.45,0,200,-0.0
2025-11-13,29/10/2025,10.55,23100,10.60,10.60,10.40,0,0,0
2025-11-13,28/10/2025,10.55,20100,10.75,10.75,10.45,0,1100,-0.0
2025-11-13,27/10/2025,10.55,25300,10.55,10.75,10.55,0,5000,-0.1
2025-11-13,24/10/2025,10.75,44600,10.80,10.80,10.50,0,2500,-0.0
2025-11-13,23/10/2025,10.75,16300,10.75,10.75,10.60,0,0,0
2025-11-13,22/10/2025,10.75,32900,10.85,10.85,10.50,0,0,0
2025-11-13,21/10/2025,10.75,117300,10.55,10.75,10.45,4300,800,0.0
2025-11-13,20/10/2025,10.70,64600,11,11.20,10.60,0,0,0
2025-11-13,17/10/2025,11,49800,10.90,11,10.85,0,0,0
2025-11-13,16/10/2025,10.95,8900,11,11,10.80,0,0,0
2025-11-13,15/10/2025,11,72200,11,11.05,10.65,5000,0,0.1
2025-11-13,14/10/2025,11.05,27200,11.20,11.20,11,0,0,0
2025-11-13,13/10/2025,11.05,47500,11.05,11.10,11,0,0,0
2025-11-13,10/10/2025,11.05,39600,11,11.10,10.95,4000,0,0.0
2025-11-13,09/10/2025,10.95,133600,11,11.05,10.95,0,0,0
2025-11-13,08/10/2025,11.10,25700,11.10,11.20,11,3500,0,0.0
2025-11-13,07/10/2025,11.20,50300,11,11.20,11,5000,0,0.1
2025-11-13,06/10/2025,11.10,24500,11.15,11.15,11.05,0,0,0
2025-11-13,03/10/2025,11.15,32800,11.15,11.15,11.05,0,300,-0.0
2025-11-13,02/10/2025,11.15,38900,11.10,11.20,11.10,0,0,0
2025-11-13,01/10/2025,11.20,30000,11.10,11.25,11.10,0,0,0
2025-11-13,30/09/2025,11.15,82400,11.10,11.25,11.10,0,0,0
2025-11-13,29/09/2025,11.35,26000,11.40,11.40,11.15,300,0,0.0
2025-11-13,26/09/2025,11.35,41000,11.35,11.40,11.35,0,0,0
2025-11-13,25/09/2025,11.35,29700,11.35,11.50,11.35,0,0,0
2025-11-13,24/09/2025,11.45,99600,11.50,11.55,11.40,0,0,0
2025-11-13,23/09/2025,11.50,96500,11.30,11.50,11.30,4200,0,0.0
2025-11-13,22/09/2025,11.30,94400,11.25,11.30,11.20,0,0,0
2025-11-13,19/09/2025,11.30,77100,11.25,11.45,11.20,0,0,0
2025-11-13,18/09/2025,11.20,55600,11.25,11.30,11.15,0,0,0
2025-11-13,17/09/2025,11.25,62000,11.40,11.40,11.25,0,0,0
2025-11-13,16/09/2025,11.40,125100,11.45,11.50,11.30,0,0,0
2025-11-13,15/09/2025,11.40,374700,11.45,11.50,11.40,0,0,0
2025-11-13,12/09/2025,11.50,129200,11.15,11.85,11.15,0,0,0
2025-11-13,11/09/2025,11.20,53000,11.25,11.25,11.10,0,0,0
2025-11-13,10/09/2025,11.30,21400,11.40,11.40,11.25,0,0,0
2025-11-13,09/09/2025,11.40,78100,11.20,11.40,11.05,0,0,0
2025-11-13,08/09/2025,11.25,57700,11.40,11.50,11.20,100,19500,-0.2
2025-11-13,05/09/2025,11.50,146100,11.55,11.75,11.50,0,1200,-0.0
2025-11-13,04/09/2025,11.45,155100,11.20,11.65,11.20,0,600,-0.0
2025-11-13,03/09/2025,11.35,68100,11.15,11.35,11.15,0,200,-0.0
2025-11-13,29/08/2025,11.25,33100,11,11.35,11,200,4800,-0.1
2025-11-13,28/08/2025,11.05,86400,11,11.15,11,5000,2800,0
2025-11-13,27/08/2025,11.15,50400,11.05,11.25,11.05,0,0,0
2025-11-13,26/08/2025,11.05,81100,11.35,11.35,10.85,12900,1000,0.1
2025-11-13,25/08/2025,11.10,49800,11.05,11.35,11.05,3000,11800,-0.1
2025-11-13,22/08/2025,10.95,302600,11.60,11.60,10.95,18800,3600,0.2
2025-11-13,21/08/2025,11.65,56900,11.65,11.75,11.55,2000,0,0.0
2025-11-13,20/08/2025,11.65,101400,11.60,11.70,11.55,6200,2800,0.0
2025-11-13,19/08/2025,11.60,292200,11.60,11.95,11.60,14100,0,0.2
2025-11-13,18/08/2025,11.60,136900,11.60,11.95,11.55,400,0,0.0
2025-11-13,15/08/2025,11.60,98900,11.90,11.90,11.60,2900,34700,-0.4
2025-11-13,14/08/2025,11.85,163400,11.95,11.95,11.65,0,1600,-0.0
2025-11-13,13/08/2025,11.90,351300,12.05,12.05,11.80,0,0,0
2025-11-13,12/08/2025,12,206000,12.20,12.25,11.90,3400,5000,-0.0
2025-11-13,11/08/2025,12.15,497200,12.05,12.30,12.05,32900,3400,0.4
2025-11-13,08/08/2025,11.75,112100,11.85,11.85,11.65,0,10300,-0.1
2025-11-13,07/08/2025,11.80,166400,11.80,12,11.60,500,0,0.0
2025-11-13,06/08/2025,11.80,60200,11.65,11.95,11.65,0,0,0
2025-11-13,05/08/2025,11.80,471400,11.85,12.25,11.50,15500,5900,0.1
2025-11-13,04/08/2025,11.80,204100,11.70,11.90,11.65,0,600,-0.0
2025-11-13,01/08/2025,11.60,139100,11.50,11.70,11.45,0,8700,-0.1
2025-11-13,31/07/2025,11.30,340500,11.50,11.50,11.05,5900,500,0.1
2025-11-13,30/07/2025,11.50,183800,11.50,11.50,11.35,2300,0,0.0
2025-11-13,29/07/2025,11.60,442500,12,12,11.60,0,0,0
