date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,38,1000,39,39,38,0,0,0,
2025-11-13,11/11/2025,40,100,40,40,40,0,0,0,
2025-11-13,10/11/2025,40,0,40,40,40,0,0,0,
2025-11-13,07/11/2025,40,10600,40,40,40,0,0,0,
2025-11-13,06/11/2025,41.10,0,41.10,41.10,41.10,0,0,0,
2025-11-13,05/11/2025,41.10,0,41.10,41.10,41.10,0,0,0,
2025-11-13,04/11/2025,41.10,0,41.10,41.10,41.10,0,0,0,
2025-11-13,03/11/2025,41.10,0,41.10,41.10,41.10,0,0,0,
2025-11-13,31/10/2025,41.10,0,41.10,41.10,41.10,0,0,0,
2025-11-13,30/10/2025,41.10,0,41.10,41.10,41.10,0,0,0,
2025-11-13,29/10/2025,41.40,12500,40.80,41.50,40.80,0,0,0,
2025-11-13,28/10/2025,41,12000,40,41,40,0,0,0,
2025-11-13,27/10/2025,40,0,40,40,40,0,0,0,
2025-11-13,24/10/2025,40,2200,40,40,40,0,0,0,
2025-11-13,23/10/2025,40,0,40,40,40,0,0,0,
2025-11-13,22/10/2025,40,0,40,40,40,0,0,0,
2025-11-13,21/10/2025,40,12100,39.80,40,38.80,0,0,0,
2025-11-13,20/10/2025,39.50,0,39.50,39.50,39.50,0,0,0,
2025-11-13,17/10/2025,39.60,1200,39.50,39.60,39.50,0,800,-0.0,
2025-11-13,16/10/2025,39.50,500,39.50,39.50,39.50,0,0,0,
2025-11-13,15/10/2025,39.10,500,39.10,39.10,39.10,0,0,0,
2025-11-13,14/10/2025,39.30,300,39.30,39.30,39.30,0,0,0,
2025-11-13,13/10/2025,39.30,0,39.30,39.30,39.30,0,0,0,
2025-11-13,10/10/2025,39.20,2100,39.50,39.50,39.20,0,0,0,
2025-11-13,09/10/2025,38.50,300,38.50,38.50,38.50,0,0,0,
2025-11-13,08/10/2025,39,0,39,39,39,0,0,0,
2025-11-13,07/10/2025,39,0,39,39,39,0,0,0,
2025-11-13,06/10/2025,39,1100,39,39,39,0,0,0,
2025-11-13,03/10/2025,38.80,2100,38.90,39,38.80,0,0,0,
2025-11-13,02/10/2025,38.50,0,38.50,38.50,38.50,0,0,0,
2025-11-13,01/10/2025,38.50,0,38.50,38.50,38.50,0,0,0,
2025-11-13,30/09/2025,38.50,600,38.50,38.50,38.50,0,0,0,
2025-11-13,29/09/2025,37.90,1000,38,38,37.90,0,0,0,
2025-11-13,26/09/2025,39.60,400,39.60,39.60,39.60,0,0,0,
2025-11-13,25/09/2025,37.90,3500,39.80,39.80,37.90,0,0,0,
2025-11-13,24/09/2025,37.90,200,37.90,37.90,37.90,0,0,0,
2025-11-13,23/09/2025,37.90,0,37.90,37.90,37.90,0,0,0,
2025-11-13,22/09/2025,37.90,200,37.90,37.90,37.90,0,0,0,
2025-11-13,19/09/2025,39,0,39,39,39,0,0,0,
2025-11-13,18/09/2025,39,0,39,39,39,0,0,0,
2025-11-13,17/09/2025,39,1800,39,39,39,0,0,0,
2025-11-13,16/09/2025,39,0,39,39,39,0,0,0,
2025-11-13,15/09/2025,39,0,39,39,39,0,0,0,
2025-11-13,12/09/2025,39,200,39,39,39,0,0,0,
2025-11-13,11/09/2025,39,400,39,39,39,0,0,0,
2025-11-13,10/09/2025,38.70,300,38.70,38.90,38.70,0,0,0,
