date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,28.90,0,28.90,28.90,28.90,0,0,0,
2025-11-13,11/11/2025,28.90,100,28.90,28.90,28.90,0,0,0,
2025-11-13,10/11/2025,26.40,100,26.40,26.40,26.40,0,0,0,
2025-11-13,07/11/2025,24.60,0,24.60,24.60,24.60,0,0,0,
2025-11-13,06/11/2025,24.60,0,24.60,24.60,24.60,0,0,0,
2025-11-13,05/11/2025,24.60,0,24.60,24.60,24.60,0,0,0,
2025-11-13,04/11/2025,24.60,0,24.60,24.60,24.60,0,0,0,
2025-11-13,03/11/2025,24.60,0,24.60,24.60,24.60,0,0,0,
2025-11-13,31/10/2025,24.60,0,24.60,24.60,24.60,0,0,0,
2025-11-13,30/10/2025,24.50,400,24.50,24.60,24.50,0,0,0,
2025-11-13,29/10/2025,27.10,0,27.10,27.10,27.10,0,0,0,
2025-11-13,28/10/2025,27.10,0,27.10,27.10,27.10,0,0,0,
2025-11-13,27/10/2025,27.10,200,27.10,27.10,27.10,0,0,0,
2025-11-13,24/10/2025,27.20,0,27.20,27.20,27.20,0,0,0,
2025-11-13,23/10/2025,27.20,0,27.20,27.20,27.20,0,0,0,
2025-11-13,22/10/2025,27.20,100,27.20,27.20,27.20,0,0,0,
2025-11-13,21/10/2025,25.50,500,24.50,25.50,24.50,0,0,0,
2025-11-13,20/10/2025,24.20,1100,24.20,25.20,24.20,0,0,0,
2025-11-13,17/10/2025,27.90,0,27.90,27.90,27.90,0,0,0,
2025-11-13,16/10/2025,27.90,0,27.90,27.90,27.90,0,0,0,
2025-11-13,15/10/2025,27.90,100,27.90,27.90,27.90,0,0,0,
2025-11-13,14/10/2025,24.60,300,24.60,24.60,24.60,0,0,0,
2025-11-13,13/10/2025,25.70,0,25.70,25.70,25.70,0,0,0,
2025-11-13,10/10/2025,25.70,200,25.70,25.70,25.70,0,0,0,
2025-11-13,09/10/2025,25.40,0,25.40,25.40,25.40,0,0,0,
2025-11-13,08/10/2025,25.40,800,25.40,25.40,25.40,0,0,0,
2025-11-13,07/10/2025,25.50,200,25.50,25.50,25.50,0,0,0,
2025-11-13,06/10/2025,27.90,0,27.90,27.90,27.90,0,0,0,
2025-11-13,03/10/2025,27.90,0,27.90,27.90,27.90,0,0,0,
