date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,23.90,67900,23.75,24.10,23.70,1800,4300,-0.1,
2025-11-13,11/11/2025,23.55,80300,23.30,23.70,23.30,2500,12700,-0.2,
2025-11-13,10/11/2025,23.55,212500,24.05,24.05,23.35,15300,65000,-1.2,
2025-11-13,07/11/2025,24.15,228100,24.50,24.55,23.90,20300,72700,-1.3,
2025-11-13,06/11/2025,24.50,90800,24.40,24.80,24.20,11700,13800,-0.1,
2025-11-13,05/11/2025,24.55,196000,25.10,25.45,24.40,26700,20300,0.2,
2025-11-13,04/11/2025,25.10,286500,25.50,25.65,23.75,13400,10400,0.1,
2025-11-13,03/11/2025,25.50,579800,24.30,25.80,24.05,20600,29000,-0.2,
2025-11-13,31/10/2025,24.30,320500,24.15,24.90,24.10,12600,300,0.3,
2025-11-13,30/10/2025,25,32300,25.20,25.20,24.85,1900,10600,-0.2,
2025-11-13,29/10/2025,25.20,84800,24.85,25.20,24.50,5100,700,0.1,
2025-11-13,28/10/2025,24.85,36900,24.60,24.95,24.30,3200,3100,0.0,
2025-11-13,27/10/2025,24.60,72600,25.95,25.95,24.50,500,47700,-1.2,
2025-11-13,24/10/2025,25,77600,24.90,25,24.40,53000,6700,1.2,
2025-11-13,23/10/2025,24.90,67300,24.65,25.10,24.65,8200,15300,-0.2,
2025-11-13,22/10/2025,24.30,43700,24.30,24.50,23.85,5100,9200,-0.1,
2025-11-13,21/10/2025,24.30,73600,24,24.50,23.85,2100,4600,-0.1,
2025-11-13,20/10/2025,24,121700,25.25,25.75,24,10600,24700,-0.4,
2025-11-13,17/10/2025,25.25,51900,25.60,25.60,25.15,2600,3500,-0.0,
2025-11-13,16/10/2025,25.70,90800,26,26.80,25.30,19600,12400,0.2,
2025-11-13,15/10/2025,26,118800,26.50,26.50,25.20,6800,2900,0.1,
2025-11-13,14/10/2025,26.35,79100,26.40,26.90,26.35,9000,14700,-0.2,
2025-11-13,13/10/2025,26.40,125000,26.65,26.65,26.35,22000,2700,0.5,
2025-11-13,10/10/2025,26.80,96400,26.85,27.10,26.75,5300,6100,-0.0,
2025-11-13,09/10/2025,26.80,92100,27.15,27.65,26.50,0,0,0,
2025-11-13,08/10/2025,27.30,70100,27.65,28,27.15,300,12700,-0.3,
2025-11-13,07/10/2025,27.55,44100,27.75,27.75,27.15,7900,13700,-0.2,
2025-11-13,06/10/2025,27.75,92200,27.55,27.80,27.40,23800,8400,0.4,
2025-11-13,03/10/2025,27.55,86000,27.50,27.80,27.45,49300,12400,1.0,
2025-11-13,02/10/2025,27.70,57900,27.60,27.90,27.60,34900,6800,0.8,
2025-11-13,01/10/2025,27.70,54500,28.30,28.30,27.60,3500,6800,-0.1,
2025-11-13,30/09/2025,28.10,365100,27.50,28.35,27.10,256100,32900,6.2,
2025-11-13,29/09/2025,27.30,81200,28,28,27.25,0,28200,-0.8,
2025-11-13,26/09/2025,28,343500,26.20,28,26,50500,26900,0.6,
2025-11-13,25/09/2025,26.20,100900,26.50,26.50,26.20,10700,11000,-0.0,
2025-11-13,24/09/2025,26.45,115800,26.45,26.45,25.95,71900,5600,1.7,
2025-11-13,23/09/2025,26.45,39600,27,27,26.40,4100,2100,0.1,
2025-11-13,22/09/2025,26.40,237500,26.40,27,25.55,150100,11000,3.6,
2025-11-13,19/09/2025,26.25,112500,26.30,26.45,25.80,3500,2000,0.0,
2025-11-13,18/09/2025,26.30,248900,26.85,26.85,26,94600,4300,2.4,
2025-11-13,17/09/2025,26.85,181500,27.10,27.15,26.80,7200,33400,-0.7,
2025-11-13,16/09/2025,27.20,200100,27.45,27.45,27.15,53300,10700,1.2,
2025-11-13,15/09/2025,27.35,151300,27.40,28,27.30,1800,1000,0.0,
2025-11-13,12/09/2025,27.40,201700,27.75,28,27.35,97300,29700,1.9,
2025-11-13,11/09/2025,27.70,157000,28.55,28.55,27.30,21900,21600,0.0,
2025-11-13,10/09/2025,28.55,382500,28.25,28.60,26.85,181000,74600,3.0,
