date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,16.55,15000,16.85,16.85,16.35,0,0,0,
2025-11-13,11/11/2025,16.60,23500,17.10,17.10,16.30,0,0,0,
2025-11-13,10/11/2025,16.55,21000,16.20,17.10,16.20,100,0,0.0,
2025-11-13,07/11/2025,16.75,42400,16.90,16.90,16.50,10100,0,0.2,
2025-11-13,06/11/2025,16.90,10100,17.15,17.15,16.75,0,0,0,
2025-11-13,05/11/2025,16.80,34100,17,17.15,16.60,300,0,0.0,
2025-11-13,04/11/2025,17,35600,17,17.30,16.70,200,0,0.0,
2025-11-13,03/11/2025,16.85,35000,16.85,16.95,16.65,400,0,0.0,
2025-11-13,31/10/2025,16.75,29500,16.65,16.90,16.60,200,0,0.0,
2025-11-13,30/10/2025,16.75,18200,16.90,16.90,16.70,800,1000,-0.0,
2025-11-13,29/10/2025,16.70,17000,16.80,16.80,16.40,0,0,0,
2025-11-13,28/10/2025,16.65,41600,16.75,16.75,16.40,0,0,0,
2025-11-13,27/10/2025,16.75,71700,16.85,16.95,16.65,400,0,0.0,
2025-11-13,24/10/2025,16.65,37500,16.85,16.85,16.55,0,0,0,
2025-11-13,23/10/2025,16.75,20700,16.90,16.90,16.75,0,0,0,
2025-11-13,22/10/2025,16.85,46200,16.80,16.95,16.60,200,0,0.0,
2025-11-13,21/10/2025,16.80,75300,16.60,17,16.50,100,0,0.0,
2025-11-13,20/10/2025,16.60,62000,17,17.45,16,0,0,0,
2025-11-13,17/10/2025,17.05,71800,17.10,17.50,16.80,200,0,0.0,
2025-11-13,16/10/2025,17.05,76200,16.95,17.15,16.85,700,0,0.0,
2025-11-13,15/10/2025,16.95,95500,17.60,17.60,16.70,0,0,0,
2025-11-13,14/10/2025,17.55,70900,18,18.05,17.50,400,500,-0.0,
2025-11-13,13/10/2025,17.90,376700,17.25,18.15,17.20,0,1100,-0.0,
2025-11-13,10/10/2025,17.05,32100,17.20,17.20,17,200,0,0.0,
2025-11-13,09/10/2025,17.15,40300,17.20,17.30,16.95,0,0,0,
2025-11-13,08/10/2025,17.10,39900,17.10,17.50,17.10,0,0,0,
2025-11-13,07/10/2025,17.10,41600,17.30,17.30,17,0,400,-0.0,
2025-11-13,06/10/2025,17.20,69300,17.35,17.40,17,0,0,0,
2025-11-13,03/10/2025,17.15,102900,17.30,17.30,16.75,900,0,0.0,
2025-11-13,02/10/2025,17,64000,17.30,17.85,17,200,0,0.0,
2025-11-13,01/10/2025,17.30,122200,17.80,17.80,16.95,400,0,0.0,
2025-11-13,30/09/2025,17.45,209600,18.10,18.70,17.35,500,0,0.0,
2025-11-13,29/09/2025,18.65,358300,19.55,19.55,18.50,300,10000,-0.2,
2025-11-13,26/09/2025,18.55,400600,17.50,18.55,17.35,0,1500,-0.0,
2025-11-13,25/09/2025,17.35,30100,17.45,17.55,17.35,0,0,0,
2025-11-13,24/09/2025,17.30,34300,17.15,17.35,17.15,8800,0,0.2,
2025-11-13,23/09/2025,17.15,54600,17,17.15,16.30,100,200,-0.0,
2025-11-13,22/09/2025,17.15,31600,17.40,17.40,17,200,1600,-0.0,
2025-11-13,19/09/2025,17.35,61900,17.50,17.50,17.25,100,2400,-0.0,
2025-11-13,18/09/2025,17.45,26000,17.80,17.80,17.35,100,2400,-0.0,
2025-11-13,17/09/2025,17.50,58800,17.55,17.60,17.35,1400,100,0.0,
2025-11-13,16/09/2025,17.35,55600,17.55,17.60,17.35,1300,600,0.0,
