date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,10.50,0,10.50,10.50,10.50,0,0,0
2025-11-13,11/11/2025,10.50,2000,10.50,10.50,10.50,0,0,0
2025-11-13,10/11/2025,10.50,0,10.50,10.50,10.50,0,0,0
2025-11-13,07/11/2025,10.50,2000,10.50,10.50,10.50,0,0,0
2025-11-13,06/11/2025,10.50,2000,10.70,10.70,10.50,0,0,0
2025-11-13,05/11/2025,10.70,100,10.70,10.70,10.70,0,0,0
2025-11-13,04/11/2025,10.30,2000,10.30,10.30,10.30,0,0,0
2025-11-13,03/11/2025,10.40,0,10.40,10.40,10.40,0,0,0
2025-11-13,31/10/2025,10.40,6000,10.40,10.40,10.40,0,0,0
2025-11-13,30/10/2025,10.40,1100,10.40,10.40,10.40,0,0,0
2025-11-13,29/10/2025,10.30,0,10.30,10.30,10.30,0,0,0
2025-11-13,28/10/2025,10.30,200,10.30,10.30,10.30,0,0,0
2025-11-13,27/10/2025,10.30,900,10.30,10.30,10.30,0,0,0
2025-11-13,24/10/2025,10,100,10,10,10,0,0,0
2025-11-13,23/10/2025,9.20,1100,10.30,10.40,9.20,0,0,0
2025-11-13,22/10/2025,10.40,100,10.40,10.40,10.40,0,0,0
2025-11-13,21/10/2025,10,0,10,10,10,0,0,0
2025-11-13,20/10/2025,10,200,10,10,10,0,0,0
2025-11-13,17/10/2025,9.60,0,9.60,9.60,9.60,0,0,0
2025-11-13,16/10/2025,9.20,400,10.10,10.10,9.20,0,0,0
2025-11-13,15/10/2025,11.20,800,10.70,11.20,10.70,0,0,0
2025-11-13,14/10/2025,9.80,100,9.80,9.80,9.80,0,0,0
2025-11-13,13/10/2025,9.80,0,9.80,9.80,9.80,0,0,0
2025-11-13,10/10/2025,9.80,0,9.80,9.80,9.80,0,0,0
2025-11-13,09/10/2025,9.80,0,9.80,9.80,9.80,0,0,0
2025-11-13,08/10/2025,9.80,0,9.80,9.80,9.80,0,0,0
2025-11-13,07/10/2025,9.80,0,9.80,9.80,9.80,0,0,0
2025-11-13,06/10/2025,9.80,0,9.80,9.80,9.80,0,0,0
2025-11-13,03/10/2025,9.80,0,9.80,9.80,9.80,0,0,0
2025-11-13,02/10/2025,9.80,0,9.80,9.80,9.80,0,0,0
2025-11-13,01/10/2025,9.80,0,9.80,9.80,9.80,0,0,0
2025-11-13,30/09/2025,9.80,10700,9.80,9.80,9.80,0,0,0
2025-11-13,29/09/2025,9.80,6000,9.70,9.80,9.70,0,0,0
2025-11-13,26/09/2025,9.70,0,9.70,9.70,9.70,0,0,0
2025-11-13,25/09/2025,9.70,8000,9.60,9.80,9.60,0,0,0
2025-11-13,24/09/2025,9.70,0,9.70,9.70,9.70,0,0,0
2025-11-13,23/09/2025,9.60,2100,9.70,9.70,9.60,0,0,0
2025-11-13,22/09/2025,10,300,10,10,10,0,0,0
2025-11-13,19/09/2025,9.50,300,9.50,9.50,9.50,0,0,0
2025-11-13,18/09/2025,9.50,0,9.50,9.50,9.50,0,0,0
2025-11-13,17/09/2025,9.50,5400,9.50,9.50,9.40,0,0,0
2025-11-13,16/09/2025,9.20,1000,10,10,9.20,0,0,0
2025-11-13,15/09/2025,10,0,10,10,10,0,0,0
2025-11-13,12/09/2025,10,0,10,10,10,0,0,0
2025-11-13,11/09/2025,10,0,10,10,10,0,0,0
2025-11-13,10/09/2025,10,0,10,10,10,0,0,0
2025-11-13,09/09/2025,10,0,10,10,10,0,0,0
2025-11-13,08/09/2025,10,54400,10,10,10,0,0,0
2025-11-13,05/09/2025,10,29900,9.90,10,9.90,0,0,0
2025-11-13,04/09/2025,9.30,200,9.30,9.30,9.30,0,0,0
2025-11-13,03/09/2025,9.30,0,9.30,9.30,9.30,0,0,0
2025-11-13,29/08/2025,9.30,0,9.30,9.30,9.30,0,0,0
2025-11-13,28/08/2025,9.30,0,9.30,9.30,9.30,0,0,0
2025-11-13,27/08/2025,9.30,2500,9.90,9.90,9.20,0,0,0
2025-11-13,26/08/2025,9.30,200,9.30,9.30,9.30,0,0,0
2025-11-13,25/08/2025,9.30,0,9.30,9.30,9.30,0,0,0
2025-11-13,22/08/2025,9.30,200,9.30,9.30,9.30,0,0,0
2025-11-13,21/08/2025,9.30,1200,9.50,9.50,9.30,0,0,0
2025-11-13,20/08/2025,9.50,600,9.20,9.50,9.20,0,0,0
2025-11-13,19/08/2025,9.40,200,9.50,9.50,9.40,0,0,0
2025-11-13,18/08/2025,9.40,0,9.40,9.40,9.40,0,0,0
2025-11-13,15/08/2025,9.40,0,9.40,9.40,9.40,0,0,0
2025-11-13,14/08/2025,9.40,0,9.40,9.40,9.40,0,0,0
2025-11-13,13/08/2025,9.40,0,9.40,9.40,9.40,0,0,0
2025-11-13,12/08/2025,9.40,1000,9.40,9.40,9.40,0,0,0
2025-11-13,11/08/2025,9.40,1400,9.20,9.60,9.20,0,0,0
2025-11-13,08/08/2025,9.10,0,9.10,9.10,9.10,0,0,0
2025-11-13,07/08/2025,9.10,0,9.10,9.10,9.10,0,0,0
2025-11-13,06/08/2025,9.10,1200,9.10,9.10,9.10,0,0,0
2025-11-13,05/08/2025,9.20,4700,9.10,9.20,9.10,0,0,0
2025-11-13,04/08/2025,9,14000,9.20,9.20,8.80,0,0,0
2025-11-13,01/08/2025,8.80,2200,8.80,9,8.80,0,0,0
2025-11-13,31/07/2025,9,25400,9.40,9.40,7.80,0,0,0
2025-11-13,30/07/2025,9,6500,9.10,9.10,9,0,0,0
2025-11-13,29/07/2025,9.30,0,9.30,9.30,9.30,0,0,0
2025-11-13,28/07/2025,9.30,2000,9.30,9.30,9.10,0,0,0
2025-11-13,25/07/2025,9.40,700,9.30,9.40,9.30,0,0,0
2025-11-13,24/07/2025,9.50,2400,9.40,9.50,9.20,0,0,0
2025-11-13,23/07/2025,9.30,9600,9.70,9.70,9.20,0,0,0
2025-11-13,22/07/2025,10.20,2500,9.70,10.20,9.70,0,0,0
2025-11-13,21/07/2025,9.70,5200,9.70,9.70,9.70,0,0,0
2025-11-13,18/07/2025,9.70,7000,9.70,9.70,9.70,0,0,0
2025-11-13,17/07/2025,9.70,5000,9.70,9.70,9.70,0,0,0
2025-11-13,16/07/2025,9.70,200,9.70,9.70,9.70,0,0,0
2025-11-13,15/07/2025,9.70,5000,9.70,9.70,9.70,0,0,0
2025-11-13,14/07/2025,9.80,13100,9.80,9.80,9.80,0,0,0
2025-11-13,11/07/2025,9.90,0,9.90,9.90,9.90,0,0,0
2025-11-13,10/07/2025,9.90,0,9.90,9.90,9.90,0,0,0
2025-11-13,09/07/2025,9.90,0,9.90,9.90,9.90,0,0,0
2025-11-13,08/07/2025,9.90,5000,9.90,9.90,9.90,0,0,0
2025-11-13,07/07/2025,9.90,11300,9.70,9.90,9.70,0,0,0
2025-11-13,04/07/2025,9.70,100,9.70,9.70,9.70,0,0,0
2025-11-13,03/07/2025,9.70,2000,9.70,9.70,9.70,0,0,0
2025-11-13,02/07/2025,9.80,500,9.80,9.80,9.80,0,0,0
2025-11-13,01/07/2025,9.70,200,9.70,9.70,9.70,0,0,0
2025-11-13,30/06/2025,9.80,1900,9.50,9.80,9.50,0,0,0
2025-11-13,27/06/2025,9.50,0,9.50,9.50,9.50,0,0,0
2025-11-13,26/06/2025,9.50,0,9.50,9.50,9.50,0,0,0
