date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,56,827800,53.40,56.30,53.10,24010,128258,-5.8
2025-11-13,11/11/2025,53.40,281200,53.50,54.10,53.10,36300,56100,-1.1
2025-11-13,10/11/2025,53,367500,52.10,54.10,52,65200,15300,2.6
2025-11-13,07/11/2025,52,465800,54.10,54.40,51.80,75600,118700,-2.3
2025-11-13,06/11/2025,54.10,347700,55.10,55.10,53.20,91200,64900,1.4
2025-11-13,05/11/2025,54.50,835000,54.10,55.90,53.60,5400,98500,-5.1
2025-11-13,04/11/2025,54.30,1009800,54.90,55.20,51.70,80500,233800,-8.3
2025-11-13,03/11/2025,54.30,877500,51.40,54.30,50.90,38600,136500,-5.1
2025-11-13,31/10/2025,50.80,737800,51.30,52.40,50.70,14100,124500,-5.7
2025-11-13,30/10/2025,50.60,219100,50.20,50.80,50.10,54500,45900,0.4
2025-11-13,29/10/2025,50.20,344100,50,50.90,49.85,19500,20200,-0.0
2025-11-13,28/10/2025,49.90,164500,49.80,49.95,49.30,4800,51200,-2.3
2025-11-13,27/10/2025,49.80,271900,48.75,50.60,48.75,10300,34400,-1.2
2025-11-13,24/10/2025,48.75,307300,49.40,49.50,48.25,45700,125500,-3.9
2025-11-13,23/10/2025,49.40,87900,49.30,49.50,49.10,6700,36000,-1.4
2025-11-13,22/10/2025,49.30,144300,49.50,49.70,48.40,5100,44900,-1.9
2025-11-13,21/10/2025,49,508400,47.50,49,47.30,143600,72500,3.4
2025-11-13,20/10/2025,47.10,635300,50.40,50.70,47.10,62800,159800,-4.9
2025-11-13,17/10/2025,50.50,314400,51.90,51.90,50.10,1800,58100,-2.9
2025-11-13,16/10/2025,51.40,362900,51,51.40,49,61000,8900,2.6
2025-11-13,15/10/2025,51,725100,52,52,50.50,150100,117800,1.6
2025-11-13,14/10/2025,52,817000,53.10,53.60,51.70,140100,118600,1.1
2025-11-13,13/10/2025,52.80,550400,54.40,54.40,52.40,27200,285700,-13.7
2025-11-13,10/10/2025,54.50,396900,55.20,55.20,54,73500,121000,-2.6
2025-11-13,09/10/2025,55.10,178600,54.40,55.20,54.40,0,0,0
2025-11-13,08/10/2025,54.80,240900,54.40,54.90,53.80,22000,25600,-0.2
2025-11-13,07/10/2025,53.40,443700,54.40,54.60,53.30,17800,35800,-1.0
2025-11-13,06/10/2025,54.50,248100,53.80,54.50,53.50,44600,17900,1.4
2025-11-13,03/10/2025,53,236300,53.70,54.10,52.90,27900,17500,0.6
2025-11-13,02/10/2025,54.10,180500,55,55.50,54.10,27900,45800,-1.0
2025-11-13,01/10/2025,54.90,164500,55.30,55.50,54.90,11200,47300,-2.0
2025-11-13,30/09/2025,55.30,360700,56,56.40,54.70,46800,66300,-1.1
2025-11-13,29/09/2025,56.20,208800,56.70,56.70,55.60,7200,89500,-4.6
2025-11-13,26/09/2025,56.50,263000,56.50,57.20,56.30,24300,52600,-1.6
2025-11-13,25/09/2025,56.50,156000,56.60,57,56.10,9200,21300,-0.7
2025-11-13,24/09/2025,56.50,319700,56,56.70,55,36700,71600,-1.9
2025-11-13,23/09/2025,56,167500,56.50,56.90,56,2100,39100,-2.1
2025-11-13,22/09/2025,56.50,351100,57.50,57.70,56.20,18500,78500,-3.4
2025-11-13,19/09/2025,57.90,400300,59.20,59.20,57.90,5700,237500,-13.5
2025-11-13,18/09/2025,58.70,205500,60,60,58.50,10200,89400,-4.7
2025-11-13,17/09/2025,59.50,830100,58.10,60.90,58.10,160000,48400,6.7
2025-11-13,16/09/2025,58.40,344600,59.50,59.50,58.20,8900,88200,-4.7
2025-11-13,15/09/2025,59.30,350600,57.70,59.30,57.70,56100,43100,0.7
2025-11-13,12/09/2025,57.70,319500,58.20,58.60,57.50,52900,36300,1.0
2025-11-13,11/09/2025,57.70,405400,57.30,57.80,55.80,71500,79100,-0.4
2025-11-13,10/09/2025,57.30,213400,56.80,58.20,56.80,46100,50300,-0.2
2025-11-13,09/09/2025,56.80,289300,56.60,57.10,56,35400,42700,-0.4
2025-11-13,08/09/2025,56.90,689800,58.80,58.80,56.90,103100,125200,-1.3
2025-11-13,05/09/2025,58.50,743500,61.10,61.10,58.50,75100,121300,-2.8
2025-11-13,04/09/2025,60.50,568700,58.40,60.60,58.40,66500,51200,0.9
2025-11-13,03/09/2025,58.40,382300,58.10,59.70,58.10,104600,66700,2.2
2025-11-13,29/08/2025,58.90,724700,61.20,61.20,57.50,137000,104200,2.0
2025-11-13,28/08/2025,60.50,576300,59.80,60.50,58.80,40300,82531,0
2025-11-13,27/08/2025,59.70,594100,60,60.70,59.10,32000,209400,-10.6
2025-11-13,26/08/2025,60.50,720100,58.50,60.90,57.20,29100,109100,-4.7
2025-11-13,25/08/2025,58.50,683400,57.40,59.50,57.30,185600,79100,6.2
2025-11-13,22/08/2025,57.10,1207400,58.50,59.80,56.40,238800,228000,0.6
2025-11-13,21/08/2025,60,1371600,58.80,61.40,58.30,281500,123600,9.4
2025-11-13,20/08/2025,59.40,1244700,61.50,61.70,58.20,305600,192300,6.6
2025-11-13,19/08/2025,61.20,1127000,62.90,62.90,61,132700,108200,1.5
2025-11-13,18/08/2025,62.80,1702200,62.50,65.50,59.80,161100,285900,-8.1
