date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,4.10,2300,4.10,4.20,4.10,0,0,0
2025-11-13,11/11/2025,4.10,0,4.10,4.10,4.10,0,0,0
2025-11-13,10/11/2025,4,1400,4.10,4.20,4,0,0,0
2025-11-13,07/11/2025,4.10,0,4.10,4.10,4.10,0,0,0
2025-11-13,06/11/2025,4.20,2700,4,4.20,4,0,0,0
2025-11-13,05/11/2025,4.20,2200,4.30,4.30,3.90,0,0,0
2025-11-13,04/11/2025,4.20,2300,4,4.20,3.80,0,0,0
2025-11-13,03/11/2025,4.10,500,4.10,4.10,4.10,0,0,0
2025-11-13,31/10/2025,4.20,2600,4.10,4.20,4,0,0,0
2025-11-13,30/10/2025,4.20,10000,4.10,4.20,4.10,0,0,0
2025-11-13,29/10/2025,4.20,2400,4.30,4.30,4.20,0,0,0
2025-11-13,28/10/2025,4.30,5700,4,4.30,4,0,0,0
2025-11-13,27/10/2025,4.20,400,4.10,4.20,4.10,0,0,0
2025-11-13,24/10/2025,4.10,700,4.30,4.40,4.10,0,0,0
2025-11-13,23/10/2025,4.10,6200,4,4.50,3.90,0,0,0
2025-11-13,22/10/2025,4,3600,4.10,4.10,4,0,0,0
2025-11-13,21/10/2025,4.10,1200,4.10,4.10,4.10,0,0,0
2025-11-13,20/10/2025,4.10,14800,4.20,4.20,4.10,0,0,0
2025-11-13,17/10/2025,4.20,2800,4.20,4.40,4.20,0,0,0
2025-11-13,16/10/2025,4.20,19800,4.20,4.40,4.10,0,0,0
2025-11-13,15/10/2025,4.40,1300,4.30,4.40,4.30,0,0,0
2025-11-13,14/10/2025,4.50,1600,4.20,4.50,4.20,0,0,0
2025-11-13,13/10/2025,4.30,12000,4.20,4.40,4.10,0,0,0
2025-11-13,10/10/2025,4.40,16500,4.30,4.40,4.20,0,0,0
2025-11-13,09/10/2025,4.50,11100,4.40,4.50,4.30,0,0,0
2025-11-13,08/10/2025,4.50,1900,4.50,4.70,4.50,0,0,0
2025-11-13,07/10/2025,4.50,14100,4.50,4.50,4.40,0,0,0
2025-11-13,06/10/2025,4.30,37400,4.30,4.50,4.20,0,0,0
2025-11-13,03/10/2025,4.40,9600,4.40,4.50,4.20,0,0,0
2025-11-13,02/10/2025,4.40,17900,4.60,4.60,4.30,0,0,0
2025-11-13,01/10/2025,4.50,28100,4.40,4.60,4.40,0,0,0
2025-11-13,30/09/2025,4.50,59700,4.60,4.60,4.40,0,0,0
2025-11-13,29/09/2025,4.50,21000,4.80,4.80,4.50,0,0,0
2025-11-13,26/09/2025,4.60,77600,4.60,4.70,4.40,0,0,0
2025-11-13,25/09/2025,4.60,78900,4.40,4.80,4.30,0,0,0
2025-11-13,24/09/2025,4.50,27500,4.50,4.50,4.30,0,0,0
2025-11-13,23/09/2025,4.50,60900,4.40,4.60,4.10,0,0,0
2025-11-13,22/09/2025,4.50,138600,5.20,5.70,4.30,0,0,0
2025-11-13,19/09/2025,4.80,229500,5,5,4.70,0,56200,-0.3
2025-11-13,18/09/2025,4.40,273900,4.20,4.40,4.20,0,0,0
2025-11-13,17/09/2025,4.20,64200,4.20,4.20,3.80,0,0,0
2025-11-13,16/09/2025,4.20,1400,4.20,4.20,4.20,0,0,0
2025-11-13,15/09/2025,4.20,6000,4.20,4.20,4.20,0,0,0
2025-11-13,12/09/2025,4.10,100,4.10,4.10,4.10,0,0,0
2025-11-13,11/09/2025,4.10,1000,4.10,4.10,4.10,0,0,0
2025-11-13,10/09/2025,4.10,1200,4.10,4.10,4.10,0,0,0
2025-11-13,09/09/2025,4.10,2000,4.10,4.10,4.10,0,0,0
2025-11-13,08/09/2025,4.10,6600,4.10,4.10,4.10,0,0,0
2025-11-13,05/09/2025,4.10,3500,4.10,4.10,4.10,0,0,0
2025-11-13,04/09/2025,4.10,7100,4.10,4.10,4.10,0,0,0
2025-11-13,03/09/2025,4.10,1400,4.10,4.10,4.10,0,0,0
2025-11-13,29/08/2025,4.10,4400,4.10,4.10,4.10,0,0,0
2025-11-13,28/08/2025,4.10,5400,4.10,4.10,4.10,0,0,0
2025-11-13,27/08/2025,4.10,800,4.10,4.10,4.10,0,0,0
2025-11-13,26/08/2025,4.10,100,4.10,4.10,4.10,0,0,0
2025-11-13,25/08/2025,4.10,5200,4.10,4.10,4.10,0,0,0
2025-11-13,22/08/2025,4.10,12100,4.20,4.20,4.10,0,0,0
2025-11-13,21/08/2025,4.20,16900,4.20,4.20,4.20,0,0,0
2025-11-13,20/08/2025,4.20,18300,4.20,4.30,4.20,0,0,0
2025-11-13,19/08/2025,4.20,7200,4.20,4.20,4.10,0,0,0
2025-11-13,18/08/2025,4.20,3700,4.10,4.20,4.10,0,0,0
2025-11-13,15/08/2025,4.10,15000,4.20,4.20,4.10,0,0,0
2025-11-13,14/08/2025,4.20,37200,4.20,4.20,4.10,0,0,0
2025-11-13,13/08/2025,4.10,10000,4.20,4.20,4.10,0,0,0
2025-11-13,12/08/2025,4.20,1600,4.20,4.20,4.10,0,0,0
2025-11-13,11/08/2025,4.10,8200,4.10,4.10,4.10,0,0,0
2025-11-13,08/08/2025,4,1700,4.10,4.10,4,0,0,0
2025-11-13,07/08/2025,4.10,10500,4.10,4.10,4.10,0,0,0
2025-11-13,06/08/2025,4,14000,4,4,4,0,0,0
2025-11-13,05/08/2025,4,2300,3.90,4,3.90,0,0,0
2025-11-13,04/08/2025,4,19400,4,4,3.90,0,0,0
2025-11-13,01/08/2025,4,7900,4,4,4,0,0,0
2025-11-13,31/07/2025,4,42400,4,4,4,0,0,0
2025-11-13,30/07/2025,4,53700,4.10,4.10,3.90,0,0,0
