date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,25.80,19093600,24.50,26.40,24.50,51500,1149065,-28.0,
2025-11-13,11/11/2025,24.50,12650200,23.60,24.50,23.40,711000,485200,5.6,
2025-11-13,10/11/2025,23.50,14287000,23.80,24.60,23.10,493700,1647200,-27.9,
2025-11-13,07/11/2025,23.80,14924000,24,24.90,23.50,785400,1313300,-13.4,
2025-11-13,06/11/2025,24.50,17887600,24.50,25.30,23.70,74300,2386900,-56.6,
2025-11-13,05/11/2025,24.50,12270400,25.30,25.90,24.10,142600,2958700,-69.6,
2025-11-13,04/11/2025,25.10,26111600,22.90,25.10,21.90,1093900,2992400,-44.8,
2025-11-13,03/11/2025,22.90,40662600,25.70,26,22.90,3583000,3786800,-6.5,
2025-11-13,31/10/2025,25.40,19331000,27.50,27.60,25.40,1215500,1740500,-15.9,
2025-11-13,30/10/2025,27.30,18412200,27.10,28.40,26.90,233000,827600,-16.9,
2025-11-13,29/10/2025,27.10,10594100,27.10,28,26.70,251600,889100,-17.6,
2025-11-13,28/10/2025,27.10,42694300,27.80,27.80,25.20,722100,5304600,-120.9,
2025-11-13,27/10/2025,27.80,27584800,31.30,32,27.80,805500,1822400,-31.3,
2025-11-13,24/10/2025,30.80,27401500,29.60,31.50,29,1292700,1406400,-4.1,
2025-11-13,23/10/2025,30,28394000,31.40,32.40,30,838200,3308300,-78.6,
2025-11-13,22/10/2025,31.40,37611400,28.90,31.40,28.40,730100,1997700,-38.8,
2025-11-13,21/10/2025,28.60,42698400,28.50,29.50,27.40,409200,341100,1.7,
2025-11-13,20/10/2025,28.80,48747900,31.90,32.90,28.80,2146400,915900,37.1,
2025-11-13,17/10/2025,31.90,20710700,31.80,32.90,31.20,2331300,512800,57.9,
2025-11-13,16/10/2025,31.80,21764200,31.60,32.80,30.60,640900,3204600,-82.7,
2025-11-13,15/10/2025,31.70,22329700,30.40,31.80,29.70,1131800,108100,30.9,
2025-11-13,14/10/2025,30.40,28157100,30,31.30,29,2539200,104200,72.1,
2025-11-13,13/10/2025,29,53340900,25.90,29,25.50,5507300,379800,139.8,
2025-11-13,10/10/2025,26.40,22016500,25.90,26.90,25.90,3178800,622100,67.5,
2025-11-13,09/10/2025,25.90,15018000,24.60,25.90,24.60,0,0,0,
2025-11-13,08/10/2025,24.90,16129600,24.50,25.40,23.80,133700,760900,-15.7,
2025-11-13,07/10/2025,24.40,13727200,25.40,25.60,24.40,26300,237600,-5.3,
2025-11-13,06/10/2025,25.40,11906400,23.50,25.50,23.40,15000,838700,-20.4,
2025-11-13,03/10/2025,23.50,24188700,24.60,24.60,23.50,477300,821600,-8.4,
2025-11-13,02/10/2025,24.60,11619700,25.70,25.90,24.60,62800,128500,-1.7,
2025-11-13,01/10/2025,25.70,9847400,25.80,25.90,25.20,700,1380600,-35.4,
2025-11-13,30/09/2025,25.50,28434800,26.20,26.40,24.50,1940200,152500,45.1,
2025-11-13,29/09/2025,26.20,18457300,26.90,27.30,26,780500,916100,-4.0,
2025-11-13,26/09/2025,26.80,27979800,26.70,27.60,26.40,1204800,753200,11.8,
2025-11-13,25/09/2025,26.70,22583100,27.50,27.80,26.70,1183700,1626100,-12.7,
2025-11-13,24/09/2025,27,34974800,24.90,27,24.70,2618600,115100,65.3,
2025-11-13,23/09/2025,24.90,10476900,25.50,25.70,24.70,1128300,38500,27.5,
2025-11-13,22/09/2025,25.30,29666500,24.60,25.80,24.50,2093700,42400,51.6,
2025-11-13,19/09/2025,24.50,16388700,23.70,25,23.70,430400,1026400,-14.7,
2025-11-13,18/09/2025,23.70,8910100,23.70,24.20,23.30,34000,101100,-1.6,
2025-11-13,17/09/2025,23.60,8415500,24.10,24.50,23.60,31300,0,0.7,
