date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,8.95,25400,8.90,9,8.66,0,0,0
2025-11-13,11/11/2025,8.90,30100,8.70,9,8.60,0,0,0
2025-11-13,10/11/2025,8.92,19400,8.80,8.98,8.52,0,0,0
2025-11-13,07/11/2025,8.80,32400,8.98,8.98,8.56,0,0,0
2025-11-13,06/11/2025,8.99,9200,9,9.09,8.75,0,0,0
2025-11-13,05/11/2025,8.78,17400,8.99,8.99,8.60,0,0,0
2025-11-13,04/11/2025,8.99,6300,8.90,8.99,8.80,0,0,0
2025-11-13,03/11/2025,8.99,53400,9.06,9.36,8.75,0,0,0
2025-11-13,31/10/2025,9.17,11400,9.06,9.33,9.06,0,0,0
2025-11-13,30/10/2025,9.20,8800,9.20,9.47,9.15,0,0,0
2025-11-13,29/10/2025,9.20,17100,9.31,9.31,8.95,0,0,0
2025-11-13,28/10/2025,9.25,20200,8.85,9.47,8.80,0,0,0
2025-11-13,27/10/2025,9.20,33600,9.20,9.48,9.20,0,0,0
2025-11-13,24/10/2025,9.29,51500,9,9.70,8.87,0,0,0
2025-11-13,23/10/2025,9.29,282000,8.76,9.75,8.76,0,0,0
2025-11-13,22/10/2025,9.35,24600,8.70,9.35,8.70,0,0,0
2025-11-13,21/10/2025,9.20,35400,9,9.20,8.69,0,0,0
2025-11-13,20/10/2025,8.88,20700,9,9.52,8.58,0,0,0
2025-11-13,17/10/2025,8.90,10600,9.20,9.20,8.90,0,0,0
2025-11-13,16/10/2025,9,81200,9,9.15,8.91,0,0,0
2025-11-13,15/10/2025,9.08,37800,9.17,9.25,9.08,0,0,0
2025-11-13,14/10/2025,9.17,61700,9.30,9.35,9.10,0,5700,-0.1
2025-11-13,13/10/2025,9.30,30700,9.35,9.45,9.26,0,0,0
2025-11-13,10/10/2025,9.35,800200,9.20,9.35,9.20,0,0,0
2025-11-13,09/10/2025,9.26,38100,9,9.50,9,0,0,0
2025-11-13,08/10/2025,9.30,799100,9.20,9.40,9.20,0,0,0
2025-11-13,07/10/2025,9.20,9300,9.30,9.40,9.11,0,0,0
2025-11-13,06/10/2025,9.30,339800,9.19,9.80,9.19,0,0,0
2025-11-13,03/10/2025,9.19,53500,9.16,9.21,9,0,0,0
2025-11-13,02/10/2025,9.10,363800,8.95,9.10,8.90,0,0,0
2025-11-13,01/10/2025,8.95,24300,9,9,8.64,0,0,0
2025-11-13,30/09/2025,8.94,60100,8.98,8.98,8.79,0,0,0
2025-11-13,29/09/2025,9,11800,8.96,9.09,8.73,0,0,0
2025-11-13,26/09/2025,8.96,25900,8.89,9.09,8.88,0,0,0
2025-11-13,25/09/2025,8.86,72900,8.99,8.99,8.73,0,0,0
2025-11-13,24/09/2025,8.78,30400,9,9,8.76,0,0,0
2025-11-13,23/09/2025,8.86,17500,8.90,8.93,8.77,0,0,0
2025-11-13,22/09/2025,8.85,34900,8.92,9.10,8.80,0,0,0
2025-11-13,19/09/2025,8.90,25800,9.10,9.27,8.90,0,0,0
2025-11-13,18/09/2025,9.15,217700,8.70,9.20,8.70,0,0,0
2025-11-13,17/09/2025,8.93,457200,9.32,9.32,8.93,0,0,0
2025-11-13,16/09/2025,9.20,816200,8.89,9.23,8.80,0,0,0
2025-11-13,15/09/2025,8.80,59500,8.73,8.92,8.60,0,0,0
2025-11-13,12/09/2025,8.73,66300,9.03,9.08,8.70,0,0,0
2025-11-13,11/09/2025,8.97,145400,8.80,9,8.55,0,0,0
2025-11-13,10/09/2025,8.91,58400,8.69,9.07,8.69,0,0,0
2025-11-13,09/09/2025,8.69,193600,9.04,9.10,8.69,0,0,0
2025-11-13,08/09/2025,9.04,278100,9.72,9.80,9.04,0,0,0
2025-11-13,05/09/2025,9.72,100200,9.83,9.95,9.67,0,0,0
2025-11-13,04/09/2025,9.84,182800,9.91,10.10,9.81,0,0,0
2025-11-13,03/09/2025,9.95,108000,9.84,9.95,9.55,0,0,0
2025-11-13,29/08/2025,9.75,422100,10,10,9.60,0,0,0
2025-11-13,28/08/2025,10,296000,10.30,10.35,9.87,0,0,0
2025-11-13,27/08/2025,10.10,760300,10.10,10.20,9.88,0,0,0
2025-11-13,26/08/2025,9.57,1583900,9,9.57,8.95,0,0,0
2025-11-13,25/08/2025,8.95,616800,8.97,9.19,8.95,0,0,0
2025-11-13,22/08/2025,8.95,82500,8.97,8.97,8.72,0,0,0
2025-11-13,21/08/2025,8.88,75300,8.99,9.10,8.88,0,0,0
2025-11-13,20/08/2025,8.99,109400,8.91,9.19,8.69,0,0,0
2025-11-13,19/08/2025,8.98,193100,9.26,9.26,8.90,0,0,0
