date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,70.70,0,70.70,70.70,70.70,0,0,0
2025-11-13,11/11/2025,70.70,100,70.70,70.70,70.70,0,0,0
2025-11-13,10/11/2025,68,0,68,68,68,0,0,0
2025-11-13,07/11/2025,68,0,68,68,68,0,0,0
2025-11-13,06/11/2025,68,0,68,68,68,0,0,0
2025-11-13,05/11/2025,68,0,68,68,68,0,0,0
2025-11-13,04/11/2025,68,0,68,68,68,0,0,0
2025-11-13,03/11/2025,68,0,68,68,68,0,0,0
2025-11-13,31/10/2025,68,200,68,68,68,0,0,0
2025-11-13,30/10/2025,68,0,68,68,68,0,0,0
2025-11-13,29/10/2025,68,0,68,68,68,0,0,0
2025-11-13,28/10/2025,68,0,68,68,68,0,0,0
2025-11-13,27/10/2025,68,0,68,68,68,0,0,0
2025-11-13,24/10/2025,68,0,68,68,68,0,0,0
2025-11-13,23/10/2025,68,100,68,68,68,0,0,0
2025-11-13,22/10/2025,66,200,66,66,66,0,0,0
2025-11-13,21/10/2025,67,0,67,67,67,0,0,0
2025-11-13,20/10/2025,67,0,67,67,67,0,0,0
2025-11-13,17/10/2025,67,0,67,67,67,0,0,0
2025-11-13,16/10/2025,67,0,67,67,67,0,0,0
2025-11-13,15/10/2025,67,0,67,67,67,0,0,0
2025-11-13,14/10/2025,67,1500,61.20,67,61.20,0,0,0
2025-11-13,13/10/2025,68,0,68,68,68,0,0,0
2025-11-13,10/10/2025,68,600,68,68,68,0,0,0
2025-11-13,09/10/2025,67.60,0,67.60,67.60,67.60,0,0,0
2025-11-13,08/10/2025,67.60,0,67.60,67.60,67.60,0,0,0
2025-11-13,07/10/2025,67.60,0,67.60,67.60,67.60,0,0,0
2025-11-13,06/10/2025,67.60,0,67.60,67.60,67.60,0,0,0
2025-11-13,03/10/2025,67.60,1000,67.70,67.70,67.60,0,0,0
2025-11-13,02/10/2025,68,1200,68,68,68,0,0,0
2025-11-13,01/10/2025,67.90,0,67.90,67.90,67.90,0,0,0
2025-11-13,30/09/2025,67.90,0,67.90,67.90,67.90,0,0,0
2025-11-13,29/09/2025,67.90,700,68,68,67.90,0,0,0
2025-11-13,26/09/2025,67.90,0,67.90,67.90,67.90,0,0,0
2025-11-13,25/09/2025,67.90,200,67.90,67.90,67.90,0,0,0
2025-11-13,24/09/2025,67.50,0,67.50,67.50,67.50,0,0,0
2025-11-13,23/09/2025,67.50,400,67.50,67.50,67.50,0,0,0
2025-11-13,22/09/2025,67.60,100,67.60,67.60,67.60,0,0,0
2025-11-13,19/09/2025,69.80,0,69.80,69.80,69.80,0,0,0
2025-11-13,18/09/2025,69.80,100,69.80,69.80,69.80,0,0,0
2025-11-13,17/09/2025,66,6400,68.10,68.10,65,0,0,0
2025-11-13,16/09/2025,69.50,0,69.50,69.50,69.50,0,0,0
2025-11-13,15/09/2025,69.50,200,70,70,69.50,0,0,0
2025-11-13,12/09/2025,71,3600,71,71,71,0,0,0
2025-11-13,11/09/2025,68.50,1300,69,69,68.50,0,0,0
2025-11-13,10/09/2025,69,0,69,69,69,0,0,0
2025-11-13,09/09/2025,69,1000,69,69,69,0,0,0
2025-11-13,08/09/2025,70,100,70,70,70,0,0,0
2025-11-13,05/09/2025,70,200,70,70,70,0,0,0
2025-11-13,04/09/2025,70,1600,70,70,70,0,0,0
2025-11-13,03/09/2025,73.40,0,73.40,73.40,73.40,0,0,0
2025-11-13,29/08/2025,73.40,100,73.40,73.40,73.40,0,0,0
2025-11-13,28/08/2025,72.40,100,72.40,72.40,72.40,0,0,0
2025-11-13,27/08/2025,70,3000,70,70.50,70,0,0,0
2025-11-13,26/08/2025,69.90,0,69.90,69.90,69.90,0,0,0
2025-11-13,25/08/2025,69.90,0,69.90,69.90,69.90,0,0,0
2025-11-13,22/08/2025,69.90,200,70,70,69.90,0,0,0
2025-11-13,21/08/2025,70,3600,70,70,70,0,0,0
2025-11-13,20/08/2025,70,10200,70.40,70.40,70,0,0,0
2025-11-13,19/08/2025,73.90,1000,73.90,73.90,73.90,0,0,0
2025-11-13,18/08/2025,70.20,1000,70.20,70.20,70.20,0,0,0
2025-11-13,15/08/2025,73.90,0,73.90,73.90,73.90,0,0,0
2025-11-13,14/08/2025,73.90,0,73.90,73.90,73.90,0,0,0
2025-11-13,13/08/2025,73.90,0,73.90,73.90,73.90,0,0,0
