date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,339,0,339,339,339,0,0,0
2025-11-13,11/11/2025,339,0,339,339,339,0,0,0
2025-11-13,10/11/2025,339,0,339,339,339,0,0,0
2025-11-13,07/11/2025,339,0,339,339,339,0,0,0
2025-11-13,06/11/2025,339,0,339,339,339,0,0,0
2025-11-13,05/11/2025,339,1000,339,339,339,1000,0,0.3
2025-11-13,04/11/2025,329,0,329,329,329,0,0,0
2025-11-13,03/11/2025,329,0,329,329,329,0,0,0
2025-11-13,31/10/2025,329,0,329,329,329,0,0,0
2025-11-13,30/10/2025,329,0,329,329,329,0,0,0
2025-11-13,29/10/2025,329,0,329,329,329,0,0,0
2025-11-13,28/10/2025,329,0,329,329,329,0,0,0
2025-11-13,27/10/2025,329,0,329,329,329,0,0,0
2025-11-13,24/10/2025,329,400,329,329,329,400,0,0.1
2025-11-13,23/10/2025,330,500,330,330,330,500,0,0.2
2025-11-13,22/10/2025,330,0,330,330,330,0,0,0
2025-11-13,21/10/2025,330,700,330,330,330,700,0,0.2
2025-11-13,20/10/2025,320.90,0,320.90,320.90,320.90,0,0,0
2025-11-13,17/10/2025,329.50,1800,310.20,329.50,310.20,1000,0,0.3
2025-11-13,16/10/2025,329.50,0,329.50,329.50,329.50,0,0,0
2025-11-13,15/10/2025,329,1100,329.50,329.50,329,1000,0,0.3
2025-11-13,14/10/2025,304,0,304,304,304,0,0,0
2025-11-13,13/10/2025,304,0,304,304,304,0,0,0
2025-11-13,10/10/2025,304,0,304,304,304,0,0,0
2025-11-13,09/10/2025,304,300,304,304,304,0,0,0
2025-11-13,08/10/2025,320,0,320,320,320,0,0,0
2025-11-13,07/10/2025,320,0,320,320,320,0,0,0
2025-11-13,06/10/2025,320,200,320,320,320,200,0,0.1
2025-11-13,03/10/2025,305,100,305,305,305,0,0,0
2025-11-13,02/10/2025,330,0,330,330,330,0,0,0
2025-11-13,01/10/2025,330,0,330,330,330,0,0,0
2025-11-13,30/09/2025,330,200,329.90,330,329.90,0,0,0
2025-11-13,29/09/2025,330,0,330,330,330,0,0,0
2025-11-13,26/09/2025,330,100,330,330,330,0,0,0
2025-11-13,25/09/2025,320,0,320,320,320,0,0,0
2025-11-13,24/09/2025,320,0,320,320,320,0,0,0
2025-11-13,23/09/2025,320,0,320,320,320,0,0,0
2025-11-13,22/09/2025,320,0,320,320,320,0,0,0
2025-11-13,19/09/2025,320,0,320,320,320,0,0,0
2025-11-13,18/09/2025,320,200,320,320,320,200,0,0.1
2025-11-13,17/09/2025,318.80,0,318.80,318.80,318.80,0,0,0
2025-11-13,16/09/2025,318.80,0,318.80,318.80,318.80,0,0,0
2025-11-13,15/09/2025,318.80,0,318.80,318.80,318.80,0,0,0
2025-11-13,12/09/2025,318.80,0,318.80,318.80,318.80,0,0,0
2025-11-13,11/09/2025,318.80,100,318.80,318.80,318.80,0,0,0
2025-11-13,10/09/2025,322.50,0,322.50,322.50,322.50,0,0,0
2025-11-13,09/09/2025,322.50,0,322.50,322.50,322.50,0,0,0
2025-11-13,08/09/2025,322,200,323,323,322,0,0,0
2025-11-13,05/09/2025,325,0,325,325,325,0,0,0
2025-11-13,04/09/2025,325,900,325,325,325,800,100,0.2
2025-11-13,03/09/2025,322.10,0,322.10,322.10,322.10,0,0,0
2025-11-13,29/08/2025,322.10,0,322.10,322.10,322.10,0,0,0
2025-11-13,28/08/2025,322.10,0,322.10,322.10,322.10,0,0,0
2025-11-13,27/08/2025,322.10,0,322.10,322.10,322.10,0,0,0
2025-11-13,26/08/2025,322.10,0,322.10,322.10,322.10,0,0,0
2025-11-13,25/08/2025,322.10,0,322.10,322.10,322.10,0,0,0
2025-11-13,22/08/2025,322.10,0,322.10,322.10,322.10,0,0,0
2025-11-13,21/08/2025,322,1500,322.10,322.10,322,1100,1500,-0.1
2025-11-13,20/08/2025,322.20,900,322.10,322.20,322.10,800,0,0.3
2025-11-13,19/08/2025,330,0,330,330,330,0,0,0
2025-11-13,18/08/2025,330,0,330,330,330,0,0,0
2025-11-13,15/08/2025,330,200,330,330,330,200,0,0.1
2025-11-13,14/08/2025,330,200,330,330,330,0,0,0
2025-11-13,13/08/2025,326.30,900,326.10,326.30,326.10,700,0,0.2
2025-11-13,12/08/2025,320.50,0,320.50,320.50,320.50,0,0,0
2025-11-13,11/08/2025,320.50,0,320.50,320.50,320.50,0,0,0
2025-11-13,08/08/2025,320.50,0,320.50,320.50,320.50,0,0,0
2025-11-13,07/08/2025,320.50,0,320.50,320.50,320.50,0,0,0
2025-11-13,06/08/2025,320.50,100,320.50,320.50,320.50,100,0,0.0
2025-11-13,05/08/2025,320,100,320,320,320,0,0,0
2025-11-13,04/08/2025,320,0,320,320,320,0,0,0
2025-11-13,01/08/2025,320,500,320,320,320,500,0,0.2
2025-11-13,31/07/2025,312,0,312,312,312,0,0,0
2025-11-13,30/07/2025,312,100,312,312,312,0,0,0
2025-11-13,29/07/2025,320,2000,320,320,320,2000,0,0.6
2025-11-13,28/07/2025,309.90,0,309.90,309.90,309.90,0,0,0
2025-11-13,25/07/2025,309.90,0,309.90,309.90,309.90,0,0,0
2025-11-13,24/07/2025,309.90,0,309.90,309.90,309.90,0,0,0
2025-11-13,23/07/2025,309.90,0,309.90,309.90,309.90,0,0,0
2025-11-13,22/07/2025,309.90,0,309.90,309.90,309.90,0,0,0
2025-11-13,21/07/2025,309.80,700,310.20,310.20,309.80,0,400,-0.1
2025-11-13,18/07/2025,309.80,100,309.80,309.80,309.80,0,100,-0.0
2025-11-13,17/07/2025,309.80,0,309.80,309.80,309.80,0,0,0
2025-11-13,16/07/2025,309.80,0,309.80,309.80,309.80,0,0,0
2025-11-13,15/07/2025,309.80,100,309.80,309.80,309.80,0,0,0
2025-11-13,14/07/2025,309.80,0,309.80,309.80,309.80,0,0,0
2025-11-13,11/07/2025,309.80,100,309.80,309.80,309.80,0,0,0
2025-11-13,10/07/2025,303.90,100,303.90,303.90,303.90,0,0,0
2025-11-13,09/07/2025,299.60,500,305,305,299.60,0,100,-0.0
2025-11-13,08/07/2025,300.20,0,300.20,300.20,300.20,0,0,0
2025-11-13,07/07/2025,300,1700,300,300.60,300,0,1300,-0.4
2025-11-13,04/07/2025,308,200,307.90,308,307.90,0,0,0
2025-11-13,03/07/2025,300.60,400,300.10,300.60,300.10,0,0,0
2025-11-13,02/07/2025,307,0,307,307,307,0,0,0
2025-11-13,01/07/2025,307,0,307,307,307,0,0,0
2025-11-13,30/06/2025,307,0,307,307,307,0,0,0
2025-11-13,27/06/2025,310,400,306,310,306,0,0,0
2025-11-13,26/06/2025,307,100,307,307,307,0,0,0
2025-11-13,25/06/2025,308,100,308,308,308,0,0,0
2025-11-13,24/06/2025,318.80,100,318.80,318.80,318.80,0,0,0
