date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,9.36,579900,9.40,9.40,9.28,129800,400,1.2
2025-11-13,11/11/2025,9.46,767300,9.20,9.46,9.06,0,258900,-2.4
2025-11-13,10/11/2025,9.20,430100,9.28,9.30,9.10,15000,39800,-0.2
2025-11-13,07/11/2025,9.25,354500,9.37,9.41,9.16,100,56900,-0.5
2025-11-13,06/11/2025,9.30,387500,9.36,9.55,9.26,13800,31800,-0.2
2025-11-13,05/11/2025,9.42,261500,9.68,9.68,9.39,0,19800,-0.2
2025-11-13,04/11/2025,9.70,720900,9.50,9.70,9.20,75900,86900,-0.1
2025-11-13,03/11/2025,9.50,259900,9.90,9.90,9.50,0,79100,-0.8
2025-11-13,31/10/2025,9.99,1991500,9.40,10,9.30,90500,164600,-0.7
2025-11-13,30/10/2025,9.35,873200,9.50,9.70,9.25,4500,128300,-1.2
2025-11-13,29/10/2025,9.48,1149700,9.60,9.85,9.48,140200,30300,1.0
2025-11-13,28/10/2025,9.60,234900,9.50,9.90,9.40,7400,19500,-0.1
2025-11-13,27/10/2025,9.55,288000,9.55,9.80,9.30,23600,58400,-0.3
2025-11-13,24/10/2025,9.55,233100,9.75,9.80,9.55,19800,19300,0.0
2025-11-13,23/10/2025,9.80,654900,9.98,10,9.80,50500,27000,0.2
2025-11-13,22/10/2025,9.98,863100,10.15,10.15,9.73,22900,37600,-0.1
2025-11-13,21/10/2025,9.88,578900,9.50,9.90,9.10,95800,55000,0.4
2025-11-13,20/10/2025,9.54,1290700,10.20,10.25,9.54,75700,98900,-0.3
2025-11-13,17/10/2025,10.25,631300,10.10,10.30,10.10,44400,19700,0.3
2025-11-13,16/10/2025,10.25,1413000,10.10,10.40,10.10,148300,84900,0.7
2025-11-13,15/10/2025,10.10,632900,10.10,10.25,9.98,8500,94300,-0.9
2025-11-13,14/10/2025,10.25,805500,10.20,10.40,10,63300,42300,0.2
2025-11-13,13/10/2025,10,1017000,9.98,10.35,9.90,27000,49400,-0.2
2025-11-13,10/10/2025,10.10,628500,10.20,10.40,10.10,42100,11900,0.3
2025-11-13,09/10/2025,10.30,582100,10.35,10.50,10.25,0,0,0
2025-11-13,08/10/2025,10.30,516300,10.25,10.35,10.10,60900,43500,0.2
2025-11-13,07/10/2025,10.20,520700,10.50,10.50,10.20,5700,45000,-0.4
2025-11-13,06/10/2025,10.45,903000,10.40,10.70,10.20,20500,81300,-0.6
2025-11-13,03/10/2025,10.30,370000,10.25,10.40,10.15,60400,44400,0.2
2025-11-13,02/10/2025,10.45,672800,10.30,10.50,10.20,1100,35600,-0.4
2025-11-13,01/10/2025,10.40,407300,10.45,10.50,10.25,0,23400,-0.2
2025-11-13,30/09/2025,10.50,788000,10.55,10.75,10.25,76000,34800,0.4
2025-11-13,29/09/2025,10.60,934000,10.70,10.90,10.50,117900,74500,0.5
2025-11-13,26/09/2025,10.80,1616000,11,11,10.60,305200,106600,2.1
2025-11-13,25/09/2025,10.90,1537500,11.05,11.10,10.70,17600,338800,-3.5
2025-11-13,24/09/2025,11,1955300,10.45,11,10.25,39000,73900,-0.4
2025-11-13,23/09/2025,10.35,555300,10.30,10.40,10.15,6900,42500,-0.4
2025-11-13,22/09/2025,10.40,749800,10.50,10.60,10.15,14000,42600,-0.3
2025-11-13,19/09/2025,10.60,695500,10.70,10.70,10.30,5400,50600,-0.5
2025-11-13,18/09/2025,10.50,932600,10.55,10.55,10.20,6000,60400,-0.6
2025-11-13,17/09/2025,10.50,979100,10.85,10.85,10.45,3800,333100,-3.5
2025-11-13,16/09/2025,10.85,1746200,10.90,11.20,10.75,193300,111600,0.9
2025-11-13,15/09/2025,11.20,2460900,10.95,11.25,10.65,212000,76000,1.4
2025-11-13,12/09/2025,10.95,3666300,10.40,10.95,10.25,423800,224600,2.1
2025-11-13,11/09/2025,10.40,1756800,10.15,10.45,9.80,19300,143400,-1.2
2025-11-13,10/09/2025,10.10,729900,10.20,10.40,9.90,82500,68200,0.1
2025-11-13,09/09/2025,10.20,688600,10,10.20,9.90,117300,0,1.2
2025-11-13,08/09/2025,10,872600,10.30,10.50,9.90,61600,42800,0.2
2025-11-13,05/09/2025,10.50,1461700,11,11,10.50,106400,108400,-0.0
2025-11-13,04/09/2025,10.90,1296900,11,11,10.70,2700,35200,-0.4
2025-11-13,03/09/2025,11,1766800,10.70,11.10,10.55,102900,80500,0.2
2025-11-13,29/08/2025,10.70,2197300,10.40,10.85,10.30,111300,74700,0.4
2025-11-13,28/08/2025,10.45,838400,10.50,10.60,10.10,6100,92900,0
2025-11-13,27/08/2025,10.45,1821500,10.30,10.70,10.05,155300,123400,0.3
2025-11-13,26/08/2025,10.30,935400,10,10.35,9.96,73300,61500,0.1
2025-11-13,25/08/2025,10.15,1019400,10.50,10.50,9.95,55000,207500,-1.5
2025-11-13,22/08/2025,10.50,2189900,10.40,10.65,9.71,191300,46500,1.4
2025-11-13,21/08/2025,10.40,1902000,11.10,11.10,10.40,75800,77500,-0.0
2025-11-13,20/08/2025,11.05,4057700,11.60,11.70,10.80,102400,93100,0.1
2025-11-13,19/08/2025,11.60,2703700,11.40,11.65,11.20,59900,20500,0.5
2025-11-13,18/08/2025,11.30,3038400,10.60,11.30,10.30,81900,47800,0.4
2025-11-13,15/08/2025,10.60,2870200,10.45,10.70,10.05,50500,104500,-0.6
2025-11-13,14/08/2025,10.25,2499000,9.50,10.25,9.48,51100,71000,-0.2
2025-11-13,13/08/2025,9.60,996300,9.56,9.65,9.43,59500,0,0.6
2025-11-13,12/08/2025,9.65,1187000,9.60,9.72,9.50,105300,0,1.0
2025-11-13,11/08/2025,9.68,1074300,9.60,9.68,9.44,168400,14400,1.5
2025-11-13,08/08/2025,9.56,904200,9.80,9.80,9.40,19100,35600,-0.2
2025-11-13,07/08/2025,9.70,865400,9.41,9.70,9.35,77000,1200,0.7
2025-11-13,06/08/2025,9.50,1088900,9.70,9.80,9.38,27000,25900,0.0
2025-11-13,05/08/2025,9.70,1730000,9.80,9.90,9.20,16500,5000,0.1
2025-11-13,04/08/2025,9.70,1897000,9.40,9.70,9.10,87300,25800,0.6
2025-11-13,01/08/2025,9.28,1156400,9,9.30,8.80,30700,0,0.3
