date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,14.15,69900,14.05,14.15,13.90,4000,5600,-0.0
2025-11-13,11/11/2025,14.05,111300,14.20,14.20,14,0,18100,-0.3
2025-11-13,10/11/2025,14.05,559300,14.10,14.35,14,74500,3500,1.0
2025-11-13,07/11/2025,14,221200,14.35,14.35,13.95,0,1400,-0.0
2025-11-13,06/11/2025,14.30,587500,14,14.55,13.95,65000,27800,0.5
2025-11-13,05/11/2025,14,174400,13.95,14,13.70,2400,4700,-0.0
2025-11-13,04/11/2025,13.90,295800,13.85,13.90,13.45,200,25000,-0.3
2025-11-13,03/11/2025,13.90,246800,14.20,14.20,13.75,0,36400,-0.5
2025-11-13,31/10/2025,14.10,375200,13.80,14.15,13.80,21200,8300,0.2
2025-11-13,30/10/2025,13.90,294900,14.05,14.05,13.80,6300,5900,0.0
2025-11-13,29/10/2025,14.05,413300,13.70,14.20,13.55,15200,44800,-0.4
2025-11-13,28/10/2025,13.55,286600,13.70,13.70,13.45,0,14500,-0.2
2025-11-13,27/10/2025,13.70,316300,13.50,13.70,13.45,4600,18700,-0.2
2025-11-13,24/10/2025,13.40,265700,13.25,13.40,13,21100,42100,-0.3
2025-11-13,23/10/2025,13.25,573800,13.50,13.55,13.15,24500,21700,0.0
2025-11-13,22/10/2025,13.50,286500,13.30,13.75,13.30,9600,48900,-0.5
2025-11-13,21/10/2025,13.30,802100,13.65,13.65,13.15,13300,12900,0.0
2025-11-13,20/10/2025,13.25,1064800,14.15,14.25,13.25,3700,300,0.0
2025-11-13,17/10/2025,14.20,1030700,13.90,14.50,13.90,181500,56400,1.8
2025-11-13,16/10/2025,14,488600,14.20,14.20,13.90,13200,13400,-0.0
2025-11-13,15/10/2025,14.10,369400,14.20,14.35,14,0,21000,-0.3
2025-11-13,14/10/2025,14.10,1120600,14.50,14.65,14.10,46300,67800,-0.3
