date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,30.45,280500,30,30.45,29.95,39600,6900,1.0
2025-11-13,11/11/2025,29.75,618500,30,30.20,29.70,12200,97200,-2.5
2025-11-13,10/11/2025,29.95,534100,30.80,31.15,29.95,16600,96100,-2.5
2025-11-13,07/11/2025,31.10,721400,32.10,32.20,30.80,118700,96000,0.6
2025-11-13,06/11/2025,32.10,1016000,31.80,33.05,31.60,83900,55600,0.9
2025-11-13,05/11/2025,31.80,551300,30.95,31.85,30.90,50000,71100,-0.7
2025-11-13,04/11/2025,31,1110800,30.90,31.55,29.50,207700,77800,3.9
2025-11-13,03/11/2025,31.10,667700,31.95,32.25,31.10,38200,12300,0.8
2025-11-13,31/10/2025,31.95,1362100,31.60,32.50,31.50,91800,150900,-1.9
2025-11-13,30/10/2025,31.50,583700,31.25,31.80,31,68500,49200,0.6
2025-11-13,29/10/2025,31.25,651000,31.30,31.80,31.10,6600,57000,-1.6
2025-11-13,28/10/2025,31,1133300,29.10,31,29.10,148100,17300,3.9
2025-11-13,27/10/2025,29.10,318000,29.30,29.45,28.80,32900,25400,0.2
2025-11-13,24/10/2025,28.80,872100,28.85,29.30,28.65,53600,320100,-7.7
2025-11-13,23/10/2025,29.10,237100,29.30,29.80,29.05,1200,3100,-0.1
2025-11-13,22/10/2025,29.60,457900,29.20,30.05,29,53700,93100,-1.2
2025-11-13,21/10/2025,28.90,644400,29,29,28.10,31200,7800,0.7
2025-11-13,20/10/2025,28.20,959500,30.45,30.45,28.20,4800,27200,-0.7
2025-11-13,17/10/2025,30.30,439200,30.30,30.95,30.05,44300,2700,1.3
2025-11-13,16/10/2025,30.10,699200,30.65,30.65,30.05,4300,57900,-1.6
2025-11-13,15/10/2025,30.50,654000,31.10,31.20,30.40,0,67700,-2.1
2025-11-13,14/10/2025,31,566800,31.65,31.70,30.80,0,16400,-0.5
2025-11-13,13/10/2025,31.50,710200,30.70,32.50,30.70,67500,30500,1.1
2025-11-13,10/10/2025,31.15,463600,31,31.35,31,67400,24500,1.3
2025-11-13,09/10/2025,31,374300,31.10,31.30,30.75,0,0,0
2025-11-13,08/10/2025,31.10,291600,31.45,31.45,30.80,0,0,0
2025-11-13,07/10/2025,30.85,310300,31.65,31.65,30.80,4000,500,0.1
2025-11-13,06/10/2025,31.25,337200,30.70,31.35,30.70,38900,0,1.2
2025-11-13,03/10/2025,30.50,588200,31.40,31.40,30.40,400,212400,-6.5
2025-11-13,02/10/2025,31.15,255700,31.50,31.70,31.10,0,6200,-0.2
2025-11-13,01/10/2025,31.50,252500,31.55,31.90,31.50,0,0,0
2025-11-13,30/09/2025,31.50,763500,32.30,32.30,31.10,15900,16400,-0.0
2025-11-13,29/09/2025,32.30,450500,32.80,32.90,32.30,3300,0,0.1
2025-11-13,26/09/2025,32.85,298700,33.35,33.35,32.80,0,13700,-0.5
2025-11-13,25/09/2025,33.10,364200,32.90,33.25,32.90,16500,7800,0.3
2025-11-13,24/09/2025,32.90,261700,32.75,32.90,32.60,0,300,-0.0
2025-11-13,23/09/2025,32.70,283000,32.85,33.10,32.70,8200,8200,-0.0
2025-11-13,22/09/2025,32.75,810300,33.70,33.70,32.50,10500,269700,-8.5
2025-11-13,19/09/2025,33.45,449800,33.80,34,33.35,300,24500,-0.8
2025-11-13,18/09/2025,33.80,464700,34.50,34.55,33.70,100,31100,-1.1
2025-11-13,17/09/2025,34.30,1945500,33.60,34.70,33.60,169000,41100,4.4
2025-11-13,16/09/2025,33.60,517600,34.30,34.30,33.60,0,5300,-0.2
2025-11-13,15/09/2025,33.85,716000,33.45,34.10,33.35,114800,500,3.8
2025-11-13,12/09/2025,33.30,676400,32.80,33.50,32.60,62600,25000,1.2
2025-11-13,11/09/2025,32.55,532300,32.80,32.85,32.05,1600,0,0.1
2025-11-13,10/09/2025,32.75,379800,33,33.30,32.75,0,49300,-1.6
2025-11-13,09/09/2025,33,557700,33.20,33.30,32.60,25200,4100,0.7
2025-11-13,08/09/2025,32.80,1082800,33.80,34.10,32.80,900,75100,-2.5
2025-11-13,05/09/2025,34.05,1196500,34.25,34.60,34,48900,33000,0.5
2025-11-13,04/09/2025,34.05,858200,34.30,34.30,33.80,5300,400,0.2
2025-11-13,03/09/2025,34.25,747200,33.40,34.80,33.40,69500,3200,2.2
2025-11-13,29/08/2025,33.65,868700,33.95,33.95,33.65,32000,11100,0.7
2025-11-13,28/08/2025,33.75,400300,33.85,34,33.60,3201,1315,0
2025-11-13,27/08/2025,33.55,671300,33.50,33.90,33.50,0,34200,-1.2
2025-11-13,26/08/2025,33.50,612700,32.90,33.50,32.90,14000,24200,-0.3
2025-11-13,25/08/2025,32.80,604100,33.65,33.80,32.80,2100,20800,-0.6
2025-11-13,22/08/2025,33.55,1229300,33.65,34.40,33.30,29000,3400,0.9
2025-11-13,21/08/2025,33.65,1718700,34,34.35,33.55,24600,17600,0.2
2025-11-13,20/08/2025,34.35,2023400,35.35,35.35,33.30,21300,45100,-0.9
2025-11-13,19/08/2025,35.40,1830200,35.60,36.05,35.30,2100,0,0.1
2025-11-13,18/08/2025,35.80,1253500,35.75,36.60,35.40,20100,0,0.7
2025-11-13,15/08/2025,35.75,1967800,36.35,36.35,35.65,48100,201000,-5.5
2025-11-13,14/08/2025,36.30,1555200,37.05,37.10,36.15,6200,10600,-0.2
2025-11-13,13/08/2025,36.70,2161100,37.20,37.35,36.25,10000,46800,-1.4
2025-11-13,12/08/2025,37.05,2847100,36.50,37.55,36.40,198800,100200,3.5
2025-11-13,11/08/2025,36.30,1285400,36.45,36.60,36.10,12800,41400,-1.0
2025-11-13,08/08/2025,36.20,2329300,36.70,37.30,36,48600,88400,-1.5
2025-11-13,07/08/2025,36.45,1035200,36.80,36.85,36.20,200,7800,-0.3
2025-11-13,06/08/2025,36.35,2366000,35.70,37.50,35.45,15600,43900,-1.0
2025-11-13,05/08/2025,35.60,2504100,35.80,36.20,34,0,0,0
2025-11-13,04/08/2025,35.45,1079300,35.15,35.70,35.15,8200,36400,-1.0
2025-11-13,01/08/2025,35.30,1858300,35.65,35.70,35.10,47700,174600,-4.5
2025-11-13,31/07/2025,35.70,1923100,36.05,36.20,35.10,54000,32700,0.7
2025-11-13,30/07/2025,35.85,1923800,35.65,36.45,35.50,49600,21700,1.0
2025-11-13,29/07/2025,35.65,5635200,38.30,39.30,35.65,226300,606100,-14.9
2025-11-13,28/07/2025,38.30,3079800,37.90,38.40,37.60,32600,380800,-13.3
2025-11-13,25/07/2025,37.80,2845800,38.20,38.40,37.60,21800,163300,-5.4
2025-11-13,24/07/2025,38.20,2839800,39.30,39.30,37.80,59700,243300,-7.1
2025-11-13,23/07/2025,38.90,6357500,36.60,38.90,36.25,886000,29500,31.7
2025-11-13,22/07/2025,36.40,2942400,35.85,37.20,35.85,141700,198700,-2.1
2025-11-13,21/07/2025,36.15,1687100,35.70,36.50,35.70,235800,15800,7.9
2025-11-13,18/07/2025,35.65,2050100,36.15,36.15,35.60,0,483700,-17.3
2025-11-13,17/07/2025,36,1734500,36.10,36.60,35.85,170700,100500,2.6
2025-11-13,16/07/2025,35.95,1044200,36,36.10,35.80,200,5400,-0.2
2025-11-13,15/07/2025,36,2215800,36.30,36.65,36,309500,49000,9.5
2025-11-13,14/07/2025,36,1463300,35.75,36,35.30,32100,60400,-1.0
2025-11-13,11/07/2025,35.75,2880600,36.20,36.25,35.65,54600,387800,0
2025-11-13,10/07/2025,36.25,994200,36.40,36.70,36.10,14600,0,0
2025-11-13,09/07/2025,36.15,1610200,36.70,36.90,36.15,9000,50300,0
2025-11-13,08/07/2025,36.45,1971500,35.95,36.70,35.80,511500,15900,18.0
2025-11-13,07/07/2025,35.85,1456700,36.10,36.60,35.80,0,30000,-1.1
2025-11-13,04/07/2025,35.75,819200,35.70,36.10,35.65,0,60000,-2.1
2025-11-13,03/07/2025,35.70,2614000,36.35,36.90,35.60,58100,92000,-1.2
2025-11-13,02/07/2025,36.35,1790900,35.80,36.35,35.60,0,173500,-6.2
2025-11-13,01/07/2025,35.90,1906300,36.95,36.95,35.80,3600,0,0.1
2025-11-13,30/06/2025,36.80,3156300,35.95,37.25,35.95,128500,152100,-0.9
2025-11-13,27/06/2025,35.85,1967700,35.15,36.15,34.95,206200,23700,6.5
2025-11-13,26/06/2025,34.95,1320200,35.50,35.50,34.95,1100,43800,-1.5
2025-11-13,25/06/2025,35.35,1298100,35.35,35.90,35.35,73500,2600,2.5
2025-11-13,24/06/2025,35.30,1480600,35.20,35.60,35,67700,46400,0.8
