date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,5.20,0,5.20,5.20,5.20,0,0,0
2025-11-13,11/11/2025,5.20,0,5.20,5.20,5.20,0,0,0
2025-11-13,10/11/2025,5.20,0,5.20,5.20,5.20,0,0,0
2025-11-13,07/11/2025,5.10,12800,5.20,5.20,5.10,0,0,0
2025-11-13,06/11/2025,5,0,5,5,5,0,0,0
2025-11-13,05/11/2025,5,0,5,5,5,0,0,0
2025-11-13,04/11/2025,5,0,5,5,5,0,0,0
2025-11-13,03/11/2025,5,0,5,5,5,0,0,0
2025-11-13,31/10/2025,5.20,1395000,5.30,5.30,5,0,0,0
2025-11-13,30/10/2025,5,0,5,5,5,0,0,0
2025-11-13,29/10/2025,5,0,5,5,5,0,0,0
2025-11-13,28/10/2025,5,0,5,5,5,0,0,0
2025-11-13,27/10/2025,5,0,5,5,5,0,0,0
2025-11-13,24/10/2025,5.20,888100,5.30,5.40,5,0,0,0
2025-11-13,23/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,22/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,21/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,20/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,17/10/2025,5.30,17000,5.30,5.30,5.10,0,0,0
2025-11-13,16/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,15/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,14/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,13/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,10/10/2025,5.20,19000,5.30,5.30,5.20,0,0,0
2025-11-13,09/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,08/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,07/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,06/10/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,03/10/2025,5.10,3000,5.40,5.40,5.10,0,0,0
2025-11-13,02/10/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,01/10/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,30/09/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,29/09/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,26/09/2025,5,49000,5.40,5.40,5,0,0,0
2025-11-13,25/09/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,24/09/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,23/09/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,22/09/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,19/09/2025,5.50,13000,5.40,5.50,5.40,0,0,0
2025-11-13,18/09/2025,5.90,0,5.90,5.90,5.90,0,0,0
2025-11-13,17/09/2025,5.90,0,5.90,5.90,5.90,0,0,0
2025-11-13,16/09/2025,5.90,0,5.90,5.90,5.90,0,0,0
2025-11-13,15/09/2025,5.90,0,5.90,5.90,5.90,0,0,0
2025-11-13,12/09/2025,5.30,600,6,6.20,5.30,0,0,0
2025-11-13,11/09/2025,5.40,0,5.40,5.40,5.40,0,0,0
2025-11-13,10/09/2025,5.40,0,5.40,5.40,5.40,0,0,0
2025-11-13,09/09/2025,5.40,0,5.40,5.40,5.40,0,0,0
2025-11-13,08/09/2025,5.40,0,5.40,5.40,5.40,0,0,0
2025-11-13,05/09/2025,5.30,3400,5.20,5.60,5.20,0,0,0
2025-11-13,04/09/2025,5.70,0,5.70,5.70,5.70,0,0,0
2025-11-13,03/09/2025,5.70,0,5.70,5.70,5.70,0,0,0
2025-11-13,29/08/2025,6,21100,5.30,6,5.20,0,0,0
2025-11-13,28/08/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,27/08/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,26/08/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,25/08/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,22/08/2025,5.40,21700,6,6,5.40,0,0,0
2025-11-13,21/08/2025,6.30,0,6.30,6.30,6.30,0,0,0
2025-11-13,20/08/2025,6.30,0,6.30,6.30,6.30,0,0,0
2025-11-13,19/08/2025,6.30,0,6.30,6.30,6.30,0,0,0
2025-11-13,18/08/2025,6.30,0,6.30,6.30,6.30,0,0,0
2025-11-13,15/08/2025,6.30,71700,6.30,6.40,6.30,0,0,0
2025-11-13,14/08/2025,7.30,0,7.30,7.30,7.30,0,0,0
2025-11-13,13/08/2025,7.30,0,7.30,7.30,7.30,0,0,0
2025-11-13,12/08/2025,7.30,0,7.30,7.30,7.30,0,0,0
2025-11-13,11/08/2025,7.30,0,7.30,7.30,7.30,0,0,0
2025-11-13,08/08/2025,7.10,100300,7.70,7.70,6,0,0,0
2025-11-13,07/08/2025,6.70,0,6.70,6.70,6.70,0,0,0
2025-11-13,06/08/2025,6.70,0,6.70,6.70,6.70,0,0,0
2025-11-13,05/08/2025,6.70,0,6.70,6.70,6.70,0,0,0
2025-11-13,04/08/2025,6.70,0,6.70,6.70,6.70,0,0,0
2025-11-13,01/08/2025,10,10200,5,10,5,0,0,0
2025-11-13,31/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,30/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,29/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,28/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,25/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,24/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,23/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,22/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,21/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,18/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,17/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,16/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,15/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,14/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,11/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,10/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,09/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,08/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,07/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,04/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,03/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,02/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,01/07/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,30/06/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,27/06/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,26/06/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,25/06/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,24/06/2025,7.20,0,7.20,7.20,7.20,0,0,0
