date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,19.70,0,19.70,19.70,19.70,0,0,0
2025-11-13,11/11/2025,19.70,100,19.70,19.70,19.70,0,0,0
2025-11-13,10/11/2025,18,0,18,18,18,0,0,0
2025-11-13,07/11/2025,18,0,18,18,18,0,0,0
2025-11-13,06/11/2025,18,900,18,18,18,0,0,0
2025-11-13,05/11/2025,19.90,400,19.90,19.90,19.90,0,0,0
2025-11-13,04/11/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,03/11/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,31/10/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,30/10/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,29/10/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,28/10/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,27/10/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,24/10/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,23/10/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,22/10/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,21/10/2025,22.10,0,22.10,22.10,22.10,0,0,0
2025-11-13,20/10/2025,22.10,200,22.10,22.10,22.10,0,0,0
2025-11-13,17/10/2025,24.50,0,24.50,24.50,24.50,0,0,0
2025-11-13,16/10/2025,24.50,100,24.50,24.50,24.50,0,0,0
2025-11-13,15/10/2025,22.50,700,22.50,22.50,22.50,0,0,0
2025-11-13,14/10/2025,25,0,25,25,25,0,0,0
2025-11-13,13/10/2025,25,0,25,25,25,0,0,0
2025-11-13,10/10/2025,25,0,25,25,25,0,0,0
2025-11-13,09/10/2025,25,200,29,29,25,0,0,0
2025-11-13,08/10/2025,26.40,100,26.40,26.40,26.40,0,0,0
2025-11-13,07/10/2025,24,200,24,24,24,0,0,0
2025-11-13,06/10/2025,24,2300,27.60,27.60,24,0,0,0
2025-11-13,03/10/2025,25.10,0,25.10,25.10,25.10,0,0,0
2025-11-13,02/10/2025,25.10,100,25.10,25.10,25.10,0,0,0
2025-11-13,01/10/2025,22.90,0,22.90,22.90,22.90,0,0,0
2025-11-13,30/09/2025,22.90,0,22.90,22.90,22.90,0,0,0
2025-11-13,29/09/2025,22.90,400,22.80,22.90,22.80,0,0,0
2025-11-13,26/09/2025,20.90,100,20.90,20.90,20.90,0,0,0
2025-11-13,25/09/2025,19,400,19,19,19,0,0,0
2025-11-13,24/09/2025,21.10,200,21.10,21.10,21.10,0,0,0
2025-11-13,23/09/2025,19.20,0,19.20,19.20,19.20,0,0,0
2025-11-13,22/09/2025,19.20,1500,23.40,23.40,19.20,0,0,0
2025-11-13,19/09/2025,21.30,0,21.30,21.30,21.30,0,0,0
2025-11-13,18/09/2025,21.30,100,21.30,21.30,21.30,0,0,0
2025-11-13,17/09/2025,19.40,100,19.40,19.40,19.40,0,0,0
2025-11-13,16/09/2025,17.70,100,17.70,17.70,17.70,0,0,0
2025-11-13,15/09/2025,17.70,0,17.70,17.70,17.70,0,0,0
2025-11-13,12/09/2025,17.70,0,17.70,17.70,17.70,0,0,0
2025-11-13,11/09/2025,17.70,500,19.40,19.40,17.70,0,0,0
2025-11-13,10/09/2025,17.70,0,17.70,17.70,17.70,0,0,0
2025-11-13,09/09/2025,17.70,0,17.70,17.70,17.70,0,0,0
2025-11-13,08/09/2025,17.70,0,17.70,17.70,17.70,0,0,0
2025-11-13,05/09/2025,17.70,0,17.70,17.70,17.70,0,0,0
