date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,26,5500,25.90,26.50,23.60,0,0,0
2025-11-13,11/11/2025,25.30,900,25.60,26.55,25.30,0,0,0
2025-11-13,10/11/2025,26.85,1500,25.60,26.85,25.50,0,0,0
2025-11-13,07/11/2025,27.25,0,27.25,27.25,27.25,0,0,0
2025-11-13,06/11/2025,27.25,400,26.80,27.25,26.80,0,0,0
2025-11-13,05/11/2025,27.90,0,27.90,27.90,27.90,0,0,0
2025-11-13,04/11/2025,27.90,0,27.90,27.90,27.90,0,0,0
2025-11-13,03/11/2025,27.90,400,26,27.90,25.95,0,300,-0.0
2025-11-13,31/10/2025,27.90,0,27.90,27.90,27.90,0,0,0
2025-11-13,30/10/2025,27.90,6800,26.20,27.90,26.05,100,6100,-0.2
2025-11-13,29/10/2025,27.90,100,27.90,27.90,27.90,0,0,0
2025-11-13,28/10/2025,27.90,0,27.90,27.90,27.90,0,0,0
2025-11-13,27/10/2025,27.90,0,27.90,27.90,27.90,0,0,0
2025-11-13,24/10/2025,27.90,0,27.90,27.90,27.90,0,0,0
2025-11-13,23/10/2025,27.90,6000,26.50,27.90,26.50,0,0,0
2025-11-13,22/10/2025,27.90,0,27.90,27.90,27.90,0,0,0
2025-11-13,21/10/2025,27.90,4800,26.30,27.90,26.30,0,0,0
2025-11-13,20/10/2025,28.25,3300,26.60,28.25,26.50,0,0,0
2025-11-13,17/10/2025,28.30,100,28.30,28.30,28.30,0,0,0
2025-11-13,16/10/2025,28.45,1500,27.10,28.45,27.10,0,0,0
2025-11-13,15/10/2025,28.35,0,28.35,28.35,28.35,0,0,0
2025-11-13,14/10/2025,28.35,0,28.35,28.35,28.35,0,0,0
2025-11-13,13/10/2025,28.35,0,28.35,28.35,28.35,0,0,0
2025-11-13,10/10/2025,28.35,0,28.35,28.35,28.35,0,0,0
2025-11-13,09/10/2025,28.35,0,28.35,28.35,28.35,0,0,0
2025-11-13,08/10/2025,28.35,0,28.35,28.35,28.35,0,0,0
2025-11-13,07/10/2025,28.35,100,28.35,28.35,28.35,0,0,0
2025-11-13,06/10/2025,27.95,0,27.95,27.95,27.95,0,0,0
2025-11-13,03/10/2025,27.95,0,27.95,27.95,27.95,0,0,0
2025-11-13,02/10/2025,27.95,0,27.95,27.95,27.95,0,0,0
2025-11-13,01/10/2025,27.95,100,27.95,27.95,27.95,0,0,0
2025-11-13,30/09/2025,27.65,0,27.65,27.65,27.65,0,0,0
2025-11-13,29/09/2025,27.65,0,27.65,27.65,27.65,0,0,0
2025-11-13,26/09/2025,27.65,200,27.65,27.65,27.65,0,0,0
2025-11-13,25/09/2025,27.50,0,27.50,27.50,27.50,0,0,0
2025-11-13,24/09/2025,27.50,0,27.50,27.50,27.50,0,0,0
2025-11-13,23/09/2025,27.50,0,27.50,27.50,27.50,0,0,0
2025-11-13,22/09/2025,27.50,1100,26.55,27.70,26.55,0,0,0
2025-11-13,19/09/2025,27.65,0,27.65,27.65,27.65,0,0,0
2025-11-13,18/09/2025,27.65,2900,26.50,27.65,26.50,0,0,0
2025-11-13,17/09/2025,27.65,0,27.65,27.65,27.65,0,0,0
2025-11-13,16/09/2025,27.65,1200,27.50,27.65,27.50,0,0,0
2025-11-13,15/09/2025,27.65,200,27.65,27.65,27.65,0,0,0
2025-11-13,12/09/2025,27.65,3200,26.25,27.65,26.25,0,0,0
2025-11-13,11/09/2025,27.50,500,26.90,27.50,26.90,0,0,0
2025-11-13,10/09/2025,27.50,1000,27.50,27.50,27.50,0,0,0
2025-11-13,09/09/2025,28,1100,27,29.15,27,0,0,0
2025-11-13,08/09/2025,27.25,2400,26.20,27.25,26.20,0,0,0
2025-11-13,05/09/2025,27.80,0,27.80,27.80,27.80,0,0,0
2025-11-13,04/09/2025,27.80,8500,26.60,27.80,26.60,0,0,0
2025-11-13,03/09/2025,27.80,1700,26.80,27.80,26.50,0,0,0
2025-11-13,29/08/2025,28.15,6700,27.85,28.15,26.50,0,0,0
2025-11-13,28/08/2025,27.85,2000,28,28,26.70,0,0,0
2025-11-13,27/08/2025,26.85,900,27,28.35,26.85,0,0,0
2025-11-13,26/08/2025,26.70,600,26.70,26.70,26.70,0,0,0
2025-11-13,25/08/2025,28.70,600,28,28.70,28,0,0,0
2025-11-13,22/08/2025,28,0,28,28,28,0,0,0
2025-11-13,21/08/2025,28,800,28.15,28.15,26.20,0,0,0
2025-11-13,20/08/2025,27.90,1400,28.35,28.35,27.20,0,0,0
2025-11-13,19/08/2025,27.20,100,27.20,27.20,27.20,0,0,0
2025-11-13,18/08/2025,28.35,0,28.35,28.35,28.35,0,0,0
2025-11-13,15/08/2025,28.35,15000,27.30,28.40,27.30,0,100,-0.0
2025-11-13,14/08/2025,28.45,8200,27.25,28.45,27.25,0,0,0
2025-11-13,13/08/2025,28.45,7700,27.25,28.45,27.25,0,0,0
2025-11-13,12/08/2025,28.45,5600,27,28.50,27,0,0,0
2025-11-13,11/08/2025,28.50,3800,27.05,28.50,27.05,0,0,0
2025-11-13,08/08/2025,28.50,1100,28.50,28.50,28.50,0,0,0
2025-11-13,07/08/2025,28.50,0,28.50,28.50,28.50,0,0,0
2025-11-13,06/08/2025,28.50,1400,27,28.50,27,0,0,0
2025-11-13,05/08/2025,28.50,0,28.50,28.50,28.50,0,0,0
2025-11-13,04/08/2025,28.50,0,28.50,28.50,28.50,0,0,0
2025-11-13,01/08/2025,28.50,300,28.50,28.50,28.50,0,0,0
2025-11-13,31/07/2025,28.95,0,28.95,28.95,28.95,0,0,0
2025-11-13,30/07/2025,28.95,0,28.95,28.95,28.95,0,0,0
2025-11-13,29/07/2025,28.95,600,28.50,28.95,28.50,0,0,0
2025-11-13,28/07/2025,28.50,200,28.50,28.50,28.50,0,0,0
2025-11-13,25/07/2025,28.75,0,28.75,28.75,28.75,0,0,0
2025-11-13,24/07/2025,28.75,1400,27.50,28.75,27.50,0,0,0
2025-11-13,23/07/2025,29,7400,28,29,27.30,0,0,0
2025-11-13,22/07/2025,28.90,3400,26.80,28.90,26.80,0,0,0
2025-11-13,21/07/2025,27.55,4300,27.55,27.55,26.35,0,0,0
2025-11-13,18/07/2025,27.60,7400,26.30,27.60,26.30,0,0,0
