date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,10.40,0,10.40,10.40,10.40,0,0,0,
2025-11-13,11/11/2025,10.40,5700,10.30,10.40,10.30,0,0,0,
2025-11-13,10/11/2025,10.40,1000,10.40,10.40,10.40,0,0,0,
2025-11-13,07/11/2025,10.40,2700,10.40,10.40,10.40,0,0,0,
2025-11-13,06/11/2025,10.50,4200,10.50,10.50,10.50,0,0,0,
2025-11-13,05/11/2025,10.50,1000,10.50,10.50,10.50,0,0,0,
2025-11-13,04/11/2025,10.80,600,10.60,10.80,10.60,0,0,0,
2025-11-13,03/11/2025,10.80,4200,10.80,10.80,10.80,0,0,0,
2025-11-13,31/10/2025,10.70,2200,10.70,10.70,10.70,0,0,0,
2025-11-13,30/10/2025,10.70,0,10.70,10.70,10.70,0,0,0,
2025-11-13,29/10/2025,10.70,2000,10.70,10.70,10.70,0,0,0,
2025-11-13,28/10/2025,10.70,6200,10.40,10.80,10.40,0,0,0,
2025-11-13,27/10/2025,10.40,2500,10.10,10.40,10.10,0,0,0,
2025-11-13,24/10/2025,10.30,1100,10.20,10.30,10.20,0,0,0,
2025-11-13,23/10/2025,10.20,0,10.20,10.20,10.20,0,0,0,
2025-11-13,22/10/2025,10.20,0,10.20,10.20,10.20,0,0,0,
2025-11-13,21/10/2025,10.20,7100,10.80,10.80,10.20,0,0,0,
2025-11-13,20/10/2025,10.30,0,10.30,10.30,10.30,0,0,0,
2025-11-13,17/10/2025,10.30,500,10.30,10.30,10.30,0,0,0,
2025-11-13,16/10/2025,10.80,400,11,11,10.80,0,0,0,
2025-11-13,15/10/2025,10.70,500,10.70,10.70,10.70,0,0,0,
2025-11-13,14/10/2025,10.80,100,10.80,10.80,10.80,0,0,0,
2025-11-13,13/10/2025,10.70,10500,10.70,10.70,10.70,0,0,0,
2025-11-13,10/10/2025,10.80,200,10.80,10.80,10.80,0,0,0,
2025-11-13,09/10/2025,10.80,15100,10.80,10.80,10.80,0,0,0,
2025-11-13,08/10/2025,10.40,0,10.40,10.40,10.40,0,0,0,
2025-11-13,07/10/2025,10.40,4300,10.40,10.40,10.40,0,0,0,
2025-11-13,06/10/2025,10.60,1700,11.20,11.20,10.40,0,0,0,
2025-11-13,03/10/2025,10.60,4600,10.50,10.60,10.50,0,0,0,
2025-11-13,02/10/2025,10.50,12300,10.50,10.80,10.50,0,0,0,
2025-11-13,01/10/2025,10,1400,10.30,10.30,10,0,0,0,
2025-11-13,30/09/2025,10.30,0,10.30,10.30,10.30,0,0,0,
