date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,11.40,2400,10.90,11.40,10.90,0,0,0,
2025-11-13,11/11/2025,11.40,0,11.40,11.40,11.40,0,0,0,
2025-11-13,10/11/2025,11.40,300,11.40,11.40,11,0,0,0,
2025-11-13,07/11/2025,11.10,5500,11.45,11.45,11.10,0,0,0,
2025-11-13,06/11/2025,11.10,2200,11.40,11.45,11.10,0,0,0,
2025-11-13,05/11/2025,11.50,0,11.50,11.50,11.50,0,0,0,
2025-11-13,04/11/2025,11.50,1400,11.15,11.50,10.70,0,1300,-0.0,
2025-11-13,03/11/2025,11.50,23200,11.10,11.50,11.10,0,0,0,
2025-11-13,31/10/2025,11,7600,11.30,11.35,11,0,0,0,
2025-11-13,30/10/2025,11.45,0,11.45,11.45,11.45,0,0,0,
2025-11-13,29/10/2025,11.45,1100,11.10,11.45,10.80,0,0,0,
2025-11-13,28/10/2025,11.55,500,11.55,11.55,11.55,0,0,0,
2025-11-13,27/10/2025,11.55,1100,11,11.55,11,0,0,0,
2025-11-13,24/10/2025,11.55,0,11.55,11.55,11.55,0,0,0,
2025-11-13,23/10/2025,11.55,1300,11.45,11.55,11.45,0,0,0,
2025-11-13,22/10/2025,11.50,100,11.50,11.50,11.50,0,0,0,
2025-11-13,21/10/2025,11.20,1400,11.15,11.50,11.15,0,0,0,
2025-11-13,20/10/2025,11.50,900,11.70,11.70,11.50,0,0,0,
2025-11-13,17/10/2025,11.70,3100,11.70,11.70,11.70,0,0,0,
2025-11-13,16/10/2025,11.70,24200,11.15,11.75,11.15,0,0,0,
2025-11-13,15/10/2025,11.15,800,11.65,11.65,11.15,0,0,0,
2025-11-13,14/10/2025,11.70,22200,11.40,11.70,11.40,0,0,0,
2025-11-13,13/10/2025,11.50,7100,11.50,11.50,11.50,0,0,0,
2025-11-13,10/10/2025,11.50,1200,11.50,11.50,11.15,0,0,0,
