date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,30.20,2100,31,31,30,0,0,0
2025-11-13,11/11/2025,30,300,30,30,30,0,0,0
2025-11-13,10/11/2025,29.60,6100,30,30,29.20,0,0,0
2025-11-13,07/11/2025,29.50,0,29.50,29.50,29.50,0,0,0
2025-11-13,06/11/2025,29.50,2400,29.50,29.50,29.50,0,0,0
2025-11-13,05/11/2025,30.80,0,30.80,30.80,30.80,0,0,0
2025-11-13,04/11/2025,30.80,0,30.80,30.80,30.80,0,0,0
2025-11-13,03/11/2025,30.80,500,30.80,30.80,30.80,0,0,0
2025-11-13,31/10/2025,30.70,5200,30.90,30.90,30.70,0,0,0
2025-11-13,30/10/2025,30.90,1800,31,31,30.90,0,0,0
2025-11-13,29/10/2025,31,1900,31,31,31,0,0,0
2025-11-13,28/10/2025,31,500,31,31,31,0,0,0
2025-11-13,27/10/2025,30.80,1500,30.80,30.80,30.80,0,0,0
2025-11-13,24/10/2025,30.90,4000,30.90,30.90,30.90,0,0,0
2025-11-13,23/10/2025,30.90,0,30.90,30.90,30.90,0,0,0
2025-11-13,22/10/2025,30.90,0,30.90,30.90,30.90,0,0,0
2025-11-13,21/10/2025,31,1100,30.80,31,30.80,0,0,0
2025-11-13,20/10/2025,30.80,2000,30.80,30.80,30.80,0,0,0
2025-11-13,17/10/2025,30.80,300,30.80,30.80,30.80,0,0,0
2025-11-13,16/10/2025,30.70,2000,30.80,30.80,30.70,0,0,0
2025-11-13,15/10/2025,31,3200,30.70,31,30.70,0,0,0
2025-11-13,14/10/2025,30.80,2100,31.20,31.20,30.80,0,0,0
2025-11-13,13/10/2025,30.80,3700,31,31,30.80,0,0,0
2025-11-13,10/10/2025,31,2400,31,31,31,0,0,0
2025-11-13,09/10/2025,32.60,0,32.60,32.60,32.60,0,0,0
2025-11-13,08/10/2025,32,5500,40.20,40.20,32,0,0,0
2025-11-13,07/10/2025,35,0,35,35,35,0,0,0
2025-11-13,06/10/2025,35,0,35,35,35,0,0,0
2025-11-13,03/10/2025,35,100,35,35,35,0,0,0
2025-11-13,02/10/2025,30.50,100,30.50,30.50,30.50,0,0,0
2025-11-13,01/10/2025,30.80,800,30.80,30.80,30.80,0,0,0
2025-11-13,30/09/2025,30.80,2600,30.90,31.50,30.80,0,0,0
2025-11-13,29/09/2025,31,700,31,31,31,0,0,0
2025-11-13,26/09/2025,31,10700,31,31.50,31,0,0,0
2025-11-13,25/09/2025,31,2000,30.70,31,30.70,0,0,0
2025-11-13,24/09/2025,30.60,3000,30.70,30.90,30.60,0,0,0
2025-11-13,23/09/2025,30.90,1700,31,31,30.90,0,0,0
2025-11-13,22/09/2025,31,12900,30.60,31,30.60,0,0,0
2025-11-13,19/09/2025,30.60,0,30.60,30.60,30.60,0,0,0
