date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,6.27,3000,6.25,6.28,6.02,0,0,0
2025-11-13,11/11/2025,6.28,10600,6.15,6.28,5.90,0,0,0
2025-11-13,10/11/2025,6.28,6000,6.10,6.30,5.89,0,0,0
2025-11-13,07/11/2025,6.29,700,6.30,6.30,6.29,0,0,0
2025-11-13,06/11/2025,6.36,4500,6.42,6.42,6.10,0,0,0
2025-11-13,05/11/2025,6.42,1700,6.25,6.43,6.25,0,0,0
2025-11-13,04/11/2025,6.43,2200,6.25,6.43,6.25,0,0,0
2025-11-13,03/11/2025,6.47,1200,6.49,6.49,6.30,0,0,0
2025-11-13,31/10/2025,6.49,2500,6.25,6.50,6.25,0,0,0
2025-11-13,30/10/2025,6.35,11400,6.23,6.35,6.16,0,0,0
2025-11-13,29/10/2025,6.30,15500,6.15,6.30,6.15,0,0,0
2025-11-13,28/10/2025,6.27,7500,6.18,6.27,6.02,0,0,0
2025-11-13,27/10/2025,6.29,2900,6.20,6.29,6.15,0,0,0
2025-11-13,24/10/2025,6.29,6900,6.22,6.29,6.20,0,0,0
2025-11-13,23/10/2025,6.29,8200,6.15,6.29,6.15,0,0,0
2025-11-13,22/10/2025,6.27,25000,6.20,6.27,6.20,0,0,0
2025-11-13,21/10/2025,6.27,3900,6.18,6.30,6.15,0,0,0
2025-11-13,20/10/2025,6.18,2300,6.13,6.37,6.13,0,0,0
2025-11-13,17/10/2025,6.20,7900,6.20,6.29,6.12,0,4600,-0.0
2025-11-13,16/10/2025,6.29,6800,6.26,6.30,6.20,0,0,0
2025-11-13,15/10/2025,6.25,2700,6.25,6.39,6.25,0,0,0
2025-11-13,14/10/2025,6.39,14700,6.30,6.42,6.25,0,0,0
2025-11-13,13/10/2025,6.55,317400,6.26,6.55,6.21,0,0,0
2025-11-13,10/10/2025,6.26,5100,6.26,6.35,6.26,0,0,0
2025-11-13,09/10/2025,6.25,2900,6.48,6.50,6.24,0,0,0
2025-11-13,08/10/2025,6.60,8900,6.25,6.60,6.25,0,0,0
2025-11-13,07/10/2025,6.65,20100,6.36,6.65,6.36,0,0,0
2025-11-13,06/10/2025,6.70,629800,6.40,6.70,6.40,0,0,0
2025-11-13,03/10/2025,6.45,2500,6.38,6.50,6.38,0,0,0
2025-11-13,02/10/2025,6.40,2500,6.32,6.50,6.32,0,0,0
2025-11-13,01/10/2025,6.35,6800,6.35,6.54,6.30,0,0,0
2025-11-13,30/09/2025,6.35,3200,6.41,6.62,6.35,0,0,0
2025-11-13,29/09/2025,6.55,18600,6.36,6.55,6.36,0,0,0
2025-11-13,26/09/2025,6.42,3500,6.36,6.46,6.36,0,0,0
2025-11-13,25/09/2025,6.46,4400,6.35,6.46,6.30,0,0,0
2025-11-13,24/09/2025,6.41,5500,6.50,6.52,6.30,0,0,0
2025-11-13,23/09/2025,6.51,3400,6.50,6.59,6.50,0,0,0
2025-11-13,22/09/2025,6.59,14100,6.57,6.59,6.56,0,0,0
2025-11-13,19/09/2025,6.75,16600,6.56,6.75,6.56,0,0,0
2025-11-13,18/09/2025,6.75,6900,6.73,6.80,6.73,0,0,0
2025-11-13,17/09/2025,6.77,63800,6.70,6.85,6.52,0,0,0
2025-11-13,16/09/2025,6.77,53100,6.65,6.78,6.55,0,0,0
2025-11-13,15/09/2025,6.78,139600,6.70,6.83,6.49,0,0,0
2025-11-13,12/09/2025,6.78,116800,6.79,6.90,6.62,0,0,0
2025-11-13,11/09/2025,6.70,224300,6.38,6.74,6.31,0,0,0
2025-11-13,10/09/2025,6.30,2700,6.20,6.30,6.16,0,0,0
2025-11-13,09/09/2025,6.20,10100,6.29,6.30,6.18,0,0,0
2025-11-13,08/09/2025,6.29,19200,6.40,6.40,6.20,0,0,0
