date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,6.60,1200,6.60,6.60,6.60,0,0,0
2025-11-13,11/11/2025,7.70,0,7.70,7.70,7.70,0,0,0
2025-11-13,10/11/2025,7.70,100,7.70,7.70,7.70,0,0,0
2025-11-13,07/11/2025,9,0,9,9,9,0,0,0
2025-11-13,06/11/2025,9,200,9,9,9,0,0,0
2025-11-13,05/11/2025,10,100,10,10,10,0,0,0
2025-11-13,04/11/2025,11.20,0,11.20,11.20,11.20,0,0,0
2025-11-13,03/11/2025,11.20,100,11.20,11.20,11.20,0,0,0
2025-11-13,31/10/2025,9.90,100,9.90,9.90,9.90,0,0,0
2025-11-13,30/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,29/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,28/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,27/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,24/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,23/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,22/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,21/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,20/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,17/10/2025,8.80,2000,8.80,8.80,8.80,0,0,0
2025-11-13,16/10/2025,8.80,3000,8.80,8.80,8.80,0,0,0
2025-11-13,15/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,14/10/2025,8.80,700,8.80,8.80,8.80,0,0,0
2025-11-13,13/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,10/10/2025,8.80,1000,8.80,8.80,8.80,0,0,0
2025-11-13,09/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,08/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,07/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,06/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,03/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,02/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,01/10/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,30/09/2025,8.80,100,8.80,8.80,8.80,0,0,0
2025-11-13,29/09/2025,7.80,5400,7.80,7.80,7.80,0,0,0
2025-11-13,26/09/2025,7.80,0,7.80,7.80,7.80,0,0,0
2025-11-13,25/09/2025,7.80,1300,7.80,7.80,7.80,0,0,0
2025-11-13,24/09/2025,7.80,900,7.80,7.80,7.80,0,0,0
2025-11-13,23/09/2025,7.80,0,7.80,7.80,7.80,0,0,0
2025-11-13,22/09/2025,7.80,0,7.80,7.80,7.80,0,0,0
2025-11-13,19/09/2025,7.80,0,7.80,7.80,7.80,0,0,0
2025-11-13,18/09/2025,8,2300,7.60,8,7.60,0,0,0
2025-11-13,17/09/2025,7.50,2600,7.60,7.60,7.50,0,0,0
2025-11-13,16/09/2025,7.50,3000,7.50,7.50,7.50,0,0,0
2025-11-13,15/09/2025,7.50,600,7.50,7.50,7.50,0,0,0
2025-11-13,12/09/2025,7.50,100,7.50,7.50,7.50,0,0,0
2025-11-13,11/09/2025,7.50,1000,7.50,7.50,7.50,0,0,0
2025-11-13,10/09/2025,7.40,0,7.40,7.40,7.40,0,0,0
2025-11-13,09/09/2025,7.40,0,7.40,7.40,7.40,0,0,0
2025-11-13,08/09/2025,7.40,0,7.40,7.40,7.40,0,0,0
2025-11-13,05/09/2025,7.40,0,7.40,7.40,7.40,0,0,0
2025-11-13,04/09/2025,7.40,0,7.40,7.40,7.40,0,0,0
2025-11-13,03/09/2025,7.40,3000,7.40,7.40,7.40,0,0,0
2025-11-13,29/08/2025,7.40,0,7.40,7.40,7.40,0,0,0
2025-11-13,28/08/2025,7.60,900,7.20,7.60,7.20,0,0,0
2025-11-13,27/08/2025,7.20,4100,7.40,7.40,7.20,0,0,0
2025-11-13,26/08/2025,7.20,5100,7.20,7.20,7.20,0,0,0
2025-11-13,25/08/2025,7.20,7100,7.20,7.20,7.20,0,0,0
2025-11-13,22/08/2025,7.20,2900,7.20,7.20,7.20,0,0,0
2025-11-13,21/08/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,20/08/2025,7.20,300,7.20,7.20,7.20,0,0,0
2025-11-13,19/08/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,18/08/2025,7.20,0,7.20,7.20,7.20,0,0,0
2025-11-13,15/08/2025,7.20,500,7.20,7.20,7.20,0,0,0
2025-11-13,14/08/2025,7,1100,7,7,7,0,0,0
2025-11-13,13/08/2025,7.40,1900,7,7.40,7,0,0,0
2025-11-13,12/08/2025,7,500,7,7,7,0,0,0
2025-11-13,11/08/2025,7.70,100,7.70,7.70,7.70,0,0,0
2025-11-13,08/08/2025,7.40,600,7.40,7.40,7.40,0,0,0
2025-11-13,07/08/2025,6.80,0,6.80,6.80,6.80,0,0,0
2025-11-13,06/08/2025,6.80,1300,6.80,6.80,6.80,0,0,0
2025-11-13,05/08/2025,6.80,700,6.80,6.80,6.80,0,0,0
2025-11-13,04/08/2025,6.50,11900,6.30,6.50,6.30,0,0,0
2025-11-13,01/08/2025,6.10,100,6.10,6.10,6.10,0,0,0
2025-11-13,31/07/2025,6.20,300,6.10,6.20,6.10,0,0,0
2025-11-13,30/07/2025,6,500,6,6,6,0,0,0
2025-11-13,29/07/2025,6,600,6,6,6,0,0,0
2025-11-13,28/07/2025,6,3800,6,6,6,0,0,0
2025-11-13,25/07/2025,6.10,3000,6.10,6.10,6.10,0,0,0
2025-11-13,24/07/2025,6.10,5000,5.80,6.10,5.80,0,0,0
2025-11-13,23/07/2025,6.10,3500,6.10,6.10,6.10,0,0,0
2025-11-13,22/07/2025,6.10,0,6.10,6.10,6.10,0,0,0
2025-11-13,21/07/2025,6.40,6200,6.20,6.40,6,0,0,0
2025-11-13,18/07/2025,6,1500,5.90,6,5.80,0,0,0
2025-11-13,17/07/2025,5.60,10400,5.60,5.60,5.50,0,0,0
2025-11-13,16/07/2025,5.80,6100,5.90,5.90,5.80,0,0,0
2025-11-13,15/07/2025,5.80,25700,5.60,5.80,5.60,0,0,0
2025-11-13,14/07/2025,6.40,6000,6.40,6.40,6.40,0,0,0
2025-11-13,11/07/2025,5.90,19500,6,6,5.90,0,0,0
2025-11-13,10/07/2025,6.10,18000,6.80,6.80,6,0,0,0
2025-11-13,09/07/2025,6.50,26600,6,6.50,6,0,0,0
2025-11-13,08/07/2025,5.80,15100,5.60,5.80,5.60,0,0,0
2025-11-13,07/07/2025,5.60,5000,5.60,5.60,5.60,0,0,0
2025-11-13,04/07/2025,5.70,12200,5.70,5.80,5.70,0,0,0
2025-11-13,03/07/2025,5.10,600,5.10,5.10,5.10,0,0,0
2025-11-13,02/07/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,01/07/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,30/06/2025,5.50,500,5.50,5.50,5.50,0,0,0
2025-11-13,27/06/2025,5.40,0,5.40,5.40,5.40,0,0,0
2025-11-13,26/06/2025,5.50,4900,5,5.50,5,0,0,0
2025-11-13,25/06/2025,5.60,1000,5.60,5.60,5.60,0,0,0
2025-11-13,24/06/2025,4.90,6000,5.50,5.50,4.90,0,0,0
