date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,18.30,100,18.30,18.30,18.30,0,0,0
2025-11-13,11/11/2025,18.60,3400,19,19,18.10,0,0,0
2025-11-13,10/11/2025,18.10,200,18.10,18.10,18.10,0,0,0
2025-11-13,07/11/2025,19,100,19,19,19,0,0,0
2025-11-13,06/11/2025,19.90,0,19.90,19.90,19.90,0,0,0
2025-11-13,05/11/2025,19.90,100,19.90,19.90,19.90,0,0,0
2025-11-13,04/11/2025,20,0,20,20,20,0,0,0
2025-11-13,03/11/2025,20,1000,20,20,20,0,0,0
2025-11-13,31/10/2025,20,5200,18.80,20,18.80,0,0,0
2025-11-13,30/10/2025,19.50,700,19.90,19.90,19.50,500,0,0.0
2025-11-13,29/10/2025,20,0,20,20,20,0,0,0
2025-11-13,28/10/2025,20,100,20,20,20,0,0,0
2025-11-13,27/10/2025,19.80,300,19.80,19.80,19.80,300,0,0.0
2025-11-13,24/10/2025,19,0,19,19,19,0,0,0
2025-11-13,23/10/2025,19,0,19,19,19,0,0,0
2025-11-13,22/10/2025,19,300,19,19,19,0,0,0
2025-11-13,21/10/2025,20,500,20,20,20,0,0,0
2025-11-13,20/10/2025,20,2600,20,20,20,0,0,0
2025-11-13,17/10/2025,20,600,19,20,19,0,0,0
2025-11-13,16/10/2025,19,0,19,19,19,0,0,0
2025-11-13,15/10/2025,19,600,18,19,18,0,0,0
2025-11-13,14/10/2025,19,0,19,19,19,0,0,0
2025-11-13,13/10/2025,19,0,19,19,19,0,0,0
2025-11-13,10/10/2025,19,0,19,19,19,0,0,0
2025-11-13,09/10/2025,19,3600,19.10,19.10,19,0,0,0
2025-11-13,08/10/2025,19,0,19,19,19,0,0,0
2025-11-13,07/10/2025,19,600,19.10,19.10,19,0,0,0
2025-11-13,06/10/2025,19.10,0,19.10,19.10,19.10,0,0,0
2025-11-13,03/10/2025,19.10,2100,19.10,19.10,19.10,0,0,0
2025-11-13,02/10/2025,19.10,0,19.10,19.10,19.10,0,0,0
2025-11-13,01/10/2025,19.10,1200,19.10,19.10,19.10,0,0,0
2025-11-13,30/09/2025,21,27900,18.50,21,18.50,0,0,0
2025-11-13,29/09/2025,20.50,10900,17.20,20.50,17.20,0,0,0
2025-11-13,26/09/2025,19.10,1500,19.20,19.20,19.10,0,0,0
2025-11-13,25/09/2025,19.40,15800,19.40,19.40,19.30,0,0,0
2025-11-13,24/09/2025,19.40,9600,19.30,19.40,19.30,0,0,0
2025-11-13,23/09/2025,19.20,3400,19,19.30,19,0,0,0
2025-11-13,22/09/2025,19.30,600,18.80,19.30,18.80,0,0,0
2025-11-13,19/09/2025,19.30,7500,19,19.30,19,0,0,0
2025-11-13,18/09/2025,19,2000,19,19,19,0,0,0
2025-11-13,17/09/2025,19,0,19,19,19,0,0,0
2025-11-13,16/09/2025,19,2100,19.30,19.30,19,0,0,0
2025-11-13,15/09/2025,19.40,600,18.80,19.40,18.80,0,0,0
2025-11-13,12/09/2025,18.80,17500,19.10,19.10,18.80,0,0,0
2025-11-13,11/09/2025,20.40,0,20.40,20.40,20.40,0,0,0
2025-11-13,10/09/2025,20.40,0,20.40,20.40,20.40,0,0,0
2025-11-13,09/09/2025,20.40,100,20.40,20.40,20.40,0,0,0
2025-11-13,08/09/2025,19.30,1700,19.30,19.30,19.30,0,1700,-0.0
2025-11-13,05/09/2025,19.20,4300,19.10,19.40,19.10,0,400,-0.0
2025-11-13,04/09/2025,19.10,300,19.10,19.10,19.10,0,0,0
2025-11-13,03/09/2025,19.10,200,19.10,19.10,19.10,0,0,0
2025-11-13,29/08/2025,20.40,1400,19.10,20.40,19.10,0,0,0
2025-11-13,28/08/2025,19.50,700,19.20,19.50,19.20,0,0,0
2025-11-13,27/08/2025,19.30,0,19.30,19.30,19.30,0,0,0
2025-11-13,26/08/2025,19.30,0,19.30,19.30,19.30,0,0,0
2025-11-13,25/08/2025,19.30,700,19.40,19.50,19.30,0,0,0
2025-11-13,22/08/2025,19.50,1300,19.90,19.90,19.50,0,0,0
2025-11-13,21/08/2025,19.90,3100,20,21.70,19.90,0,0,0
2025-11-13,20/08/2025,19.80,1400,19.80,19.80,19.50,0,0,0
2025-11-13,19/08/2025,19.70,5800,19.90,19.90,19.70,0,0,0
2025-11-13,18/08/2025,19.20,800,19.20,19.20,19.20,0,0,0
2025-11-13,15/08/2025,18.40,0,18.40,18.40,18.40,0,0,0
2025-11-13,14/08/2025,18.40,1100,19,19,18.40,0,0,0
2025-11-13,13/08/2025,19.70,100,19.70,19.70,19.70,0,0,0
2025-11-13,12/08/2025,19.10,0,19.10,19.10,19.10,0,0,0
2025-11-13,11/08/2025,19.10,10800,19.20,19.50,19.10,0,0,0
2025-11-13,08/08/2025,20.10,0,20.10,20.10,20.10,0,0,0
2025-11-13,07/08/2025,20.10,0,20.10,20.10,20.10,0,0,0
2025-11-13,06/08/2025,20.10,300,20,20.10,20,0,0,0
2025-11-13,05/08/2025,19.20,1500,19.30,19.30,19.20,0,0,0
2025-11-13,04/08/2025,19.30,600,19.30,19.30,19.30,0,0,0
2025-11-13,01/08/2025,19.40,1300,19.50,19.50,19.40,100,0,0.0
2025-11-13,31/07/2025,20.60,13100,22,22,20.60,0,0,0
2025-11-13,30/07/2025,22.80,6100,19.50,22.80,19.50,100,0,0.0
2025-11-13,29/07/2025,21,1300,21,21,21,0,0,0
2025-11-13,28/07/2025,21,4200,21,21,19.40,0,0,0
2025-11-13,25/07/2025,21.50,25100,19.90,19.90,18.20,0,0,0
2025-11-13,24/07/2025,19.70,3100,19.50,19.70,19.50,0,0,0
2025-11-13,23/07/2025,19.90,1400,20.20,20.20,19,0,0,0
2025-11-13,22/07/2025,19.20,600,19,19,19,0,0,0
2025-11-13,21/07/2025,20,9200,19.50,19.50,19.50,0,0,0
2025-11-13,18/07/2025,20.30,5300,19,20.30,18.30,0,0,0
2025-11-13,17/07/2025,19.40,0,19.40,19.40,19.40,0,0,0
2025-11-13,16/07/2025,19.40,900,19.20,19.40,18.20,0,0,0
2025-11-13,15/07/2025,19.30,300,19.30,19.30,19.30,0,0,0
2025-11-13,14/07/2025,19.50,500,19.50,19.50,19.50,0,0,0
2025-11-13,11/07/2025,19.50,0,19.50,19.50,19.50,0,0,0
2025-11-13,10/07/2025,19.50,0,19.50,19.50,19.50,0,0,0
2025-11-13,09/07/2025,19.50,0,19.50,19.50,19.50,0,0,0
2025-11-13,08/07/2025,19.50,0,19.50,19.50,19.50,0,0,0
2025-11-13,07/07/2025,19.50,100,19.50,19.50,19.50,0,0,0
2025-11-13,04/07/2025,21.40,0,21.40,21.40,21.40,0,0,0
2025-11-13,03/07/2025,21.40,0,21.40,21.40,21.40,0,0,0
2025-11-13,02/07/2025,21.40,0,21.40,21.40,21.40,0,0,0
2025-11-13,01/07/2025,21.40,100,21.40,21.40,21.40,0,0,0
2025-11-13,30/06/2025,22,24600,20.20,20.20,20,0,0,0
2025-11-13,27/06/2025,20.90,8000,20,20.50,20,0,0,0
2025-11-13,26/06/2025,20.30,0,20.30,20.30,20.30,0,0,0
2025-11-13,25/06/2025,20.30,2500,19,20.30,19,0,0,0
2025-11-13,24/06/2025,20,2200,19.60,19.70,19.60,0,0,0
