date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,35,4400,35,35,33.50,0,0,0
2025-11-13,11/11/2025,35,3500,35,35,35,0,0,0
2025-11-13,10/11/2025,35,3200,35,35,35,0,0,0
2025-11-13,07/11/2025,35,1400,35,35,34.90,0,0,0
2025-11-13,06/11/2025,34,3200,35,35,34,0,0,0
2025-11-13,05/11/2025,35,0,35,35,35,0,0,0
2025-11-13,04/11/2025,35,0,35,35,35,0,0,0
2025-11-13,03/11/2025,35,2600,35,35,35,0,0,0
2025-11-13,31/10/2025,35,1700,35,35,35,0,0,0
2025-11-13,30/10/2025,35,6000,34.90,35,34.90,0,0,0
2025-11-13,29/10/2025,35,8100,34.90,35,34.90,0,0,0
2025-11-13,28/10/2025,35,200,33.50,35,33.50,0,0,0
2025-11-13,27/10/2025,35,5800,34.70,35,34.70,0,0,0
2025-11-13,24/10/2025,34.80,4200,34.50,34.80,34.50,0,0,0
2025-11-13,23/10/2025,34.50,2000,34.70,34.70,34.50,0,0,0
2025-11-13,22/10/2025,34.70,13500,33.10,34.80,28.70,0,0,0
2025-11-13,21/10/2025,34.50,14700,34.50,34.50,30.20,0,0,0
2025-11-13,20/10/2025,34.90,0,34.90,34.90,34.90,0,0,0
2025-11-13,17/10/2025,35,2600,34.80,35,34.50,0,0,0
2025-11-13,16/10/2025,35,100,35,35,35,0,0,0
2025-11-13,15/10/2025,34.50,3400,34.50,34.50,34.50,0,0,0
2025-11-13,14/10/2025,34.50,12800,34,34.50,34,0,0,0
2025-11-13,13/10/2025,34.10,500,34.10,34.10,34.10,0,0,0
2025-11-13,10/10/2025,34,0,34,34,34,0,0,0
2025-11-13,09/10/2025,34,2400,34,34,34,0,0,0
2025-11-13,08/10/2025,34.80,0,34.80,34.80,34.80,0,0,0
2025-11-13,07/10/2025,34.80,400,34.80,34.80,34.70,0,0,0
2025-11-13,06/10/2025,34.50,2800,33.60,34.50,33.50,0,0,0
2025-11-13,03/10/2025,34.20,0,34.20,34.20,34.20,0,0,0
2025-11-13,02/10/2025,34.10,600,34,34.30,34,0,0,0
2025-11-13,01/10/2025,34,300,34.10,34.10,34,0,0,0
2025-11-13,30/09/2025,34,100,34,34,34,0,0,0
2025-11-13,29/09/2025,34,0,34,34,34,0,0,0
2025-11-13,26/09/2025,34,3100,33,34,33,0,0,0
2025-11-13,25/09/2025,34,700,34,34,34,0,0,0
2025-11-13,24/09/2025,34,7100,34,34,34,0,2000,-0.1
2025-11-13,23/09/2025,34,9800,34,34,34,0,0,0
2025-11-13,22/09/2025,33.80,300,33.60,33.80,33.60,0,0,0
2025-11-13,19/09/2025,34.10,4100,34,34.10,34,0,3000,-0.1
2025-11-13,18/09/2025,33.90,4100,34.10,34.10,33.90,0,4000,-0.1
2025-11-13,17/09/2025,34,600,34.10,34.10,34,0,0,0
2025-11-13,16/09/2025,34,5100,34,34,34,0,0,0
2025-11-13,15/09/2025,33.60,300,33.50,33.60,33.50,0,0,0
2025-11-13,12/09/2025,34,1500,33.20,34,33.20,0,0,0
2025-11-13,11/09/2025,34,600,33.20,34,33.20,0,0,0
2025-11-13,10/09/2025,34.10,3900,34,34.10,34,0,0,0
2025-11-13,09/09/2025,34,4000,33.70,34,33.20,0,0,0
2025-11-13,08/09/2025,33.60,2100,32.40,33.60,32.40,0,0,0
2025-11-13,05/09/2025,35.30,700,35.20,35.30,35.20,0,0,0
2025-11-13,04/09/2025,35.30,3500,34.90,35.50,33.60,0,0,0
2025-11-13,03/09/2025,34.90,15300,35,35,34.90,0,0,0
2025-11-13,29/08/2025,35,300,35,35,35,0,0,0
2025-11-13,28/08/2025,35,27400,34,35,33.90,0,0,0
2025-11-13,27/08/2025,34,11100,32.70,34,32.70,0,0,0
