date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,4.48,11500,4.35,4.50,4.30,0,0,0
2025-11-13,11/11/2025,4.27,3200,4.30,4.50,4.27,0,0,0
2025-11-13,10/11/2025,4.28,5500,4.26,4.28,4.25,0,0,0
2025-11-13,07/11/2025,4.26,28100,4.26,4.45,4.26,0,0,0
2025-11-13,06/11/2025,4.45,900,4.40,4.45,4.40,0,0,0
2025-11-13,05/11/2025,4.45,2300,4.45,4.45,4.45,0,0,0
2025-11-13,04/11/2025,4.50,46200,4.43,4.50,4.30,0,0,0
2025-11-13,03/11/2025,4.42,66000,4.57,4.57,4.40,0,0,0
2025-11-13,31/10/2025,4.46,6800,4.63,4.65,4.45,0,0,0
2025-11-13,30/10/2025,4.56,39100,4.58,4.58,4.43,0,0,0
2025-11-13,29/10/2025,4.64,29300,4.54,4.69,4.40,0,0,0
2025-11-13,28/10/2025,4.49,11600,4.28,4.55,4.24,0,0,0
2025-11-13,27/10/2025,4.50,0,4.50,4.50,4.50,0,0,0
2025-11-13,24/10/2025,4.50,1900,4.50,4.50,4.50,0,0,0
2025-11-13,23/10/2025,4.50,28400,4.80,4.80,4.40,0,0,0
2025-11-13,22/10/2025,4.50,0,4.50,4.50,4.50,0,0,0
2025-11-13,21/10/2025,4.50,20700,4.45,4.50,4.25,0,0,0
2025-11-13,20/10/2025,4.43,8900,4.60,4.70,4.43,0,0,0
2025-11-13,17/10/2025,4.60,9600,4.63,4.65,4.58,0,0,0
2025-11-13,16/10/2025,4.62,88000,4.60,4.62,4.41,0,0,0
2025-11-13,15/10/2025,4.60,20600,4.73,4.73,4.40,0,0,0
2025-11-13,14/10/2025,4.73,8600,4.75,4.75,4.65,0,0,0
2025-11-13,13/10/2025,4.75,5900,4.80,4.80,4.75,0,0,0
2025-11-13,10/10/2025,4.80,15100,4.65,4.80,4.60,0,0,0
2025-11-13,09/10/2025,4.80,9500,4.80,4.99,4.61,0,0,0
2025-11-13,08/10/2025,4.80,5100,4.76,4.80,4.72,0,0,0
2025-11-13,07/10/2025,4.80,20800,4.71,4.80,4.70,0,0,0
2025-11-13,06/10/2025,4.82,26600,4.55,4.83,4.55,0,0,0
2025-11-13,03/10/2025,4.84,7000,4.71,4.84,4.71,0,0,0
2025-11-13,02/10/2025,4.85,35300,4.74,4.89,4.71,0,0,0
2025-11-13,01/10/2025,4.74,6400,4.74,4.74,4.70,0,0,0
2025-11-13,30/09/2025,4.74,52100,4.80,4.84,4.73,0,0,0
2025-11-13,29/09/2025,4.80,21800,4.86,4.87,4.78,0,0,0
2025-11-13,26/09/2025,4.89,557500,4.90,4.93,4.76,0,0,0
2025-11-13,25/09/2025,4.89,10100,4.88,4.89,4.88,0,0,0
2025-11-13,24/09/2025,4.89,4100,4.91,4.91,4.89,0,0,0
2025-11-13,23/09/2025,4.90,8600,4.75,4.98,4.75,0,0,0
2025-11-13,22/09/2025,4.83,28100,4.81,4.97,4.80,0,0,0
2025-11-13,19/09/2025,4.97,10600,4.91,4.97,4.86,0,0,0
2025-11-13,18/09/2025,4.91,25100,5,5,4.90,0,0,0
2025-11-13,17/09/2025,5,38000,4.89,5,4.86,0,0,0
2025-11-13,16/09/2025,4.98,26100,5,5.01,4.89,0,0,0
2025-11-13,15/09/2025,4.99,21200,4.97,5.10,4.97,0,0,0
2025-11-13,12/09/2025,4.97,48000,5.10,5.10,4.94,0,0,0
2025-11-13,11/09/2025,5.10,8300,4.80,5.10,4.80,0,0,0
2025-11-13,10/09/2025,5.04,15900,5,5.04,4.85,0,0,0
2025-11-13,09/09/2025,5.05,19300,5.10,5.29,4.96,0,0,0
2025-11-13,08/09/2025,5.10,51900,5.55,5.55,5.07,0,0,0
2025-11-13,05/09/2025,5.37,233000,5.20,5.51,5.20,0,500,-0.0
2025-11-13,04/09/2025,5.15,113600,5.01,5.19,4.92,0,9500,-0.0
2025-11-13,03/09/2025,5,36600,4.67,5,4.67,0,0,0
2025-11-13,29/08/2025,4.80,39000,4.80,4.80,4.62,0,0,0
2025-11-13,28/08/2025,4.80,20000,4.69,4.81,4.66,0,0,0
2025-11-13,27/08/2025,4.80,11100,4.70,4.80,4.70,0,0,0
2025-11-13,26/08/2025,4.80,32300,4.70,4.90,4.65,0,0,0
2025-11-13,25/08/2025,4.70,34400,4.63,5,4.62,0,0,0
2025-11-13,22/08/2025,4.81,67500,4.82,5.45,4.81,0,0,0
2025-11-13,21/08/2025,5.17,71000,5.56,5.60,5.17,0,0,0
2025-11-13,20/08/2025,5.55,138900,5.69,5.69,5.30,0,0,0
