date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,19.15,15067500,18.80,19.50,18.65,606900,3155240,-48.2
2025-11-13,11/11/2025,18.80,12403700,18.40,18.80,18,1502600,3705400,-39.8
2025-11-13,10/11/2025,18.25,11810800,19.30,19.30,18.25,706700,4579800,-71.9
2025-11-13,07/11/2025,18.90,19005100,19.50,19.70,18.60,1092300,4838900,-72.1
2025-11-13,06/11/2025,19.80,12560600,20,20,19.40,928100,1982900,-20.6
2025-11-13,05/11/2025,20.10,17934400,20,20.20,19.30,6542100,1266600,105.6
2025-11-13,04/11/2025,20.15,36428000,18.70,20.15,17.85,5851700,3363500,48.8
2025-11-13,03/11/2025,18.85,36098100,20.20,20.35,18.85,1162900,1429500,-6.2
2025-11-13,31/10/2025,20.25,16826800,21.30,21.35,20.25,237000,2066000,-38.1
2025-11-13,30/10/2025,21.20,22075400,20.95,21.45,20.80,1147000,1743100,-12.8
2025-11-13,29/10/2025,20.95,17658200,21.05,21.10,20.70,420400,3272800,-59.7
2025-11-13,28/10/2025,21,16731900,20.05,21,19.65,2287700,1159900,23.2
2025-11-13,27/10/2025,20.20,15858600,21.05,21.10,20.20,3047600,2554100,10.3
2025-11-13,24/10/2025,20.90,28391800,20,21,19.65,2987700,1320800,34.0
2025-11-13,23/10/2025,20.05,12197400,20.50,20.60,20.05,417300,2870500,-49.9
2025-11-13,22/10/2025,20.50,28053200,20.35,20.50,18.90,3087100,4394800,-26.3
2025-11-13,21/10/2025,20,44096900,20.80,20.90,19.60,1265800,3983800,-55.2
2025-11-13,20/10/2025,21.05,38458700,22.20,22.85,21.05,3866000,8864700,-110.6
2025-11-13,17/10/2025,22.60,53757300,22.65,23.50,22.45,11536700,6439300,116.7
2025-11-13,16/10/2025,22.45,65908500,21.15,22.45,21.15,14162600,3066000,245.0
2025-11-13,15/10/2025,21,28037300,20.50,21,20.25,1577700,1382200,4.2
2025-11-13,14/10/2025,20.50,33457300,21.45,21.50,20.50,781400,6945200,-128.9
2025-11-13,13/10/2025,21.35,32286300,20.30,21.60,20.15,1027700,579800,9.4
2025-11-13,10/10/2025,20.70,19288500,20.60,21.10,20.55,338700,1528200,-24.7
2025-11-13,09/10/2025,20.55,23327400,20.60,20.85,20.25,0,0,0
2025-11-13,08/10/2025,20.65,30884600,20.90,20.90,20.10,3044000,6288800,-66.0
2025-11-13,07/10/2025,20.60,18330100,21.30,21.30,20.60,1905300,587600,27.1
2025-11-13,06/10/2025,21.25,19470400,20.30,21.25,20.15,1137300,1382800,-4.7
2025-11-13,03/10/2025,20.05,22546900,20,20.50,19.70,3202500,2077300,22.0
2025-11-13,02/10/2025,20.10,19885400,21,21.05,20,720200,572900,2.9
2025-11-13,01/10/2025,20.85,19191300,20.80,21.25,20.35,1148300,708000,9.0
2025-11-13,30/09/2025,20.70,60699100,21.75,21.95,20.35,2789300,5763900,-62.3
2025-11-13,29/09/2025,21.85,48672000,22.75,22.75,21.60,1380300,5356400,-88.5
2025-11-13,26/09/2025,22.75,34203000,23.20,23.20,22.40,863500,4608400,-85.1
2025-11-13,25/09/2025,23.20,31311200,23.50,23.80,22.90,872000,4972800,-96.0
2025-11-13,24/09/2025,23.40,18606200,22.50,23.40,22.35,717000,2588800,-43.1
2025-11-13,23/09/2025,22.95,10435000,22.65,22.95,22.25,2043500,1007700,23.7
2025-11-13,22/09/2025,22.60,24349000,23.10,23.40,22.15,1699000,2442300,-17.4
2025-11-13,19/09/2025,23,20827400,23.20,23.20,22.35,1267100,4499600,-73.6
2025-11-13,18/09/2025,22.90,28115500,23,23.20,22.15,2884800,2296600,13.0
2025-11-13,17/09/2025,23,15491300,23.50,23.60,22.85,1337400,3171700,-42.4
2025-11-13,16/09/2025,23.60,20832200,24.45,24.45,23.10,1148100,2852200,-40.8
2025-11-13,15/09/2025,24.20,16258900,24.30,24.50,23.90,1344800,3971200,-63.1
2025-11-13,12/09/2025,24.05,28099400,23.60,24.15,23.40,3862400,4815100,-21.8
2025-11-13,11/09/2025,23.50,21261100,22.90,23.50,22.15,1991300,4156100,-48.9
2025-11-13,10/09/2025,23.15,15506000,23.50,23.60,22.75,720800,3842200,-72.4
2025-11-13,09/09/2025,23.50,20597800,22.65,23.50,22.50,1201000,2460700,-29.2
2025-11-13,08/09/2025,22.55,38861800,22.35,23.35,21.95,4322400,3131400,25.6
2025-11-13,05/09/2025,22.30,30551700,24.05,24.20,22.30,1701200,3364400,-40.7
2025-11-13,04/09/2025,23.65,21329000,24.30,24.50,23.50,818400,5560400,-113.5
2025-11-13,03/09/2025,24,20270300,22.85,24,22.85,1723800,2583500,-20.7
2025-11-13,29/08/2025,22.80,28113900,23.20,23.80,22.75,1733700,6347300,-108.0
2025-11-13,28/08/2025,22.90,16314900,23,23.10,22.50,1798715,3889937,0
2025-11-13,27/08/2025,22.75,70555100,21.60,22.75,21.40,7733100,4128000,79.8
2025-11-13,26/08/2025,21.30,19996700,20.45,21.30,20.30,2628700,1634100,21.1
2025-11-13,25/08/2025,20.45,27115000,20.35,21.05,20.20,8198500,4656900,73.4
2025-11-13,22/08/2025,20.15,41969900,20.75,20.90,19.55,2223200,6822000,-92.4
2025-11-13,21/08/2025,21,17795900,21.80,21.80,21,1908800,1866500,0.7
2025-11-13,20/08/2025,21.70,25968600,21.80,21.85,20.30,5522200,1400400,88.2
2025-11-13,19/08/2025,21.75,37278600,21,22.40,20.80,4101300,2012800,45.7
2025-11-13,18/08/2025,21.15,33100500,21.05,21.40,20.30,3213500,4855500,-34.4
2025-11-13,15/08/2025,21.20,22078600,22,22.05,21,1151700,1166900,-0.4
2025-11-13,14/08/2025,21.90,21309800,21.95,22.10,21.35,2970400,1546500,31.1
2025-11-13,13/08/2025,21.60,26920100,21.55,22.10,20.90,1389600,1927400,-11.7
2025-11-13,12/08/2025,21.55,25635300,21.60,21.80,20.75,278100,577600,-6.4
2025-11-13,11/08/2025,21.60,22669000,21.85,22.35,21.50,997700,1040800,-1.0
2025-11-13,08/08/2025,21.40,39812600,20.95,21.50,20.35,4547500,3572600,21.2
2025-11-13,07/08/2025,20.60,22232800,20.50,20.85,20.10,632400,1118800,-9.9
2025-11-13,06/08/2025,20.15,18023000,20,20.35,19.65,1549300,2210300,-13.0
2025-11-13,05/08/2025,20.10,48597600,20.25,20.80,18.85,3374500,3241800,1.1
2025-11-13,04/08/2025,20,19482400,19.40,20,19.30,2037800,2319400,-5.6
2025-11-13,01/08/2025,19.70,15663900,20,20.05,19.30,2141800,1051900,21.2
2025-11-13,31/07/2025,19.80,38344100,19.50,20.20,18.55,5529900,2978400,49.5
2025-11-13,30/07/2025,19.30,35021900,19.30,19.50,18.50,3815900,1249000,48.8
2025-11-13,29/07/2025,19.50,55149000,21.25,21.30,19.50,2642200,4755100,-44.2
2025-11-13,28/07/2025,20.95,36129600,20.30,21.25,20.10,409200,2997400,-53.6
2025-11-13,25/07/2025,19.90,25702800,20,20,19.55,1963400,4788100,-55.7
2025-11-13,24/07/2025,19.70,21540200,19.40,19.70,19.25,1560600,2204100,-12.7
2025-11-13,23/07/2025,19.30,23503300,19.70,19.90,19.25,367300,3667000,-64.7
2025-11-13,22/07/2025,19.50,24820800,18.75,19.50,18.55,5856300,3524200,44.1
2025-11-13,21/07/2025,18.90,30754900,19.35,19.60,18.85,4053800,3105300,18.1
2025-11-13,18/07/2025,19.45,29503700,20,20.50,19.30,1211600,5016400,-75.9
2025-11-13,17/07/2025,19.80,34588500,18.95,20.10,18.80,7440800,5400800,39.3
2025-11-13,16/07/2025,19,27997900,18.55,19.10,18.40,7762500,556600,135.7
2025-11-13,15/07/2025,18.55,39168900,18.55,19.25,18.50,14759300,3951800,203.7
2025-11-13,14/07/2025,18.20,55423400,17,18.20,16.55,6261000,3554900,47.7
2025-11-13,11/07/2025,17.05,39728200,17.35,17.45,16.90,1850530,981066,0
2025-11-13,10/07/2025,17.45,9782700,17.70,17.70,17.35,1389200,743800,0
2025-11-13,09/07/2025,17.45,26873900,17.30,17.75,17.15,3228800,2955936,0
2025-11-13,08/07/2025,17.20,8884800,17.40,17.40,17,1428600,1453000,-0.4
2025-11-13,07/07/2025,17.25,13872500,17.15,17.40,17,1141300,1744400,-10.3
2025-11-13,04/07/2025,17.10,14677200,17.05,17.40,17,2956800,598000,40.6
2025-11-13,03/07/2025,16.90,12947200,16.70,17,16.60,3128800,421500,45.5
2025-11-13,02/07/2025,16.65,9458400,16.55,16.75,16.40,405800,2097100,-28.0
2025-11-13,01/07/2025,16.65,15363800,16.80,16.90,16.40,1567500,389000,19.6
2025-11-13,30/06/2025,16.90,7814200,16.95,16.95,16.70,881500,176600,11.9
2025-11-13,27/06/2025,16.85,17394200,16.90,17.25,16.70,2022500,3099000,-18.1
2025-11-13,26/06/2025,16.85,9706700,16.70,16.85,16.45,1097100,189900,15.3
2025-11-13,25/06/2025,16.70,15525800,16.50,17.10,16.50,1011800,1896200,-14.9
2025-11-13,24/06/2025,16.60,24091900,16.35,16.70,16.15,2974900,3246400,-4.4
