date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,3.71,37800,3.71,3.72,3.70,0,0,0
2025-11-13,11/11/2025,3.75,9000,3.75,3.75,3.71,0,0,0
2025-11-13,10/11/2025,3.71,85000,3.70,3.79,3.70,0,0,0
2025-11-13,07/11/2025,3.70,9800,3.78,3.78,3.70,0,0,0
2025-11-13,06/11/2025,3.78,8300,3.70,3.78,3.70,0,0,0
2025-11-13,05/11/2025,3.77,100,3.77,3.77,3.77,0,0,0
2025-11-13,04/11/2025,3.71,3500,3.70,3.78,3.70,0,0,0
2025-11-13,03/11/2025,3.78,10900,3.70,3.80,3.65,0,0,0
2025-11-13,31/10/2025,3.75,17500,3.71,3.88,3.67,0,0,0
2025-11-13,30/10/2025,3.77,7100,3.90,4,3.75,0,0,0
2025-11-13,29/10/2025,3.80,8800,3.88,4.12,3.61,0,0,0
2025-11-13,28/10/2025,3.87,18000,4.25,4.25,3.87,0,0,0
2025-11-13,27/10/2025,4.15,26500,4.04,4.15,3.76,0,0,0
2025-11-13,24/10/2025,4.04,164100,4.62,4.64,4.04,0,0,0
2025-11-13,23/10/2025,4.34,80900,4.12,4.34,4.10,0,0,0
2025-11-13,22/10/2025,4.06,226500,4.05,4.06,4.05,0,0,0
2025-11-13,21/10/2025,3.80,1700,3.79,3.80,3.79,0,0,0
2025-11-13,20/10/2025,3.56,2000,3.80,3.80,3.56,0,0,0
2025-11-13,17/10/2025,3.80,35900,3.80,3.80,3.80,0,0,0
2025-11-13,16/10/2025,3.80,7200,3.80,3.80,3.80,0,0,0
2025-11-13,15/10/2025,3.80,10900,3.80,3.81,3.80,0,0,0
2025-11-13,14/10/2025,3.80,4300,3.80,3.80,3.80,0,0,0
2025-11-13,13/10/2025,3.80,29700,3.82,3.83,3.80,0,0,0
2025-11-13,10/10/2025,3.82,21800,3.80,3.85,3.80,0,0,0
2025-11-13,09/10/2025,3.95,5100,3.97,3.97,3.81,0,0,0
2025-11-13,08/10/2025,3.97,3900,3.83,4,3.83,0,0,0
2025-11-13,07/10/2025,3.84,700,3.88,3.88,3.84,0,0,0
2025-11-13,06/10/2025,3.88,800,3.80,3.88,3.80,0,0,0
2025-11-13,03/10/2025,3.80,18600,3.85,3.85,3.80,0,0,0
2025-11-13,02/10/2025,3.85,2400,3.90,3.90,3.80,0,0,0
2025-11-13,01/10/2025,3.82,900,3.81,3.82,3.81,0,0,0
2025-11-13,30/09/2025,3.99,78500,3.99,3.99,3.80,0,0,0
2025-11-13,29/09/2025,4,0,4,4,4,0,0,0
2025-11-13,26/09/2025,4,2000,4.03,4.03,4,0,0,0
2025-11-13,25/09/2025,4,17200,3.99,4,3.76,0,0,0
2025-11-13,24/09/2025,3.99,400,4.03,4.03,3.99,0,0,0
2025-11-13,23/09/2025,3.90,300,3.88,3.90,3.88,0,0,0
2025-11-13,22/09/2025,3.80,31100,3.95,3.95,3.76,0,0,0
2025-11-13,19/09/2025,3.95,500,3.90,3.95,3.90,0,0,0
2025-11-13,18/09/2025,3.90,1800,3.85,3.90,3.85,0,0,0
2025-11-13,17/09/2025,4,1400,4.05,4.05,3.82,0,0,0
2025-11-13,16/09/2025,4.05,2200,4.05,4.05,3.90,0,0,0
2025-11-13,15/09/2025,4.05,11600,4.05,4.05,3.96,0,0,0
2025-11-13,12/09/2025,4,9000,3.90,4,3.81,0,0,0
2025-11-13,11/09/2025,4.09,21100,3.70,4.09,3.68,0,0,0
2025-11-13,10/09/2025,3.95,1000,3.95,3.95,3.95,0,0,0
2025-11-13,09/09/2025,4,0,4,4,4,0,0,0
2025-11-13,08/09/2025,4,1200,4.04,4.04,4,0,0,0
2025-11-13,05/09/2025,4.04,1400,3.95,4.04,3.93,0,0,0
2025-11-13,04/09/2025,4.04,400,4.05,4.05,4.04,0,0,0
2025-11-13,03/09/2025,4.05,3500,4.04,4.05,4.04,0,0,0
2025-11-13,29/08/2025,4.04,3300,4.04,4.05,4.04,0,0,0
2025-11-13,28/08/2025,3.90,1900,3.90,3.90,3.90,0,0,0
2025-11-13,27/08/2025,4.05,0,4.05,4.05,4.05,0,0,0
2025-11-13,26/08/2025,4.05,1800,3.81,4.05,3.81,0,0,0
2025-11-13,25/08/2025,3.90,1800,3.95,4.04,3.80,0,0,0
2025-11-13,22/08/2025,4.04,1400,3.80,4.04,3.80,0,0,0
2025-11-13,21/08/2025,4.04,1800,4.04,4.04,3.90,0,0,0
2025-11-13,20/08/2025,4.04,2500,4.07,4.07,4.04,0,0,0
2025-11-13,19/08/2025,4.07,6700,4.07,4.07,3.95,0,0,0
2025-11-13,18/08/2025,4.08,4000,4.10,4.10,3.90,0,0,0
2025-11-13,15/08/2025,4.08,8000,4.08,4.10,4.06,0,0,0
2025-11-13,14/08/2025,4.08,6800,4.02,4.08,4.02,0,0,0
2025-11-13,13/08/2025,4.03,11100,4.03,4.03,4,0,0,0
2025-11-13,12/08/2025,4.03,32800,3.98,4.03,3.98,0,0,0
2025-11-13,11/08/2025,4,5400,3.98,4,3.98,0,0,0
2025-11-13,08/08/2025,3.98,15600,3.96,4.03,3.85,0,0,0
2025-11-13,07/08/2025,3.98,8600,3.98,3.98,3.89,0,0,0
2025-11-13,06/08/2025,3.99,11200,3.88,4,3.88,0,0,0
2025-11-13,05/08/2025,3.88,12800,3.87,3.97,3.86,0,0,0
2025-11-13,04/08/2025,3.87,1200,3.97,3.97,3.85,0,0,0
2025-11-13,01/08/2025,3.97,3700,3.97,3.97,3.97,0,0,0
2025-11-13,31/07/2025,3.97,15100,4.02,4.03,3.97,0,0,0
2025-11-13,30/07/2025,3.81,19700,3.79,4.05,3.79,0,0,0
2025-11-13,29/07/2025,3.80,19300,4,4,3.80,0,0,0
2025-11-13,28/07/2025,4,10700,4.05,4.05,4,0,0,0
2025-11-13,25/07/2025,4.05,15800,3.95,4.10,3.95,0,0,0
2025-11-13,24/07/2025,3.95,22900,3.91,3.95,3.91,0,0,0
2025-11-13,23/07/2025,3.95,16500,3.88,3.95,3.88,0,0,0
2025-11-13,22/07/2025,3.88,20600,3.88,3.90,3.83,0,0,0
2025-11-13,21/07/2025,3.82,3800,3.85,3.85,3.81,0,0,0
2025-11-13,18/07/2025,3.85,27900,3.86,3.88,3.82,0,0,0
2025-11-13,17/07/2025,3.86,9800,3.85,3.88,3.85,0,0,0
2025-11-13,16/07/2025,3.85,4800,3.88,3.88,3.85,0,0,0
2025-11-13,15/07/2025,3.88,28000,3.83,3.89,3.80,0,0,0
2025-11-13,14/07/2025,3.83,18900,3.83,3.83,3.81,0,0,0
2025-11-13,11/07/2025,3.83,9100,3.79,3.83,3.79,0,0,0
2025-11-13,10/07/2025,3.79,17700,3.80,3.80,3.75,0,0,0
2025-11-13,09/07/2025,3.80,14000,3.75,3.80,3.75,0,0,0
2025-11-13,08/07/2025,3.74,56200,3.80,3.82,3.73,0,0,0
2025-11-13,07/07/2025,3.80,2100,3.78,3.80,3.78,0,0,0
2025-11-13,04/07/2025,3.78,8400,3.82,3.82,3.78,0,0,0
2025-11-13,03/07/2025,3.85,11900,3.80,3.85,3.80,0,0,0
