date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,24.60,1800,23,24.60,23,0,0,0
2025-11-13,11/11/2025,24.80,0,24.80,24.80,24.80,0,0,0
2025-11-13,10/11/2025,24.80,0,24.80,24.80,24.80,0,0,0
2025-11-13,07/11/2025,24.80,0,24.80,24.80,24.80,0,0,0
2025-11-13,06/11/2025,24.80,0,24.80,24.80,24.80,0,0,0
2025-11-13,05/11/2025,24.80,0,24.80,24.80,24.80,0,0,0
2025-11-13,04/11/2025,24.80,0,24.80,24.80,24.80,0,0,0
2025-11-13,03/11/2025,24.80,100,24.80,24.80,24.80,0,0,0
2025-11-13,31/10/2025,24.90,0,24.90,24.90,24.90,0,0,0
2025-11-13,30/10/2025,24.90,500,24.90,24.90,24.90,0,0,0
2025-11-13,29/10/2025,24.60,2500,24.50,25,23.40,0,0,0
2025-11-13,28/10/2025,24.30,400,23.50,24.30,23.50,0,0,0
2025-11-13,27/10/2025,25,1400,24.40,25,24.40,0,0,0
2025-11-13,24/10/2025,24.30,1700,24.40,24.40,23.50,0,0,0
2025-11-13,23/10/2025,24.50,0,24.50,24.50,24.50,0,0,0
2025-11-13,22/10/2025,24.50,200,24.50,24.50,24.50,0,0,0
2025-11-13,21/10/2025,24.50,0,24.50,24.50,24.50,0,0,0
2025-11-13,20/10/2025,24.50,400,24.40,24.50,24.40,0,0,0
2025-11-13,17/10/2025,24,100,24,24,24,0,0,0
2025-11-13,16/10/2025,23.60,0,23.60,23.60,23.60,0,0,0
2025-11-13,15/10/2025,23.80,900,23.50,23.80,23.50,0,0,0
2025-11-13,14/10/2025,23.80,1600,23.60,23.80,23.60,0,0,0
2025-11-13,13/10/2025,23.80,0,23.80,23.80,23.80,0,0,0
2025-11-13,10/10/2025,23.80,0,23.80,23.80,23.80,0,0,0
2025-11-13,09/10/2025,23.80,0,23.80,23.80,23.80,0,0,0
2025-11-13,08/10/2025,23.80,0,23.80,23.80,23.80,0,0,0
2025-11-13,07/10/2025,23.80,5000,23.80,23.80,23.80,0,0,0
2025-11-13,06/10/2025,23.60,0,23.60,23.60,23.60,0,0,0
2025-11-13,03/10/2025,23.80,1600,23.60,23.80,23.60,0,0,0
2025-11-13,02/10/2025,23.80,3300,23.60,23.80,23.60,0,0,0
2025-11-13,01/10/2025,23.80,7000,23.80,23.80,23.80,0,0,0
2025-11-13,30/09/2025,23.80,3200,23.60,23.80,23.60,0,0,0
2025-11-13,29/09/2025,23.80,0,23.80,23.80,23.80,0,0,0
2025-11-13,26/09/2025,23.80,0,23.80,23.80,23.80,0,0,0
2025-11-13,25/09/2025,23.80,0,23.80,23.80,23.80,0,0,0
2025-11-13,24/09/2025,23.80,100,23.80,23.80,23.80,0,0,0
2025-11-13,23/09/2025,23.80,3800,23.50,23.80,23.50,0,0,0
2025-11-13,22/09/2025,23.50,200,23.50,23.50,23.50,0,0,0
2025-11-13,19/09/2025,23.60,0,23.60,23.60,23.60,0,0,0
2025-11-13,18/09/2025,23.60,4500,23.60,23.60,23.60,0,0,0
2025-11-13,17/09/2025,23.50,0,23.50,23.50,23.50,0,0,0
2025-11-13,16/09/2025,23.50,2000,23.50,23.50,23.40,0,0,0
