date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,6.20,63100,6.20,6.30,6.10,0,0,0
2025-11-13,11/11/2025,6.10,25800,6.10,6.20,6,0,0,0
2025-11-13,10/11/2025,6.10,93600,6.10,6.20,6.10,0,0,0
2025-11-13,07/11/2025,6.10,95900,6.10,6.20,6.10,0,1500,-0.0
2025-11-13,06/11/2025,6.20,131900,6.20,6.30,6,0,1600,-0.0
2025-11-13,05/11/2025,6.10,146000,6.50,6.50,6.10,0,3200,-0.0
2025-11-13,04/11/2025,6.40,244900,6,6.40,5.90,4100,3100,0.0
2025-11-13,03/11/2025,6,135900,6.30,6.30,6,0,0,0
2025-11-13,31/10/2025,6.30,63900,6.30,6.30,6.20,0,5400,-0.0
2025-11-13,30/10/2025,6.30,101300,6.30,6.40,6.20,0,9200,-0.1
2025-11-13,29/10/2025,6.30,123900,6.40,6.40,6.20,0,0,0
2025-11-13,28/10/2025,6.40,182900,6,6.50,5.90,0,0,0
2025-11-13,27/10/2025,6,149300,6,6,5.80,1700,0,0.0
2025-11-13,24/10/2025,5.90,133900,5.80,6,5.80,0,0,0
2025-11-13,23/10/2025,5.90,118300,6.10,6.10,5.90,0,0,0
2025-11-13,22/10/2025,6,112000,6,6.10,5.90,0,0,0
2025-11-13,21/10/2025,5.90,440100,5.80,6.10,5.80,42900,0,0.3
2025-11-13,20/10/2025,5.80,439000,6.50,6.50,5.80,0,0,0
2025-11-13,17/10/2025,6.40,285200,6.60,6.60,6.40,0,0,0
2025-11-13,16/10/2025,6.50,578500,6.80,6.80,6.40,0,0,0
2025-11-13,15/10/2025,6.70,218600,6.90,6.90,6.70,0,0,0
2025-11-13,14/10/2025,6.80,698400,7.10,7.20,6.80,0,63300,-0.4
2025-11-13,13/10/2025,7,523200,7.20,7.20,6.90,0,31000,-0.2
2025-11-13,10/10/2025,7.20,202900,7.30,7.30,7.20,0,0,0
2025-11-13,09/10/2025,7.30,137700,7.20,7.40,7.20,0,0,0
2025-11-13,08/10/2025,7.20,415500,7.40,7.50,7.20,0,5200,-0.0
2025-11-13,07/10/2025,7.20,246600,7.30,7.50,7.20,0,200,-0.0
2025-11-13,06/10/2025,7.30,387400,7,7.50,7,0,0,0
2025-11-13,03/10/2025,6.90,305700,7.10,7.10,6.90,3900,12300,-0.1
2025-11-13,02/10/2025,7.10,200400,7.20,7.30,7.10,0,8400,-0.1
2025-11-13,01/10/2025,7.10,194800,7.20,7.20,7,0,13600,-0.1
2025-11-13,30/09/2025,7.10,412000,7.20,7.20,6.90,0,73400,-0.5
2025-11-13,29/09/2025,7.20,148800,7.20,7.40,7.10,0,10400,-0.1
2025-11-13,26/09/2025,7.20,349600,7.40,7.50,7.20,6500,0,0.0
2025-11-13,25/09/2025,7.40,266500,7.30,7.50,7.30,9400,0,0.1
2025-11-13,24/09/2025,7.30,257500,7.20,7.40,7.10,0,5200,-0.0
